nFurnitureItemId	IS_NEW	Desc	nWorldMsg	nKinMsg	nScale	nPX	nPY	nPZ	nRX	nRY	nRZ	szCost1	szCost2	szCost3	szCost4	szCost5
4058		松木床			0.3	0.5	98	8	-13	-41	12	Contrib|1200	Item|4296|6	Item|4301|6		
4059		桦木床			0.3	0.5	126	8	-13	-41	12	Contrib|3000	Item|4297|6	Item|4302|6		
4060		江枫渔火		702	0.3	0.5	126	8	-13	-41	12	Contrib|6000	Item|4298|6	Item|4303|6		
4061		红鸾栖枝		702	0.3	0.5	98	8	-13	-41	12	Contrib|16000	Item|4299|8	Item|4304|8		
4062		金龙戏珠		702	0.3	0.5	98	8	-13	-41	12	Contrib|32000	Item|4300|8	Item|4305|8		
10784		罗帐飞阁		702	0.3	0.5	98	8	-13	-41	12	Contrib|64000	Item|10975|8	Item|10977|8		
10785		有凤来仪		702	0.3	0.5	98	8	-13	-41	12	Contrib|128000	Item|10976|8	Item|10978|8		
4063		松木橱柜			0.35	0	45	0.4	-8	-61	15	Contrib|600	Item|4296|3	Item|4311|3		
4064		桦木橱柜			0.35	0	45	0.4	-8	-61	15	Contrib|1500	Item|4297|3	Item|4312|3		
4065		墨香橱柜			0.35	0	45	0.4	-8	-61	15	Contrib|3000	Item|4298|3	Item|4313|3		
4066		幻彩流光橱柜		702	0.35	0	45	0.4	-8	-61	15	Contrib|6000	Item|4299|3	Item|4314|3		
4068		紫檀鎏金橱柜		702	0.35	0	45	0.4	-8	-61	15	Contrib|12000	Item|4300|3	Item|4315|3		
10786		墨绿镶金橱柜		702	0.35	0	45	0.4	-8	-61	15	Contrib|24000	Item|10975|3	Item|10981|3		
10787		绛红雕金橱柜		702	0.35	0	45	0.4	-8	-61	15	Contrib|48000	Item|10976|3	Item|10982|3		
4067		松木书架			0.35	0	45	0.4	-8	-61	15	Contrib|600	Item|4296|3	Item|4311|3		
4069		桦木书架			0.35	0	45	0.4	-8	-61	15	Contrib|1500	Item|4297|3	Item|4312|3		
4070		墨香书架			0.35	0	45	0.4	-8	-61	15	Contrib|3000	Item|4298|3	Item|4313|3		
4071		幻彩流光书架		702	0.35	0	45	0.4	-8	-61	15	Contrib|6000	Item|4299|3	Item|4314|3		
4072		紫檀鎏金书架		702	0.35	0	45	0.4	-8	-61	15	Contrib|12000	Item|4300|3	Item|4315|3		
10788		墨绿镶金书架		702	0.35	0	45	0.4	-8	-61	15	Contrib|24000	Item|10975|3	Item|10981|3		
