MinLevel	MaxLevel	ExtAwardRate1	ExtAward1	IsOneExtAward1	ExtAwardRate2	ExtAward2	IsOneExtAward2	ExtAwardRate3	ExtAward3	IsOneExtAward3
1	39	170052	item|6152|5	1	829948	item|6151|5				
40	49	92495	item|6152|5	1	907505	item|6151|5				
50	59	95223	item|6152|5	1	904777	item|6151|5				
60	69	139724	item|6152|5	1	860276	item|6151|5				
70	79	112525	item|6152|5	1	887475	item|6151|5				
80	89	86294	item|6152|5	1	913706	item|6151|5				
90	100	68564	item|6152|5	1	931436	item|6151|5				
100	109	51587	item|6152|5	1	948413	item|6151|5				
110	129	41357	item|6152|5	1	958643	item|6151|5				
130	139	41357	item|6152|5	1	958643	item|6151|5				
140	149	41357	item|6152|5	1	958643	item|6151|5				
150	159	41357	item|6152|5	1	958643	item|6151|5				
160	169	41357	item|6152|5	1	958643	item|6151|5				
170	179	41357	item|6152|5	1	958643	item|6151|5				
180	189	41357	item|2171|1	1	958643	item|2172|1
190	199	41357	item|2171|1	1	958643	item|2172|1
