0	12857	11709
0	8360	13410
0	4018	11180
0	2719	8114
0	4037	4356
0	8341	2833
0	12179	4645
0	13667	7866
1	8099	4190
1	6776	4821
1	5593	5788
1	5005	6772
1	4355	8342
1	5093	9485
1	5733	10531
1	6859	11171
1	8779	11630
1	9756	10954
1	11108	9994
1	11592	8901
1	11634	7532
1	11317	6321
1	10682	5261
1	9606	4627
2	8057	5892
2	6987	6594
2	6480	7998
2	6739	9133
2	8146	9777
2	9669	9072
2	9959	7927
2	9741	6588
3	8001	8680
3	7772	7728
3	9102	8359
3	8887	7626
4	8361	3330
4	4281	4616
4	3324	8148
4	4531	10911
4	8391	12812
4	12413	11284
4	12946	7812
4	11932	4850
5	8566	3056
5	8158	3095
5	4185	4560
5	3104	8199
5	4385	11008
5	8386	12924
5	12561	11353
5	13087	7826
5	12063	4786
6	8355	3100
6	4118	4487
6	3079	8201
6	4282	11079
6	8376	13050
6	12673	11447
6	13219	7830
6	12129	4736
