Key	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	desc	desc2
InDiffer	0	1788	1736	1873	1880			头	4个3级
InDiffer	1	1713	1799	1732	1854			衣服	4个3级
InDiffer	2	1734	1768	1805	1816			腰带	4个3级
InDiffer	5	1797	1870	1804	1764			护腕	4个3级
InDiffer	4	1766	1824	1839	1871			鞋子	4个3级
InDiffer	3	1838	1815	1876	1849			武器	4个3级
InDiffer	8	1769	1806	1787	1743			项链	4个3级
InDiffer	7	1731	1762	1800	1859			戒指	4个3级
InDiffer	9	1739	1765	1763	1803			玉佩	4个3级
InDiffer	6	2847	1733	1729	1775			护身符	4个3级
ZhaoQin59	0	1788	1873	1880				头	
ZhaoQin59	1	1713	1799	1854				衣服	
ZhaoQin59	2	1768	1805	1816				腰带	
ZhaoQin59	5	1797	1870	1804				护腕	
ZhaoQin59	4	1824	1839	1871				鞋子	
ZhaoQin59	3	1815	1876	1849				武器	
ZhaoQin59	8	1806	1787	1743				项链	
ZhaoQin59	7	1731	1800	1859				戒指	
ZhaoQin59	9	1739	1763	1803				玉佩	
ZhaoQin59	6	1733	1729	1775				护身符	
ZhaoQin69	0	1788	1736	1873	1880			头	
ZhaoQin69	1	1713	1799	1732	1854			衣服	
ZhaoQin69	2	1734	1768	1805	1816			腰带	
ZhaoQin69	5	1797	1870	1804	1764			护腕	
ZhaoQin69	4	1766	1824	1839	1871			鞋子	
ZhaoQin69	3	1838	1815	1876	1849			武器	
ZhaoQin69	8	1769	1806	1787	1743			项链	
ZhaoQin69	7	1731	1762	1800	1859			戒指	
ZhaoQin69	9	1739	1765	1763	1803			玉佩	
ZhaoQin69	6	2847	1733	1729	1775			护身符	
ZhaoQin79	0	1866	1814	1845	1845			头	
ZhaoQin79	1	1791	1877	1810	1810			衣服	
ZhaoQin79	2	1812	1846	1883	1894			腰带	
ZhaoQin79	5	1875	1875	1882	1842			护腕	
ZhaoQin79	4	1844	1902	1917	1900			鞋子	
ZhaoQin79	3	1916	1893	1827	1916			武器	
ZhaoQin79	8	1848	1884	1865	1821			项链	
ZhaoQin79	7	1878	1840	1878	1878			戒指	
ZhaoQin79	9	1817	1843	1841	1881			玉佩	
ZhaoQin79	6	2849	1811	1729	1775			护身符	
ZhaoQin89	0	1892	2542	1923	2669			头	
ZhaoQin89	1	1869	1888	1888	2538			衣服	
ZhaoQin89	2	1890	1924	1924	1924			腰带	
ZhaoQin89	5	1891	1920	1920	1920			护腕	
ZhaoQin89	4	1922	1926	1926	1926			鞋子	
ZhaoQin89	3	1886	1908	2537	2850			武器	
ZhaoQin89	8	1899	1925	1925	1925			项链	
ZhaoQin89	7	1887	1918	1918	1918			戒指	
ZhaoQin89	9	1895	1921	1919	1919			玉佩	
ZhaoQin89	6	1889	2851	1885	1885			护身符	
ZhaoQin99	0	1892	2542	1923	2669	1923		头	
ZhaoQin99	1	1869	1888	1888	2538	2830		衣服	
ZhaoQin99	2	1890	1924	1924	1924	2883		腰带	
ZhaoQin99	5	1891	1920	1920	1920	3220		护腕	
ZhaoQin99	4	1922	1926	1926	3218	2675		鞋子	
ZhaoQin99	3	1886	1908	2537	2850	1905		武器	
ZhaoQin99	8	1899	1925	1925	2829	2677		项链	
ZhaoQin99	7	1887	1918	2543	2882	3219		戒指	
ZhaoQin99	9	1895	1921	1919	2676	2831		玉佩	
ZhaoQin99	6	1889	2851	1885	2697	2545		护身符	
ZhaoQin109	0	1892	2551	3378	2670	2832	1923	头	
ZhaoQin109	1	1869	2547	3024	1877	2835	1888	衣服	
ZhaoQin109	2	1890	2553	1924	2885	2833	1883	腰带	
ZhaoQin109	5	3223	1913	1910	1911	1914	1915	护腕	
ZhaoQin109	4	2550	1922	1926	2678	3221	3711	鞋子	
ZhaoQin109	3	2546	2852	3379	1886	1905	3860	武器	
ZhaoQin109	8	1899	2549	1925	3862	2834	4850	项链	
ZhaoQin109	7	2552	1918	3222	1887	2884	6077	戒指	
ZhaoQin109	9	2548	1921	3861	1895	2836	6078	玉佩	
ZhaoQin109	6	1912	2554	2698	4546	4547	4548	护身符	
