nBornTime	nNpcId	nTeam	nLevel	nNum	nPosX	nPosY	nDir	nScore	nMovePath	nRespawnTime	AwardType	AwadParam	DieMsg	BornMsg	AllNotify
1	162	1	40	1	7187	7298	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	7197	6143	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	6609	6741	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	7785	6752	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	8132	8359	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	8132	7949	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	8163	5439	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	8153	5008	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	5097	8023	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	5433	7613	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	5464	5744	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	5149	5386	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	5993	8377	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	6259	8038	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	6337	5529	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	6029	5221	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	4288	7594	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	4883	7603	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	4263	5937	16	25		45			你击败了敌方士兵，获得25积分		
1	162	1	40	1	4922	5922	16	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	11220	7298	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	11766	6794	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	11251	6132	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	10611	6710	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	10432	8369	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	10432	7918	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	10464	5407	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	10443	4935	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	13089	8044	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	12921	7729	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	12837	5628	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	13047	5218	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	12032	8389	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	11984	8020	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	11990	5505	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	12056	5136	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	13647	7584	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	14272	7569	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	13612	5892	48	25		45			你击败了敌方士兵，获得25积分		
1	170	2	40	1	14262	5863	48	25		45			你击败了敌方士兵，获得25积分		
240	165	1	40	1	7176	8117		150					你击败了敌方大将，获得150积分	双方大将投身战场！	%s击败了宋方大将
240	165	1	40	1	7187	5292		150					你击败了敌方大将，获得150积分	双方大将投身战场！	%s击败了宋方大将
240	173	2	40	1	11262	8086		150					你击败了敌方大将，获得150积分	双方大将投身战场！	%s击败了金方大将
240	173	2	40	1	11262	5250		150					你击败了敌方大将，获得150积分	双方大将投身战场！	%s击败了金方大将
480	166	1	40	1	4565	6750		500					你击败了敌方元帅，获得500积分	双方元帅开始镇守本方大营！	%s击败了宋方元帅，威震战场！
480	174	2	40	1	13959	6755		500					你击败了敌方元帅，获得500积分	双方元帅开始镇守本方大营！	%s击败了金方元帅，威震战场！
180	184		40	1	7178	6726		30			Buff	"1705,1,90"	你击败火狐，获得30积分，攻击力大幅提高	灵兽现身战场，击败可得强力效果	
180	184		40	1	11204	6745		30			Buff	"1705,1,90"	你击败火狐，获得30积分，攻击力大幅提高	灵兽现身战场，击败可得强力效果	
360	185		40	1	8574	7095		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
360	185		40	1	9874	7071		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
360	185		40	1	9826	6243		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
360	185		40	1	8610	6243		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
540	184		40	1	7178	6726		30			Buff	"1705,1,90"	你击败火狐，获得30积分，攻击力大幅提高	灵兽现身战场，击败可得强力效果	
540	184		40	1	11204	6745		30			Buff	"1705,1,90"	你击败火狐，获得30积分，攻击力大幅提高	灵兽现身战场，击败可得强力效果	
660	185		40	1	8574	7095		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
660	185		40	1	9874	7071		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
660	185		40	1	9826	6243		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
660	185		40	1	8610	6243		30			Buff	"1706,1,15"	你击败灵猴，获得30积分，生命得到回复	灵兽现身战场，击败可得强力效果	
