MapTID	Area	PosX	PosY
1202	0	5396	8278
1202	0	6496	8323
1202	0	7568	8274
1202	1	1918	5342
1202	1	3266	5334
1202	1	3980	5667
1202	2	8805	5865
1202	2	10180	5299
1202	2	11120	5281
1202	3	2949	2173
1202	3	4160	2179
1202	3	4993	2647
1202	4	8318	3031
1202	4	9732	2311
1202	4	10553	2259
1304	0	12450	8848
1304	0	10963	9439
1304	0	13971	9490
1304	1	10269	12455
1304	1	8998	13032
1304	1	11545	13065
1304	2	14601	12463
1304	2	13331	12924
1304	2	15868	12919
1304	3	14591	5298
1304	3	13340	5795
1304	3	15870	5770
1304	4	10257	5301
1304	4	8990	5814
1304	4	11529	5785
1304	5	5879	7002
1304	5	4596	7582
1304	5	7146	7528
1304	6	5861	10840
1304	6	4600	11396
1304	6	7147	11412
1304	7	19016	10837
1304	7	17762	11406
1304	7	20308	11352
1304	8	19014	6982
1304	8	17723	7516
1304	8	20300	7487
