MapTID	PosX	PosY
1200	4936	7364
1200	5522	7394
1200	5939	7352
1200	6344	7098
1200	6979	7061
1200	7523	7110
1200	8158	7394
1200	8509	7188
1200	8442	6747
1200	7765	6711
1200	7934	5725
1200	8340	4903
1200	8243	6300
1200	8431	4503
1200	8350	4042
1200	7842	3926
1200	7466	4221
1200	6774	4365
1200	6156	4249
1200	6029	3926
1200	5654	3857
1200	5151	3845
1200	4770	4024
1200	4753	4313
1200	4811	4740
1200	4764	5087
1200	4776	5433
1200	4747	5791
1200	4782	6132
1200	4787	6438
1200	4787	6657
1200	4834	6975
1200	5099	7061
1200	5261	7067
1200	5532	6992
1200	5861	6900
1200	6144	6882
1200	6450	6796
1200	6785	6651
1200	7085	6709
1200	7178	6472
1200	7397	6582
1200	7507	6051
1200	7553	6322
1200	7345	5468
1200	7345	5803
1200	7467	4942
1200	7732	4752
1200	8027	4723
1200	8009	4452
1200	7824	4348
1200	7432	4504
1200	7120	4619
1200	6716	4688
1200	6191	4654
1200	5763	4538
1200	5561	4348
1200	5221	4261
1200	5076	4619
1200	5197	5133
1200	5122	5497
1200	5180	6132
1200	5238	6755
1200	5145	6571
1200	5192	5797
1200	5503	6594
1200	5925	6455
1200	6237	6507
1200	6652	6351
1200	6866	6357
1200	6895	6022
1200	6935	5670
1200	6803	5231
1200	6381	5202
1200	6133	5104
1200	5890	5104
1200	5550	5300
1200	5602	5751
1200	5602	6103
1200	6012	5999
1200	6323	5878
1200	6069	5676
1200	6370	5653
1200	6693	5693
1200	6612	5866
1200	5579	4850
1200	6930	4931
1200	7115	6143
1200	7192	5134
1200	5874	5443
1202	5772	7586
1202	6117	7597
1202	6393	7602
1202	6685	7559
1202	6924	7607
1202	7275	7607
1202	8114	7235
1202	8295	7034
1202	8401	6816
1202	8470	6550
1202	8576	6242
1202	8550	5929
1202	8401	5642
1202	8417	5238
1202	8358	4819
1202	8188	4590
1202	8002	4341
1202	7891	4070
1202	7870	3719
1202	7902	3401
1202	7790	2976
1202	7546	2923
1202	7201	2912
1202	6829	2923
1202	6542	2891
1202	6207	2859
1202	5952	2838
1202	5607	2848
1202	5225	3098
1202	5177	3427
1202	5172	3863
1202	5081	4187
1202	4980	4596
1202	4773	4840
1202	4354	5939
1202	4370	6317
1202	4433	6656
1202	4619	7055
1202	4811	7315
1202	5386	2931
1202	4501	5129
1202	4257	5505
1202	5090	7687
1202	7812	7600
1202	5500	7676
1304	8126	7806
1304	8871	7799
1304	9638	7784
1304	10607	7784
1304	11591	7770
1304	12401	7777
1304	13103	7777
1304	13920	7806
1304	14904	7828
1304	15526	7835
1304	16228	7828
1304	16901	7886
1304	16879	8392
1304	16835	8855
1304	16821	9463
1304	16843	10179
1304	16857	10634
1304	16741	11423
1304	16763	11879
1304	15577	11879
1304	16119	11842
1304	14846	11886
1304	14144	11857
1304	13233	11871
1304	13703	11871
1304	12698	11886
1304	12104	11850
1304	11490	11864
1304	10954	11857
1304	10361	11850
1304	9775	11828
1304	9254	11835
1304	8690	11835
1304	8119	11835
1304	8068	11401
1304	8039	10916
1304	8053	10432
1304	8061	9998
1304	8025	9491
1304	8039	9101
1304	7996	8717
1304	7988	8254
1302	6878	12544
1302	7724	12561
1302	6904	12108
1302	7750	12103
1302	6895	11693
1302	7785	11715
1302	6887	11296
1302	7785	11296
1302	6895	10882
1302	7793	10920
1302	6438	12488
1302	6425	12047
1302	6403	11603
1302	6373	11257
1302	6377	10774
1302	8376	12548
1302	8337	12138
1302	8359	11749
1302	8324	11335
