TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	FactionLimit
3185	T1武器·偏色1	T1_WeaponShow_Q1	11104	14	1	1	1					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3186	T1武器·偏色2	T1_WeaponShow_Q2	11105	14	1	1	1					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3187	T1武器·偏色3	T1_WeaponShow_Q3	11106	14	1	1	1					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3249	T1武器·原装	T1_WeaponShow_Q4	10001	14	1	1	1					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3188	T2武器·偏色1	T2_WeaponShow_Q1	11107	14	1	1	2					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3189	T2武器·偏色2	T2_WeaponShow_Q2	11108	14	1	1	2					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3190	T2武器·偏色3	T2_WeaponShow_Q3	11109	14	1	1	2					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3250	T2武器·原装	T2_WeaponShow_Q4	10002	14	1	1	2					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3191	T3武器·偏色1	T3_WeaponShow_Q1	11110	14	1	1	3					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3192	T3武器·偏色2	T3_WeaponShow_Q2	11111	14	1	1	3					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3193	T3武器·偏色3	T3_WeaponShow_Q3	11112	14	1	1	3					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3251	T3武器·原装	T3_WeaponShow_Q4	10003	14	1	1	3					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3194	T4武器·偏色1	T4_WeaponShow_Q1	11113	14	1	1	4					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3195	T4武器·偏色2	T4_WeaponShow_Q2	11114	14	1	1	4					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3196	T4武器·偏色3	T4_WeaponShow_Q3	11115	14	1	1	4					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3252	T4武器·原装	T4_WeaponShow_Q4	10004	14	1	1	4					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3197	T5武器·偏色1	T5_WeaponShow_Q1	11116	14	1	1	5					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3198	T5武器·偏色2	T5_WeaponShow_Q2	11117	14	1	1	5					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3199	T5武器·偏色3	T5_WeaponShow_Q3	11118	14	1	1	5					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
3253	T5武器·原装	T5_WeaponShow_Q4	10005	14	1	1	5					穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	25000	3	25000	1	waiyi																																													
