TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
51	T1头盔	T1_Helm_Q1	5101	8	1	1	1	1					5000	1	5000	1	equip		0	add_seriesstate_rate_v	15																																								
52	T2头盔	T2_Helm_Q1	5102	8	1	2	22	3					10000	2	10000	1	equip		0	add_seriesstate_rate_v	20																																							1	2
53	T3头盔	T3_Helm_Q1	5103	8	1	3	41	6					20000	3	20000	1	equip		0	add_seriesstate_rate_v	25																																							2	3
54	T4头盔	T4_Helm_Q1	5104	8	1	4	51	9					40000	4	40000	1	equip		0	add_seriesstate_rate_v	30																																							3	4
55	T5头盔	T5_Helm_Q1	5105	8	1	5	61	12					80000	5	80000	1	equip		0	add_seriesstate_rate_v	40																																							4	4
56	T6头盔	T6_Helm_Q1	5106	8	1	6	71	15					160000	6	160000	1	equip		0	add_seriesstate_rate_v	50																																							4	5
57	T7头盔	T7_Helm_Q1	5107	8	1	7	81	18					320000	7	320000	1	equip		0	add_seriesstate_rate_v	60																																							4	5
58	T8头盔	T8_Helm_Q1	5108	8	1	8	91	21					450000	7	450000	1	equip		0	add_seriesstate_rate_v	80																																							5	5
59	T9头盔	T9_Helm_Q1	5109	8	1	9	101	24					600000	7	600000	1	equip		0	add_seriesstate_rate_v	100																																							6	6
60	T10头盔	T10_Helm_Q1	5110	8	1	10	111	27					800000	7	800000	1	equip		0	add_seriesstate_rate_v	120																																							7	6
4951	T11头盔	T11_Helm_Q1	5111	8	1	11	121	30					1000000	7	1000000	1	equip		0	add_seriesstate_rate_v	130																																							7	7
4952	T12头盔	T12_Helm_Q1	5112	8	1	12	131	33					1200000	7	1200000	1	equip		0	add_seriesstate_rate_v	140																																							7	7
4953	T13头盔	T13_Helm_Q1	5113	8	1	13	141	36					1350000	7	1350000	1	equip		0	add_seriesstate_rate_v	150																																							7	7
4954	T14头盔	T14_Helm_Q1	5114	8	1	14	151	39					1480000	7	1480000	1	equip		0	add_seriesstate_rate_v	165																																							7	7
4955	T15头盔	T15_Helm_Q1	5115	8	1	15	161	42					1636000	7	1636000	1	equip		0	add_seriesstate_rate_v	182																																							7	7
4956	T16头盔	T16_Helm_Q1	5116	8	1	16	171	45					1800000	7	1800000	1	equip		0	add_seriesstate_rate_v	200																																							7	7
4957	T17头盔	T17_Helm_Q1	5117	8	1	17	181	48					1980000	7	1980000	1	equip		0	add_seriesstate_rate_v	220																																							7	7
4958	T18头盔	T18_Helm_Q1	5118	8	1	18	191	51					2180000	7	2180000	1	equip		0	add_seriesstate_rate_v	242																																							7	7
4959	T19头盔	T19_Helm_Q1	5119	8	1	19	201	54					800000	7	800000	1	equip		0	add_seriesstate_rate_v	266																																							7	7
4960	T20头盔	T20_Helm_Q1	5120	8	1	20	211	57					800000	7	800000	1	equip		0	add_seriesstate_rate_v	292																																							7	7
1562	【传承】1阶头盔	T1_Helm_Q3	5501	8	3	1	1	2					20000	1	20000	1	equip		0	add_seriesstate_rate_v	17																																								
1563	【传承】2阶头盔	T2_Helm_Q3	5502	8	3	2	22	5					40000	2	40000	1	equip		0	add_seriesstate_rate_v	22																																							2	2
1564	【传承】3阶头盔	T3_Helm_Q3	5503	8	3	3	41	8					80000	3	80000	1	equip		0	add_seriesstate_rate_v	27																																							3	3
1565	【传承】4阶头盔	T4_Helm_Q3	5504	8	3	4	51	11					200000	4	200000	1	equip		0	add_seriesstate_rate_v	35																																							3	4
1566	【传承】5阶头盔	T5_Helm_Q3	5505	8	3	5	61	14					450000	5	450000	1	equip		0	add_seriesstate_rate_v	45																																							4	4
1567	【传承】6阶头盔	T6_Helm_Q3	5506	8	3	6	71	17					600000	6	600000	1	equip		0	add_seriesstate_rate_v	55																																							4	5
1568	【传承】7阶头盔	T7_Helm_Q3	5507	8	3	7	81	20					800000	7	800000	1	equip		0	add_seriesstate_rate_v	70																																							5	5
1569	【传承】8阶头盔	T8_Helm_Q3	5508	8	3	8	91	23					1200000	7	1200000	1	equip		0	add_seriesstate_rate_v	92																																							5	6
3609	【传承】9阶头盔	T9_Helm_Q3	5509	8	3	9	101	26					1620000	7	1800000	1	equip		0	add_seriesstate_rate_v	115																																							6	6
3610	【传承】10阶头盔	T10_Helm_Q3	5510	8	3	10	111	29					2160000	7	2400000	1	equip		0	add_seriesstate_rate_v	125																																							7	6
5151	【传承】11阶头盔	T11_Helm_Q3	5511	8	3	11	121	32					2880000	7	3200000	1	equip		0	add_seriesstate_rate_v	135																																							7	7
5152	【传承】12阶头盔	T12_Helm_Q3	5512	8	3	12	131	35					3450000	7	3840000	1	equip		0	add_seriesstate_rate_v	145																																							7	7
5153	【传承】13阶头盔	T13_Helm_Q3	5513	8	3	13	141	38					3960000	7	4224000	1	equip		0	add_seriesstate_rate_v	155																																							7	7
5154	【传承】14阶头盔	T14_Helm_Q3	5514	8	3	14	151	41					4360000	7	4350000	1	equip		0	add_seriesstate_rate_v	180																																							7	7
5155	【传承】15阶头盔	T15_Helm_Q3	5515	8	3	15	161	44					4800000	7	4809000	1	equip		0	add_seriesstate_rate_v	198																																							7	7
5156	【传承】16阶头盔	T16_Helm_Q3	5516	8	3	16	171	47					5300000	7	5300000	1	equip		0	add_seriesstate_rate_v	218																																							7	7
5157	【传承】17阶头盔	T17_Helm_Q3	5517	8	3	17	181	50					5800000	7	5800000	1	equip		0	add_seriesstate_rate_v	240																																							7	7
5158	【传承】18阶头盔	T18_Helm_Q3	5518	8	3	18	191	53					6380000	7	6380000	1	equip		0	add_seriesstate_rate_v	264																																							7	7
5159	【传承】19阶头盔	T19_Helm_Q3	5519	8	3	19	201	56					2400000	7	2400000	1	equip		0	add_seriesstate_rate_v	290																																							7	7
5160	【传承】20阶头盔	T20_Helm_Q3	5520	8	3	20	211	59					2400000	7	2400000	1	equip		0	add_seriesstate_rate_v	319																																							7	7
151	【稀有】1阶头盔	T1_Helm_Q2	5201	8	2	1	1	4					50000	1	50000	1	equip		0	add_seriesstate_rate_v	21																																								
152	【稀有】2阶头盔	T2_Helm_Q2	5202	8	2	2	22	7					100000	2	100000	1	equip		0	add_seriesstate_rate_v	26																																							3	3
153	【稀有】3阶头盔	T3_Helm_Q2	5203	8	2	3	41	10					250000	3	250000	1	equip		0	add_seriesstate_rate_v	33																																							3	4
154	【稀有】4阶头盔	T4_Helm_Q2	5204	8	2	4	51	13					600000	4	600000	1	equip		0	add_seriesstate_rate_v	43																																							4	4
155	【稀有】5阶头盔	T5_Helm_Q2	5205	8	2	5	61	16					1250000	5	1250000	1	equip		0	add_seriesstate_rate_v	53																																							4	5
156	【稀有】6阶头盔	T6_Helm_Q2	5206	8	2	6	71	19					1500000	6	1500000	1	equip		0	add_seriesstate_rate_v	66																																							5	5
157	【稀有】7阶头盔	T7_Helm_Q2	5207	8	2	7	81	22					2000000	7	2000000	1	equip		0	add_seriesstate_rate_v	88																																							5	6
158	【稀有】8阶头盔	T8_Helm_Q2	5208	8	2	8	91	25					2700000	7	2700000	1	equip		0	add_seriesstate_rate_v	96																																							6	6
159	【稀有】9阶头盔	T9_Helm_Q2	5209	8	2	9	101	28					3600000	7	4000000	1	equip		0	add_seriesstate_rate_v	125																																							7	6
160	【稀有】10阶头盔	T10_Helm_Q2	5210	8	2	10	111	31					4500000	7	5000000	1	equip		0	add_seriesstate_rate_v	135																																							7	7
5051	【稀有】11阶头盔	T11_Helm_Q2	5211	8	2	11	121	34					5700000	7	6250000	1	equip		0	add_seriesstate_rate_v	145																																							7	7
5052	【稀有】12阶头盔	T12_Helm_Q2	5212	8	2	12	131	37					6840000	7	7500000	1	equip		0	add_seriesstate_rate_v	155																																							7	7
5053	【稀有】13阶头盔	T13_Helm_Q2	5213	8	2	13	141	40					7120000	7	8250000	1	equip		0	add_seriesstate_rate_v	165																																							7	7
5054	【稀有】14阶头盔	T14_Helm_Q2	5214	8	2	14	151	43					7840000	7	7830000	1	equip		0	add_seriesstate_rate_v	198																																							7	7
5055	【稀有】15阶头盔	T15_Helm_Q2	5215	8	2	15	161	46					8630000	7	8628000	1	equip		0	add_seriesstate_rate_v	218																																							7	7
5056	【稀有】16阶头盔	T16_Helm_Q2	5216	8	2	16	171	49					9500000	7	9500000	1	equip		0	add_seriesstate_rate_v	240																																							7	7
5057	【稀有】17阶头盔	T17_Helm_Q2	5217	8	2	17	181	52					10450000	7	10450000	1	equip		0	add_seriesstate_rate_v	264																																							7	7
5058	【稀有】18阶头盔	T18_Helm_Q2	5218	8	2	18	191	55					11500000	7	11500000	1	equip		0	add_seriesstate_rate_v	290																																							7	7
5059	【稀有】19阶头盔	T19_Helm_Q2	5219	8	2	19	201	58					5000000	7	5000000	1	equip		0	add_seriesstate_rate_v	319																																							7	7
5060	【稀有】20阶头盔	T20_Helm_Q2	5220	8	2	20	211	61					5000000	7	5000000	1	equip		0	add_seriesstate_rate_v	351																																							7	7
2779	【黄金】6阶头盔	T6_Helm_Q4	5306	8	4	6	71	101					19500000	7	19500000	1	equip		18000	add_seriesstate_rate_v	85																																							5	6
2780	【黄金】7阶头盔	T7_Helm_Q4	5307	8	4	7	81	102					30800000	7	30800000	1	equip		28800	add_seriesstate_rate_v	114																																							6	6
2781	【黄金】8阶头盔	T8_Helm_Q4	5308	8	4	8	91	103					45900000	7	45900000	1	equip		43200	add_seriesstate_rate_v	124																																							7	6
3629	【黄金】9阶头盔	T9_Helm_Q4	5309	8	4	9	101	104					61600000	7	61600000	1	equip		57600	add_seriesstate_rate_v	135																																							7	7
3630	【黄金】10阶头盔	T10_Helm_Q4	5310	8	4	10	111	105					77000000	7	77000000	1	equip		72000	add_seriesstate_rate_v	150																																							7	7
5385	【黄金】11阶头盔	T11_Helm_Q4	5311	8	4	11	121	106					92650000	7	92650000	1	equip		86400	add_seriesstate_rate_v	160																																							7	7
5386	【黄金】12阶头盔	T12_Helm_Q4	5312	8	4	12	131	107					108300000	7	108300000	1	equip		108300	add_seriesstate_rate_v	170																																							7	7
5387	【黄金】13阶头盔	T13_Helm_Q4	5313	8	4	13	141	108					122700000	7	122700000	1	equip		122700	add_seriesstate_rate_v	180																																							7	7
5388	【黄金】14阶头盔	T14_Helm_Q4	5314	8	4	14	151	109					137100000	7	137100000	1	equip		137100	add_seriesstate_rate_v	270																																							7	7
5389	【黄金】15阶头盔	T15_Helm_Q4	5315	8	4	15	161	110					151500000	7	151500000	1	equip		151500	add_seriesstate_rate_v	297																																							7	7
9754	【黄金】16阶头盔	T16_Helm_Q4	5316	8	4	16	171	111					165900000	7	165900000	1	equip		165900	add_seriesstate_rate_v	327																																							7	7
9755	【黄金】17阶头盔	T17_Helm_Q4	5317	8	4	17	181	112					180300000	7	180300000	1	equip		180300	add_seriesstate_rate_v	359																																							7	7
9756	【黄金】18阶头盔	T18_Helm_Q4	5318	8	4	18	191	113					194700000	7	194700000	1	equip		194700	add_seriesstate_rate_v	395																																							7	7
9757	【黄金】19阶头盔	T19_Helm_Q4	5319	8	4	19	201	114					151500000	7	151500000	1	equip		151500	add_seriesstate_rate_v	435																																							7	7
9758	【黄金】20阶头盔	T20_Helm_Q4	5320	8	4	20	211	115					151500000	7	151500000	1	equip		151500	add_seriesstate_rate_v	478																																							7	7
10060	【白金】10阶头盔	T10_Helm_Q5	5910	8	5	10	111	105					84200000	7	84200000	1	equip		79200	add_seriesstate_rate_v	170																																							7	7
10061	【白金】11阶头盔	T11_Helm_Q5	5911	8	5	11	121	106					103450000	7	103450000	1	equip		97200	add_seriesstate_rate_v	180																																							7	7
10062	【白金】12阶头盔	T12_Helm_Q5	5912	8	5	12	131	107					122700000	7	122700000	1	equip		122700	add_seriesstate_rate_v	190																																							7	7
10063	【白金】13阶头盔	T13_Helm_Q5	5913	8	5	13	141	108					140700000	7	140700000	1	equip		140700	add_seriesstate_rate_v	200																																							7	7
10064	【白金】14阶头盔	T14_Helm_Q5	5914	8	5	14	151	109					158700000	7	158700000	1	equip		158700	add_seriesstate_rate_v	290																																							7	7
10065	【白金】15阶头盔	T15_Helm_Q5	5915	8	5	15	161	110					176700000	7	176700000	1	equip		176700	add_seriesstate_rate_v	315																																							7	7
10066	【白金】16阶头盔	T16_Helm_Q5	5916	8	5	16	171	111					194700000	7	194700000	1	equip		194700	add_seriesstate_rate_v	351																																							7	7
10067	【白金】17阶头盔	T17_Helm_Q5	5917	8	5	17	181	112					212700000	7	212700000	1	equip		212700	add_seriesstate_rate_v	386																																							7	7
10068	【白金】18阶头盔	T18_Helm_Q5	5918	8	5	18	191	113					230700000	7	230700000	1	equip		230700	add_seriesstate_rate_v	425																																							7	7
10069	【白金】19阶头盔	T19_Helm_Q5	5919	8	5	19	201	114					176700000	7	176700000	1	equip		169200	add_seriesstate_rate_v	467																																							7	7
10070	【白金】20阶头盔	T20_Helm_Q5	5920	8	5	20	211	115					176700000	7	176700000	1	equip		169200	add_seriesstate_rate_v	514																																							7	7
459	T1头盔（低）	T1_Helm_Test_Q1	5101	8	1	1	1	1					20000	1	3000	1	equip		0	add_seriesstate_rate_v	15																																								
460	T2头盔（低）	T2_Helm_Test_Q1	5102	8	1	2	1	3					40000	2	3000	1	equip		0	add_seriesstate_rate_v	20																																							3	1
461	T3头盔（低）	T3_Helm_Test_Q1	5103	8	1	3	1	6					80000	3	3000	1	equip		0	add_seriesstate_rate_v	25																																							3	2
462	T4头盔（低）	T4_Helm_Test_Q1	5104	8	1	4	1	9					200000	4	3000	1	equip		0	add_seriesstate_rate_v	30																																							3	3
