TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
21	侠少之戒	T1_Ring_Q1		3	1	1	1	1	21	21			10000	1	10000	1	equip		0	lifemax_v	600			wood_resist_v	45																																				
22	分水之戒	T2_Ring_Q1		3	1	2	28	3	22	22			20000	2	20000	1	equip		0	lifemax_v	800			wood_resist_v	60																																			1	2
23	伏断之戒	T3_Ring_Q1		3	1	3	44	6	23	23			40000	3	40000	1	equip		0	lifemax_v	1000			wood_resist_v	75																																			2	3
24	破军之戒	T4_Ring_Q1		3	1	4	54	9	24	24			80000	4	80000	1	equip		0	lifemax_v	1500			wood_resist_v	90																																			3	4
25	荒芜之戒	T5_Ring_Q1		3	1	5	64	12	25	25			160000	5	160000	1	equip		0	lifemax_v	2000			wood_resist_v	113																																			4	4
26	火府之戒	T6_Ring_Q1		3	1	6	74	15	26	26			320000	6	320000	1	equip		0	lifemax_v	2500			wood_resist_v	135																																			4	5
27	苍穹之戒	T7_Ring_Q1		3	1	7	84	18	27	27			640000	7	640000	1	equip		0	lifemax_v	3000			wood_resist_v	158																																			4	5
28	邢天之戒	T8_Ring_Q1		3	1	8	94	21	28	28			900000	7	900000	1	equip		0	lifemax_v	3500			wood_resist_v	180																																			5	5
29	应龙之戒	T9_Ring_Q1		3	1	9	104	24	29	29			1200000	7	1200000	1	equip		0	lifemax_v	4000			wood_resist_v	200																																			6	6
30	瑞祥之戒	T10_Ring_Q1		3	1	10	114	27	30	30			1600000	7	1600000	1	equip		0	lifemax_v	4500			wood_resist_v	220																																			7	6
4921	白泽之戒	T11_Ring_Q1		3	1	11	124	30	4921	4921			2000000	7	2000000	1	equip		0	lifemax_v	5000			wood_resist_v	240																																			7	7
