TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
11	虎睛项链	T1_Necklace_Q1		4	1	1	1	1	11	11			10000	1	10000	1	equip		0	lifemax_v	600			water_resist_v	45																																				
12	冰晶项链	T2_Necklace_Q1		4	1	2	24	3	12	12			20000	2	20000	1	equip		0	lifemax_v	800			water_resist_v	60																																			1	2
13	珊瑚项链	T3_Necklace_Q1		4	1	3	42	6	13	13			40000	3	40000	1	equip		0	lifemax_v	1000			water_resist_v	75																																			2	3
14	五色项链	T4_Necklace_Q1		4	1	4	52	9	14	14			80000	4	80000	1	equip		0	lifemax_v	1500			water_resist_v	90																																			3	4
15	温润之链	T5_Necklace_Q1		4	1	5	62	12	15	15			160000	5	160000	1	equip		0	lifemax_v	2000			water_resist_v	113																																			4	4
16	秘隐之链	T6_Necklace_Q1		4	1	6	72	15	16	16			320000	6	320000	1	equip		0	lifemax_v	2500			water_resist_v	135																																			4	5
17	北辰之链	T7_Necklace_Q1		4	1	7	82	18	17	17			640000	7	640000	1	equip		0	lifemax_v	3000			water_resist_v	158																																			4	5
18	群鸟之链	T8_Necklace_Q1		4	1	8	92	21	18	18			900000	7	900000	1	equip		0	lifemax_v	3500			water_resist_v	180																																			5	5
19	朝露之链	T9_Necklace_Q1		4	1	9	102	24	19	19			1200000	7	1200000	1	equip		0	lifemax_v	4000			water_resist_v	200																																			6	6
20	鸿雁之链	T10_Necklace_Q1		4	1	10	112	27	20	20			1600000	7	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4911	乾坤之链	T11_Necklace_Q1		4	1	11	122	30	4911	4911			2000000	7	2000000	1	equip		0	lifemax_v	5000			water_resist_v	240																																			7	7
4912	凌霄之链	T12_Necklace_Q1		4	1	12	132	33	4912	4912			2400000	7	2400000	1	equip		0	lifemax_v	5500			water_resist_v	275																																			7	7
4913	星辰之链	T13_Necklace_Q1		4	1	13	142	36	4913	4913			2700000	7	2700000	1	equip		0	lifemax_v	6050			water_resist_v	302																																			7	7
4914	仙乐之链	T14_Necklace_Q1		4	1	14	152	39	4914	4914			2960000	7	2960000	1	equip		0	lifemax_v	6655			water_resist_v	333																																			7	7
4915	百花之链	T15_Necklace_Q1		4	1	15	162	42	4915	4915			3272000	7	3272000	1	equip		0	lifemax_v	7321			water_resist_v	366																																			7	7
4916	姹紫之链	T16_Necklace_Q1		4	1	16	172	45	4916	4916			3600000	7	3600000	1	equip		0	lifemax_v	8053			water_resist_v	403																																			7	7
4917	月峰之链	T17_Necklace_Q1		4	1	17	182	48	4917	4917			3960000	7	3960000	1	equip		0	lifemax_v	8858			water_resist_v	443																																			7	7
4918	曜日之链	T18_Necklace_Q1		4	1	18	192	51	4918	4918			4360000	7	4360000	1	equip		0	lifemax_v	9744			water_resist_v	487																																			7	7
4919	项链T19	T19_Necklace_Q1		4	1	19	202	54	4919	4919			1600000	7	1600000	1	equip		0	lifemax_v	10718			water_resist_v	536																																			7	7
4920	项链T20	T20_Necklace_Q1		4	1	20	212	57	4920	4920			1600000	7	1600000	1	equip		0	lifemax_v	11790			water_resist_v	589																																			7	7
1538	【传承】虎睛项链	T1_Necklace_Q3		4	3	1	1	2	11	11			40000	1	40000	1	equip		0	lifemax_v	700			water_resist_v	52																																				
1539	【传承】冰晶项链	T2_Necklace_Q3		4	3	2	24	5	12	12			80000	2	80000	1	equip		0	lifemax_v	900			water_resist_v	67																																			2	2
1540	【传承】珊瑚项链	T3_Necklace_Q3		4	3	3	42	8	13	13			160000	3	160000	1	equip		0	lifemax_v	1250			water_resist_v	82																																			3	3
1541	【传承】五色项链	T4_Necklace_Q3		4	3	4	52	11	14	14			400000	4	400000	1	equip		0	lifemax_v	1750			water_resist_v	101																																			3	4
1542	【传承】温润之链	T5_Necklace_Q3		4	3	5	62	14	15	15			900000	5	900000	1	equip		0	lifemax_v	2250			water_resist_v	124																																			4	4
1543	【传承】秘隐之链	T6_Necklace_Q3		4	3	6	72	17	16	16			1200000	6	1200000	1	equip		0	lifemax_v	2750			water_resist_v	146																																			4	5
1544	【传承】北辰之链	T7_Necklace_Q3		4	3	7	82	20	17	17			1600000	7	1600000	1	equip		0	lifemax_v	3250			water_resist_v	169																																			5	5
1545	【传承】群鸟之链	T8_Necklace_Q3		4	3	8	92	23	18	18			2400000	7	2400000	1	equip		0	lifemax_v	4000			water_resist_v	207																																			5	6
3601	【传承】朝露之链	T9_Necklace_Q3		4	3	9	102	26	19	19			3240000	7	3600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			6	6
3602	【传承】鸿雁之链	T10_Necklace_Q3		4	3	10	112	29	20	20			4320000	7	4800000	1	equip		0	lifemax_v	5000			water_resist_v	257																																			7	6
5111	【传承】乾坤之链	T11_Necklace_Q3		4	3	11	122	32	4911	4911			5760000	7	6400000	1	equip		0	lifemax_v	5500			water_resist_v	270																																			7	7
5112	【传承】凌霄之链	T12_Necklace_Q3		4	3	12	132	35	4912	4912			6900000	7	7680000	1	equip		0	lifemax_v	6000			water_resist_v	300																																			7	7
5113	【传承】星辰之链	T13_Necklace_Q3		4	3	13	142	38	4913	4913			7920000	7	8448000	1	equip		0	lifemax_v	6600			water_resist_v	330																																			7	7
5114	【传承】仙乐之链	T14_Necklace_Q3		4	3	14	152	41	4914	4914			8720000	7	8700000	1	equip		0	lifemax_v	7260			water_resist_v	363																																			7	7
5115	【传承】百花之链	T15_Necklace_Q3		4	3	15	162	44	4915	4915			9600000	7	9618000	1	equip		0	lifemax_v	7986			water_resist_v	399																																			7	7
5116	【传承】姹紫之链	T16_Necklace_Q3		4	3	16	172	47	4916	4916			10600000	7	10600000	1	equip		0	lifemax_v	8785			water_resist_v	439																																			7	7
5117	【传承】月峰之链	T17_Necklace_Q3		4	3	17	182	50	4917	4917			11600000	7	11600000	1	equip		0	lifemax_v	9663			water_resist_v	483																																			7	7
5118	【传承】曜日之链	T18_Necklace_Q3		4	3	18	192	53	4918	4918			12760000	7	12760000	1	equip		0	lifemax_v	10629			water_resist_v	531																																			7	7
