TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
2398	初级秘籍·野蛮冲撞	TW_Book_Lv1_1		12		1	40		6111	6111		门派秘籍	400000	3	400000		SkillBook																																																	
2401	初级秘籍·血战八方	TW_Book_Lv1_2		12		1	40		6112	6112		门派秘籍	400000	3	400000		SkillBook																																																	
2402	初级秘籍·霸王怒吼	TW_Book_Lv1_3		12		1	40		6114	6114		门派秘籍	400000	3	400000		SkillBook																																																	
2719	初级秘籍·金钟罩	TW_Book_Lv1_4		12		1	40		6113	6113		门派秘籍	400000	3	400000		SkillBook																																																	
2403	初级秘籍·天舞宝轮	EM_Book_Lv1_1		12		1	40		6122	6122		门派秘籍	400000	3	400000		SkillBook																																																	
2404	初级秘籍·慈航普度	EM_Book_Lv1_2		12		1	40		6123	6123		门派秘籍	400000	3	400000		SkillBook																																																	
2405	初级秘籍·白露凝霜	EM_Book_Lv1_3		12		1	40		6124	6124		门派秘籍	400000	3	400000		SkillBook																																																	
2720	初级秘籍·江海凝波	EM_Book_Lv1_4		12		1	40		6121	6121		门派秘籍	400000	3	400000		SkillBook																																																	
2406	初级秘籍·七探蛇盘	XY_Book_Lv1_1		12		1	40		6132	6132		门派秘籍	400000	3	400000		SkillBook																																																	
2407	初级秘籍·斗转星移	XY_Book_Lv1_2		12		1	40		6133	6133		门派秘籍	400000	3	400000		SkillBook																																																	
2408	初级秘籍·风卷残云	XY_Book_Lv1_3		12		1	40		6134	6134		门派秘籍	400000	3	400000		SkillBook																																																	
2721	初级秘籍·白虹贯日	XY_Book_Lv1_4		12		1	40		6131	6131		门派秘籍	400000	3	400000		SkillBook																																																	
2409	初级秘籍·飞火流星	TH_Book_Lv1_1		12		1	40		6141	6141		门派秘籍	400000	3	400000		SkillBook																																																	
2410	初级秘籍·火凤燎原	TH_Book_Lv1_2		12		1	40		6143	6143		门派秘籍	400000	3	400000		SkillBook																																																	
2411	初级秘籍·穿云破月	TH_Book_Lv1_3		12		1	40		6144	6144		门派秘籍	400000	3	400000		SkillBook																																																	
2722	初级秘籍·九曜连珠	TH_Book_Lv1_4		12		1	40		6142	6142		门派秘籍	400000	3	400000		SkillBook																																																	
2412	初级秘籍·无我无剑	WD_Book_Lv1_1		12		1	40		6151	6151		门派秘籍	400000	3	400000		SkillBook																																																	
2413	初级秘籍·坐忘无我	WD_Book_Lv1_2		12		1	40		6152	6152		门派秘籍	400000	3	400000		SkillBook																																																	
2414	初级秘籍·天地无极	WD_Book_Lv1_3		12		1	40		6153	6153		门派秘籍	400000	3	400000		SkillBook																																																	
2723	初级秘籍·人剑合一	WD_Book_Lv1_4		12		1	40		6154	6154		门派秘籍	400000	3	400000		SkillBook																																																	
2415	初级秘籍·魔焰在天	TR_Book_Lv1_1		12		1	40		6162	6162		门派秘籍	400000	3	400000		SkillBook																																																	
2416	初级秘籍·血月之影	TR_Book_Lv1_2		12		1	40		6163	6163		门派秘籍	400000	3	400000		SkillBook																																																	
2417	初级秘籍·摄魂乱心	TR_Book_Lv1_3		12		1	40		6164	6164		门派秘籍	400000	3	400000		SkillBook																																																	
2724	初级秘籍·死亡回旋	TR_Book_Lv1_4		12		1	40		6161	6161		门派秘籍	400000	3	400000		SkillBook																																																	
2713	初级秘籍·降龙棍	SL_Book_Lv1_1		12		1	40		6171	6171		门派秘籍	400000	3	400000		SkillBook																																																	
2714	初级秘籍·大力金刚指	SL_Book_Lv1_2		12		1	40		6172	6172		门派秘籍	400000	3	400000		SkillBook																																																	
2715	初级秘籍·金刚伏魔	SL_Book_Lv1_3		12		1	40		6173	6173		门派秘籍	400000	3	400000		SkillBook																																																	
2749	初级秘籍·十二擒龙手	SL_Book_Lv1_4		12		1	40		6174	6174		门派秘籍	400000	3	400000		SkillBook																																																	
2716	初级秘籍·璇玑罗舞	CY_Book_Lv1_1		12		1	40		6181	6181		门派秘籍	400000	3	400000		SkillBook																																																	
2717	初级秘籍·雨打梨花	CY_Book_Lv1_2		12		1	40		6182	6182		门派秘籍	400000	3	400000		SkillBook																																																	
2718	初级秘籍·召唤啵啵	CY_Book_Lv1_3		12		1	40		6183	6183		门派秘籍	400000	3	400000		SkillBook																																																	
2750	初级秘籍·冰踪无影	CY_Book_Lv1_4		12		1	40		6184	6184		门派秘籍	400000	3	400000		SkillBook																																																	
3267	初级秘籍·缠身刺	TM_Book_Lv1_1		12		1	40		6185	6185		门派秘籍	400000	3	400000		SkillBook																																																	
3268	初级秘籍·暴雨梨花	TM_Book_Lv1_2		12		1	40		6186	6186		门派秘籍	400000	3	400000		SkillBook																																																	
3269	初级秘籍·迷影纵	TM_Book_Lv1_3		12		1	40		6187	6187		门派秘籍	400000	3	400000		SkillBook																																																	
