TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	FactionLimit
2512	T1时装(斗笠)·颜色1	T1_Waiyi_Q1	301	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	15000	4	15000	1	waiyi																																																				
2513	T1时装(斗笠)·颜色2	T2_Waiyi_Q1	302	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	15000	4	15000	1	waiyi																																																				
2514	T1时装(斗笠)·颜色3	T3_Waiyi_Q1	303	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	15000	4	15000	1	waiyi																																																				
2515	T1时装(斗笠)·颜色4	T4_Waiyi_Q1	304	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	15000	4	15000	1	waiyi																																																				
6829	T1时装(斗笠)·颜色5	T4_Waiyi_Q2	711	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	15000	4	15000	1	waiyi																																																				
2516	T1时装·时效	T5_Waiyi_Q1	301	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4478	T1时装·3天	T1_Shizhuang_D3	301	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4479	T1时装·7天	T1_Shizhuang_D7	301	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
4480	T1时装·30天	T1_Shizhuang_D30	301	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]不可染色[-]	15000	4	15000	1	waiyi																																																				
2517	T6外衣	T6_Waiyi_Q1	306	13		1	1	1				[FFFE0D]所有门派可用[-]\n\n穿上后可以改变当前外观，不影响原有装备附带的属性\n[FFFE0D]可用染色剂改变颜色[-]	15000	3	15000	1	waiyi																																																				
