GroupId	LevelCount	AttribType	Value1Start	Value2Start	Value3Start	Value1Offset	Value2Offset	Value3Offset
10000	5	strength_v	24			7		
10000	5	strength_v	31			9		
10000	5	strength_v	44			12		
10000	5	strength_v	53			14		
10000	5	strength_v	62			16		
10000	5	strength_v	66			17		
10000	5	strength_v	69			18		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10000	5	strength_v	0			0		
10001	5	vitality_v	24			7		
10001	5	vitality_v	31			9		
10001	5	vitality_v	44			12		
10001	5	vitality_v	53			14		
10001	5	vitality_v	62			16		
10001	5	vitality_v	66			17		
10001	5	vitality_v	69			18		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10001	5	vitality_v	0			0		
10002	5	dexterity_v	24			7		
10002	5	dexterity_v	31			9		
10002	5	dexterity_v	44			12		
10002	5	dexterity_v	53			14		
10002	5	dexterity_v	62			16		
10002	5	dexterity_v	66			17		
10002	5	dexterity_v	69			18		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10002	5	dexterity_v	0			0		
10003	5	energy_v	24			7		
10003	5	energy_v	31			9		
10003	5	energy_v	44			12		
10003	5	energy_v	53			14		
10003	5	energy_v	62			16		
10003	5	energy_v	66			17		
10003	5	energy_v	69			18		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10003	5	energy_v	0			0		
10004	5	lifemax_v	1000			250		
10004	5	lifemax_v	1292			323		
10004	5	lifemax_v	1811			453		
10004	5	lifemax_v	2154			539		
10004	5	lifemax_v	2502			626		
10004	5	lifemax_v	2647			663		
10004	5	lifemax_v	2782			696		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10004	5	lifemax_v	0			0		
10005	5	basic_damage_v	49		49	13		13
10005	5	basic_damage_v	63		63	17		17
10005	5	basic_damage_v	90		90	23		23
10005	5	basic_damage_v	108		108	27		27
10005	5	basic_damage_v	124		124	32		32
10005	5	basic_damage_v	131		131	34		34
10005	5	basic_damage_v	139		139	35		35
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10005	5	basic_damage_v	0		0	0		0
10006	5	resist_allseriesstate_time_v	24			7		
10006	5	resist_allseriesstate_time_v	31			9		
10006	5	resist_allseriesstate_time_v	44			12		
10006	5	resist_allseriesstate_time_v	53			14		
10006	5	resist_allseriesstate_time_v	62			16		
10006	5	resist_allseriesstate_time_v	66			17		
10006	5	resist_allseriesstate_time_v	69			18		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10006	5	resist_allseriesstate_time_v	0			0		
10007	5	metal_resist_v	124			32		
10007	5	metal_resist_v	161			41		
10007	5	metal_resist_v	226			57		
10007	5	metal_resist_v	268			68		
10007	5	metal_resist_v	312			79		
10007	5	metal_resist_v	331			83		
10007	5	metal_resist_v	348			87		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10007	5	metal_resist_v	0			0		
10008	5	wood_resist_v	124			32		
10008	5	wood_resist_v	161			41		
10008	5	wood_resist_v	226			57		
10008	5	wood_resist_v	268			68		
10008	5	wood_resist_v	312			79		
10008	5	wood_resist_v	331			83		
10008	5	wood_resist_v	348			87		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10008	5	wood_resist_v	0			0		
10009	5	water_resist_v	124			32		
10009	5	water_resist_v	161			41		
10009	5	water_resist_v	226			57		
10009	5	water_resist_v	268			68		
10009	5	water_resist_v	312			79		
10009	5	water_resist_v	331			83		
10009	5	water_resist_v	348			87		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10009	5	water_resist_v	0			0		
10010	5	fire_resist_v	124			32		
10010	5	fire_resist_v	161			41		
10010	5	fire_resist_v	226			57		
10010	5	fire_resist_v	268			68		
10010	5	fire_resist_v	312			79		
10010	5	fire_resist_v	331			83		
10010	5	fire_resist_v	348			87		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10010	5	fire_resist_v	0			0		
10011	5	earth_resist_v	124			32		
10011	5	earth_resist_v	161			41		
10011	5	earth_resist_v	226			57		
10011	5	earth_resist_v	268			68		
10011	5	earth_resist_v	312			79		
10011	5	earth_resist_v	331			83		
10011	5	earth_resist_v	348			87		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
10011	5	earth_resist_v	0			0		
