ItemID	NpcResID	Desc
2399	902	枣红马
1423	901	照夜玉狮子
2400	903	乌云踏雪
3012	905	绝影
3021	906	里飞沙
3392	907	红骊
3393	908	绿踪
2507	904	逐日
2508	909	追星逐日
2870	931	奔宵
3516	932	乌骓
3364	912	寒霜
3365	913	寒霜倩影
3366	910	小黑
3367	911	白羽
3598	914	万里烟云照
3639	909	追星逐日
4045	915	圣蹄
4046	916	追风呼雷豹
4050	917	龙马
4051	918	梦魇
4583	919	抱月拥星驹
4047	912	寒霜（外装）
4048	913	寒霜倩影（外装）
4049	910	小黑（外装）
4861	920	紫幽灵鹿
4862	921	云魅灵鹿
4867	922	星芒·云魅灵鹿
4735	912	寒霜（外装30天）
4736	913	寒霜倩影（外装30天）
4737	910	小黑（外装30天）
4865	920	紫幽灵鹿（外装1年）
4866	921	云魅灵鹿（外装1年）
4868	922	星芒·云魅灵鹿（外装1年）
4859	923	龙鳞凤羽
5359	924	大天使之驹
7152	926	宝蓝
7280	927	炽影
7423	927	炽影（60天）
7296	925	福瑞灵鹿
7535	928	绝地战狼
7712	929	螭魅雪狐
7713	930	幽炎·螭魅雪狐
8282	928	血瞳·月绝
8252	955	血瞳·啸霜
8253	956	血瞳·荒尘
8273	957	血瞳·清穹
8369	958	众星攒月驹
9598	959	大象
9823	960	150级马
9824	961	150级城主马
10152	963	踢金·蓝湛灵鹿（外装半年）
10197	959	汉月碎银
10198	959	汉月碎银
10258	971	炽羽灼心
10259	971	炽羽灼心
10529	977	凛冬咆哮
10530	977	凛冬咆哮
10531	978	踢金毛犀
10532	978	踢金毛犀
10610	979	凛冬咆哮
10645	980	粉黛掠影
10646	980	粉黛掠影
10647	981	粉黛掠影
10648	981	粉黛掠影
10649	982	粉黛掠影
10650	982	粉黛掠影
10954	983	凛冬咆哮
10955	983	凛冬咆哮
10956	984	冰魂雪魄
10957	984	冰魂雪魄
10967	912	寒霜
10968	925	福瑞灵鹿
10969	959	汉月碎银
11234	978	踢金毛犀
11343	971	炽羽灼心
11344	959	汉月碎银
11801	985	追风
11802	986	追风
11803	987	昆仑玄影
11804	988	昆仑玄影
11910	989	幽魂·踏霜
999001	999001	真•追风呼雷豹Lv1
999002	999002	真•追风呼雷豹Lv2
999003	999003	真•追风呼雷豹Lv3
999004	999004	真•追风呼雷豹Lv4
999005	999005	真•追风呼雷豹Lv5
999006	999006	真•追风呼雷豹Lv6
999007	999007	真•追风呼雷豹Lv7
999008	999008	真•追风呼雷豹Lv8
999009	999009	真•追风呼雷豹Lv9
999010	999010	真•追风呼雷豹Lv10
999011	999011	真•抱月拥星驹Lv1
999012	999012	真•抱月拥星驹Lv2
999013	999013	真•抱月拥星驹Lv3
999014	999014	真•抱月拥星驹Lv4
999015	999015	真•抱月拥星驹Lv5
999016	999016	真•抱月拥星驹Lv6
999017	999017	真•抱月拥星驹Lv7
999018	999018	真•抱月拥星驹Lv8
999019	999019	真•抱月拥星驹Lv9
999020	999020	真•抱月拥星驹Lv10
999021	999021	真•龙马Lv1
999022	999022	真•龙马Lv2
999023	999023	真•龙马Lv3
999024	999024	真•龙马Lv4
999025	999025	真•龙马Lv5
999026	999026	真•龙马Lv6
999027	999027	真•龙马Lv7
999028	999028	真•龙马Lv8
999029	999029	真•龙马Lv9
999030	999030	真•龙马Lv10
999031	999031	真•梦魇Lv1
999032	999032	真•梦魇Lv2
999033	999033	真•梦魇Lv3
999034	999034	真•梦魇Lv4
999035	999035	真•梦魇Lv5
999036	999036	真•梦魇Lv6
999037	999037	真•梦魇Lv7
999038	999038	真•梦魇Lv8
999039	999039	真•梦魇Lv9
999040	999040	真•梦魇Lv10
999041	999041	真•龙鳞凤羽Lv1
999042	999042	真•龙鳞凤羽Lv2
999043	999043	真•龙鳞凤羽Lv3
999044	999044	真•龙鳞凤羽Lv4
999045	999045	真•龙鳞凤羽Lv5
999046	999046	真•龙鳞凤羽Lv6
999047	999047	真•龙鳞凤羽Lv7
999048	999048	真•龙鳞凤羽Lv8
999049	999049	真•龙鳞凤羽Lv9
999050	999050	真•龙鳞凤羽Lv10
999051	999051	真•大天使之驹Lv1
999052	999052	真•大天使之驹Lv2
999053	999053	真•大天使之驹Lv3
999054	999054	真•大天使之驹Lv4
999055	999055	真•大天使之驹Lv5
999056	999056	真•大天使之驹Lv6
999057	999057	真•大天使之驹Lv7
999058	999058	真•大天使之驹Lv8
999059	999059	真•大天使之驹Lv9
999060	999060	真•大天使之驹Lv10
999061	999061	真•宝蓝Lv1
999062	999062	真•宝蓝Lv2
999063	999063	真•宝蓝Lv3
999064	999064	真•宝蓝Lv4
999065	999065	真•宝蓝Lv5
999066	999066	真•宝蓝Lv6
999067	999067	真•宝蓝Lv7
999068	999068	真•宝蓝Lv8
999069	999069	真•宝蓝Lv9
999070	999070	真•宝蓝Lv10
999071	999071	炽天梦魔Lv1
999072	999072	炽天梦魔Lv2
999073	999073	炽天梦魔Lv3
999074	999074	炽天梦魔Lv4
999075	999075	炽天梦魔Lv5
999076	999076	炽天梦魔Lv6
999077	999077	炽天梦魔Lv7
999078	999078	炽天梦魔Lv8
999079	999079	炽天梦魔Lv9
999080	999080	炽天梦魔Lv10
999081	999081	大象Lv1
999082	999082	大象Lv2
999083	999083	大象Lv3
999084	999084	大象Lv4
999085	999085	大象Lv5
999086	999086	大象Lv6
999087	999087	大象Lv7
999088	999088	大象Lv8
999089	999089	大象Lv9
999090	999090	大象Lv10
999091	999091	小象(限时三天)
