GroupName	Faction	Sex
All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21	
All_m	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21	1
All_f	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21	2
m2	1|7|10|11|16	1
f2	2|4|5|6|8|10|14|15|17|18|20|21	2
f1	1|3|11|12|16|19	2
m1	4|5|6|9|13|15|17|18|19|20|21	1
tw	1	
tw_m	1	1
tw_f	1	2
em	2	
em_f	2	2
th	3	
th_f	3	2
xy	4	
xy_m	4	1
xy_f	4	2
wd	5	
wd_m	5	1
wd_f	5	2
tr	6	
tr_m	6	1
tr_f	6	2
sl	7	
sl_m	7	1
cy	8	
cy_f	8	2
tm	9	
tm_m	9	1
kl	10	
kl_m	10	1
kl_f	10	2
gb	11	
gb_m	11	1
gb_f	11	2
wdu	12	
wdu_f	12	2
cj	13	
cj_m	13	1
cg	14	
cg_f	14	2
ts	15	
ts_m	15	1
ts_f	15	2
bd	16	
bd_m	16	1
bd_f	16	2
hs	17	
hs_m	17	1
hs_f	17	2
mj	18	
mj_m	18	1
mj_f	18	2
ds	19	
ds_m	19	1
ds_f	19	2
wh	20	
wh_m	20	1
wh_f	20	2
ym	21	
ym_m	21	1
ym_f	21	2
