ItemType	Remark	StartLv1	StartLv2	StartLv3	StartLv4	StartLv5	StartLv6	StartLv7	StartLv8	StartLv9	StartLv10	StartLv11	StartLv12	StartLv13	StartLv14	StartLv15	StartLv16	StartLv17	StartLv18	StartLv19	StartLv20
1	武器	1	225000	300000	450000	600000	900000	1200000	1800000	3000000	4800000	7200000	10800000	15000000	24000000	30000000	36000000	45000000	54000000	72000000	90000000
2	衣服	1	135000	180000	270000	360000	540000	720000	1080000	1800000	2880000	4320000	6480000	9000000	14400000	18000000	21600000	27000000	32400000	43200000	54000000
3	戒指	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	2880000	4320000	6000000	9600000	12000000	14400000	18000000	21600000	28800000	36000000
4	项链	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	2880000	4320000	6000000	9600000	12000000	14400000	18000000	21600000	28800000	36000000
5	护身符	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	2880000	4320000	6000000	9600000	12000000	14400000	18000000	21600000	28800000	36000000
6	鞋子	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1440000	2160000	3000000	4800000	6000000	7200000	9000000	10800000	14400000	18000000
7	腰带	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1440000	2160000	3000000	4800000	6000000	7200000	9000000	10800000	14400000	18000000
8	帽子	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1440000	2160000	3000000	4800000	6000000	7200000	9000000	10800000	14400000	18000000
9	护手	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1440000	2160000	3000000	4800000	6000000	7200000	9000000	10800000	14400000	18000000
10	玉佩	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	2880000	4320000	6000000	9600000	12000000	14400000	18000000	21600000	28800000	36000000
15	坐骑装备缰绳	1	300000	600000	900000	1200000	1500000	3750000	6000000	18000000	30000000	45000000	60000000	82500000	105000000	138750000	172500000	217500000	262500000	330000000	397500000
16	坐骑装备马鞍	1	240000	480000	720000	960000	1200000	3000000	4800000	14400000	24000000	36000000	48000000	66000000	84000000	111000000	138000000	174000000	210000000	264000000	318000000
17	坐骑装备脚蹬	1	180000	360000	540000	720000	900000	2250000	3600000	10800000	18000000	27000000	36000000	49500000	63000000	83250000	103500000	130500000	157500000	198000000	238500000
43	披风	1	2000000	4000000	7000000	10000000	13000000	16000000	19000000	23000000	27000000	31000000	35000000	39000000	43000000	47000000	51000000	55000000	59000000	63000000	67000000
