Desc	LimitColorItem	OrgColorItem	Position		
丝路流纱衣服	6833	3886	1	LimitColorItem	限制显示的偏色
丝路流纱头饰	7382	6643	1	OrgColorItem	原始外装
丝路流纱衣服	11920	3886	2	Position	存储位置（1~32），同一原始外装的位置必须不同
丝路流纱头饰	11922	6643	2		
风华绝代衣服染色谱	11183	11178	1		
风华绝代头饰染色谱	11189	11184	1		
6阶黄金衣服	10666	2575	1		
7阶黄金衣服	10668	2576	1		
8阶黄金衣服	10670	2577	1		
9阶黄金衣服	10672	2578	1		
10阶黄金衣服	10674	2579	1		
11阶黄金衣服	10676	5269	1		
12阶黄金衣服	10678	5273	1		
13阶黄金衣服	10680	5277	1		
14阶黄金衣服	10682	5281	1		
15阶黄金衣服	10684	5285	1		
16阶黄金衣服	10686	5289	1		
17阶黄金衣服	10688	5293	1		
18阶黄金衣服	10690	5297	1		
19阶黄金衣服	10692	5301	1		
20阶黄金衣服	10694	5305	1		
6阶黄金头饰	10697	6912	1		
7阶黄金头饰	10698	6917	1		
8阶黄金头饰	10699	6922	1		
9阶黄金头饰	10700	6927	1		
10阶黄金头饰	10696	6932	1		
11阶黄金头饰	10702	6937	1		
12阶黄金头饰	10704	6942	1		
13阶黄金头饰	10706	6947	1		
14阶黄金头饰	10708	6952	1		
15阶黄金头饰	10710	6957	1		
16阶黄金头饰	10712	6962	1		
17阶黄金头饰	10714	6967	1		
18阶黄金头饰	10716	6972	1		
19阶黄金头饰	10718	6977	1		
20阶黄金头饰	10720	6982	1		
10阶白金衣服	10675	2579	2		
11阶白金衣服	10677	5269	2		
12阶白金衣服	10679	5273	2		
13阶白金衣服	10681	5277	2		
14阶白金衣服	10683	5281	2		
15阶白金衣服	10685	5285	2		
16阶白金衣服	10687	5289	2		
17阶白金衣服	10689	5293	2		
18阶白金衣服	10691	5297	2		
19阶白金衣服	10693	5301	2		
20阶白金衣服	10695	5305	2		
10阶白金头饰	10701	6932	2		
11阶白金头饰	10703	6937	2		
12阶白金头饰	10705	6942	2		
13阶白金头饰	10707	6947	2		
14阶白金头饰	10709	6952	2		
15阶白金头饰	10711	6957	2		
16阶白金头饰	10713	6962	2		
17阶白金头饰	10715	6967	2		
18阶白金头饰	10717	6972	2		
19阶白金头饰	10719	6977	2		
20阶白金头饰	10721	6982	2		
