IconId	IconDisableId
603	1501
609	1502
615	1503
621	1504
627	1505
633	1506
639	1507
645	1508
651	1509
657	1510
663	1511
604	1501
610	1502
616	1503
622	1504
628	1505
634	1506
640	1507
646	1508
652	1509
658	1510
664	1511
605	1501
611	1502
617	1503
623	1504
629	1505
635	1506
641	1507
647	1508
653	1509
659	1510
665	1511
693	1512
694	1513
695	1514
696	1515
697	1516
698	1517
699	1518
700	1519
606	1501
612	1502
618	1503
624	1504
630	1505
636	1506
642	1507
648	1508
654	1509
660	1510
666	1511
727	1512
728	1513
729	1514
730	1515
731	1516
732	1517
733	1518
734	1519
607	1501
613	1502
619	1503
625	1504
631	1505
637	1506
643	1507
649	1508
655	1509
661	1510
667	1511
677	1520
678	1521
679	1522
680	1523
681	1524
682	1525
683	1526
684	1527
668	1511
669	1512
670	1513
671	1514
672	1515
673	1516
674	1517
675	1518
676	1519
