nBuffId	nObjId	Desc	nDeathTime	nSkillId	nSkillLevel	nParam1	nParam2
1	1		10	1510	1	-1	-1
2	2		10	1509	1	-1	-1
3	17		10	1529	5	-1	-1
1000	1000		59	3166	1	-1	-1
1001	1001		59	3167	1	-1	-1
1002	1002		59	3168	1	-1	-1
1003	1003		59	3169	1	-1	-1
1004	1004		59	3191	1	-1	-1
1005	1005		59	3192	1	-1	-1
2000	1000	心魔绝地-回血	60	3194	1	-1	-1
2001	1002	心魔绝地-免控	60	3195	1	-1	-1
2002	1003	心魔绝地-跑速	60	3196	1	-1	-1
3001	1002	宋金攻防战：buff_抗性	89	3762	1	-1	-1
3002	1003	宋金攻防战：buff_跑速	89	3763	1	-1	-1
3003	1004	宋金攻防战：buff_会心	89	3764	1	-1	-1
3004	1005	宋金攻防战：buff_无敌	89	3765	1	-1	-1
