EnhLevel	NeedNum	AttribLevel	Img
5	10	1	
10	10	2	
15	10	3	
20	10	4	
25	10	5	
30	10	6	
35	10	7	
40	10	8	
45	10	9	
50	10	10	
55	10	11	
60	10	12	
65	10	13	
70	10	14	InsetMark4
75	5	15	InsetMark4
80	5	16	InsetMark4
75	10	17	InsetMark4
80	10	18	InsetMark4
85	5	19	InsetMark4
90	5	20	InsetMark4
85	10	21	InsetMark4
90	10	22	InsetMark5
95	5	23	InsetMark5
100	5	24	InsetMark5
95	10	25	InsetMark5
100	10	26	InsetMark5
105	5	27	InsetMark5
110	5	28	InsetMark5
105	10	29	InsetMark5
110	10	30	InsetMark5
115	5	31	InsetMark5
120	5	32	InsetMark5
115	10	33	InsetMark5
120	10	34	InsetMark5
125	5	35	InsetMark5
130	5	36	InsetMark5
125	10	37	InsetMark5
130	10	38	InsetMark5
135	5	39	InsetMark5
140	5	40	InsetMark5
135	10	41	InsetMark5
140	10	42	InsetMark5
145	5	43	InsetMark5
150	5	44	InsetMark5
145	10	45	InsetMark5
150	10	46	InsetMark5
