Star	Order	AttribType	Value1	Value2	Value3
60	1	lifemax_v	40		
60	2	physical_damage_v	2		2
60	3	all_series_resist_v	1		
70	1	lifemax_v	80		
70	2	physical_damage_v	4		4
70	3	all_series_resist_v	2		
80	1	lifemax_v	93		
80	2	physical_damage_v	5		5
80	3	all_series_resist_v	2		
90	1	lifemax_v	107		
90	2	physical_damage_v	5		5
90	3	all_series_resist_v	3		
100	1	lifemax_v	120		
100	2	physical_damage_v	6		6
100	3	all_series_resist_v	3		
110	1	lifemax_v	180		
110	2	physical_damage_v	9		9
110	3	all_series_resist_v	5		
120	1	lifemax_v	240		
120	2	physical_damage_v	12		12
120	3	all_series_resist_v	6		
130	1	lifemax_v	620		
130	2	physical_damage_v	31		31
130	3	all_series_resist_v	16		
140	1	lifemax_v	1000		
140	2	physical_damage_v	50		50
140	3	all_series_resist_v	25		
150	1	lifemax_v	4100		
150	2	physical_damage_v	205		205
150	3	all_series_resist_v	103		
160	1	lifemax_v	7200		
160	2	physical_damage_v	360		360
160	3	all_series_resist_v	180		
170	1	lifemax_v	12000		
170	2	physical_damage_v	600		600
170	3	all_series_resist_v	300		
180	1	lifemax_v	16800		
180	2	physical_damage_v	840		840
180	3	all_series_resist_v	420		
190	1	lifemax_v	18400		
190	2	physical_damage_v	920		920
190	3	all_series_resist_v	460		
200	1	lifemax_v	20000		
200	2	physical_damage_v	1000		1000
200	3	all_series_resist_v	500		
