FileType	FilePath	Remark
2	Setting/Item/Equip/Weapon.tab	武器
2	Setting/Item/Equip/Armor.tab	衣服
2	Setting/Item/Equip/Amulet.tab	护身符
2	Setting/Item/Equip/Belt.tab	腰带
2	Setting/Item/Equip/Boots.tab	鞋子
2	Setting/Item/Equip/Cuff.tab	护腕
2	Setting/Item/Equip/Helm.tab	头盔
2	Setting/Item/Equip/Necklace.tab	项链
2	Setting/Item/Equip/Pendant.tab	腰坠
2	Setting/Item/Equip/Ring.tab	戒指
2	Setting/Item/Equip/WaiYi.tab	外装
2	Setting/Item/Equip/WeaponShow.tab	武器外观
1	Setting/Item/Other/ScriptItem.tab	脚本道具
1	Setting/Item/Other/EnhanceItem.tab	强化道具
1	Setting/Item/Other/Stone_piece.tab	宝石碎片
1	Setting/Item/Other/Stone_item.tab	镶嵌宝石
1	Setting/Item/Other/Partner_equip.tab	同伴装备
1	Setting/Item/Other/Partner_piece.tab	同伴碎片
1	Setting/Item/Other/UnidentifyItem.tab	未鉴定道具
1	Setting/Item/Other/EnchantItem.tab	附魔石道具
3	Setting/Item/Equip/Horse.tab	坐骑
1	Setting/Item/Other/PartnerWeapon.tab	同伴本命武器
1	Setting/Item/Other/PartnerSkillBook.tab	同伴技能书
1	Setting/Item/Other/Equip_piece.tab	装备碎片
1	Setting/Item/Other/PartnerItem.tab	同伴道具
2	Setting/Item/Equip/SkillBook.tab	秘籍
2	Setting/Item/Equip/HorseEquip.tab	坐骑装备
1	Setting/Item/Other/FurnitureItem.tab	家具道具
2	Setting/Item/Equip/HorseShow.tab	坐骑外装
2	Setting/Item/Equip/ZhenYuan.tab	真元
2	Setting/Item/Equip/HelmShow.tab	头部外装
2	Setting/Item/Equip/BackShow.tab	背部外装
1	Setting/Item/ZhenFa/JueYao.tab	诀要
1	Setting/Item/Other/Inscription.tab	铭文
2	Setting/Item/JueXue/JueXueMiJi.tab	绝学
1	Setting/Item/Other/GuestItem.tab	门客道具
2	Setting/Item/Equip/SeriesStone.tab	五行石
1	Setting/Item/Other/RefineStone.tab	洗练符
2	Setting/Item/Equip/Mantle.tab	披风
1	Setting/Item/Other/CookItem.tab	烹饪道具
2	Setting/Item/Equip/MantleShow.tab	披风外装
