ParamId	RandomId1	Level1	RandomId2	Level2	RandomId3	Level3	RandomId4	Level4	RandomId5	Level5	RandomId6	Level6	RandomId7	Level7	RandomId8	Level8	RandomId9	Level9	RandomId10	Level10	RandomId11	Level11	RandomId12	Level12	RandomId13	Level13	RandomId14	Level14	RandomId15	Level15	RandomId16	Level16	RandomId17	Level17	Desc
1	1	10	3	40	2	30																													
2	755	39	756	49	757	59	758	69	759	79	3008	89	3010	99	3720	109	3721	119	6002	129	6006	139	7489	149	8316	159	9221	169	9301	179	9303	189	9303	189	战场黄金宝箱
3	765	59	766	69	767	79	768	89	769	100																									
4	770	59	771	69	772	79	773	89	774	100																									
5	775	59	776	69	777	79	778	89	779	100																									
6	947	59	948	69	949	79	950	89	951	100																									
7	787	59	788	69	789	79	790	89	791	99	792	109	78700	119	78701	129	78702	139																	藏宝图
8	793	39	794	49	795	59	796	69	797	79	798	89	799	119																					古旧的箱子
9	952	59	953	69	954	79	955	89	956	100																									
10	957	59	958	69	959	79	960	89	961	100																									
11	962	59	963	69	964	79	965	89	966	100																									
12	800	39	801	59	802	69	803	79	804	89	810	99	9680	119	9681	129																			守护者宝箱
13	805	59	806	69	807	79	808	89	809	100																									
14	811	59	812	69	813	79	814	89	815	100																									家族盗贼
15	1025	39	1026	49	1027	59	1028	69	1029	79	1030	89	10300	99	10301	109	10302	119	10303	129	10304	139	10305	149	10306	159	10307	169	10308	179	10309	189	10309	189	黄金宝箱
16	749	59	751	69	753	79	760	89	761	100																									
17	750	59	752	69	754	79	762	89	763	100																									
18	1032	59	1033	69	1034	79	1035	89	1036	99																									家族宝箱
19	1065	59	1066	69	1067	79	1068	89	1069	100																									
20	1070	59	1071	69	1072	79	1073	89	1074	100																									
21	1075	39	1076	100																															
22	1077	59	1077	69	1077	79	1077	89	1077	99	1077	119																							每日目标20奖励元宝800
23	1082	59	1082	69	1082	79	1082	89	1082	99	1082	119																							每日目标60奖励元宝2000
24	1087	100																																	每日目标40奖励元宝1000
25	1092	100																																	每日目标80奖励元宝3000
26	1093	100																																	每日目标100奖励元宝8000
27	1094	59	1095	69	1096	79	1097	89	1098	100																									
28	1100	59	1101	69	1102	79	1103	89	1104	99	13900	119	13901	129																					水晶地宫
