GroupId	SaveId	Desc	Level	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3
1		强化激活属性	1	fightpower_v1	100			physical_damage_v	40		40	all_series_resist_v	10										
1		强化激活属性	2	fightpower_v1	220			physical_damage_v	60		60	all_series_resist_v	15										
1		强化激活属性	3	fightpower_v1	370			physical_damage_v	90		90	all_series_resist_v	22										
1		强化激活属性	4	fightpower_v1	580			physical_damage_v	150		150	all_series_resist_v	37										
1		强化激活属性	5	fightpower_v1	1000			physical_damage_v	250		250	all_series_resist_v	62										
1		强化激活属性	6	fightpower_v1	1500			physical_damage_v	400		400	all_series_resist_v	100										
1		强化激活属性	7	fightpower_v1	2100			physical_damage_v	500		500	all_series_resist_v	125										
1		强化激活属性	8	fightpower_v1	2900			physical_damage_v	800		800	all_series_resist_v	200										
1		强化激活属性	9	fightpower_v1	4800			physical_damage_v	900		900	all_series_resist_v	225										
1		强化激活属性	10	fightpower_v1	6900			physical_damage_v	1200		1200	all_series_resist_v	300										
1		强化激活属性	11	fightpower_v1	10100			physical_damage_v	1300		1300	all_series_resist_v	325										
1		强化激活属性	12	fightpower_v1	15600			physical_damage_v	1500		1500	all_series_resist_v	375										
1		强化激活属性	13	fightpower_v1	23000			physical_damage_v	1600		1600	all_series_resist_v	400										
1		强化激活属性	14	fightpower_v1	31700			physical_damage_v	1800		1800	all_series_resist_v	450										
1		强化激活属性	15	fightpower_v1	34800			physical_damage_v	1900		1900	all_series_resist_v	475										
1		强化激活属性	16	fightpower_v1	40300			physical_damage_v	2000		2000	all_series_resist_v	500										
1		强化激活属性	17	fightpower_v1	44300			physical_damage_v	2200		2200	all_series_resist_v	550										
1		强化激活属性	18	fightpower_v1	66300			physical_damage_v	2500		2500	all_series_resist_v	625										
1		强化激活属性	19	fightpower_v1	74200			physical_damage_v	2600		2600	all_series_resist_v	650										
1		强化激活属性	20	fightpower_v1	83800			physical_damage_v	2700		2700	all_series_resist_v	675										
1		强化激活属性	21	fightpower_v1	97900			physical_damage_v	2800		2800	all_series_resist_v	700										
1		强化激活属性	22	fightpower_v1	136500			physical_damage_v	3200		3200	all_series_resist_v	800										
1		强化激活属性	23	fightpower_v1	151600			physical_damage_v	3300		3300	all_series_resist_v	825										
1		强化激活属性	24	fightpower_v1	174100			physical_damage_v	3400		3400	all_series_resist_v	850										
1		强化激活属性	25	fightpower_v1	197200			physical_damage_v	3500		3500	all_series_resist_v	875										
1		强化激活属性	26	fightpower_v1	286900			physical_damage_v	4000		4000	all_series_resist_v	1000										
1		强化激活属性	27	fightpower_v1	312500			physical_damage_v	4200		4200	all_series_resist_v	1050										
1		强化激活属性	28	fightpower_v1	344500			physical_damage_v	4400		4400	all_series_resist_v	1100										
1		强化激活属性	29	fightpower_v1	389300			physical_damage_v	4700		4700	all_series_resist_v	1175										
1		强化激活属性	30	fightpower_v1	517300			physical_damage_v	5000		5000	all_series_resist_v	1250										
1		强化激活属性	31	fightpower_v1	560000			physical_damage_v	5200		5200	all_series_resist_v	1300										
1		强化激活属性	32	fightpower_v1	602600			physical_damage_v	5400		5400	all_series_resist_v	1350										
1		强化激活属性	33	fightpower_v1	645300			physical_damage_v	5700		5700	all_series_resist_v	1425										
1		强化激活属性	34	fightpower_v1	816000			physical_damage_v	6000		6000	all_series_resist_v	1500										
1		强化激活属性	35	fightpower_v1	858600			physical_damage_v	6300		6300	all_series_resist_v	1575										
1		强化激活属性	36	fightpower_v1	887100			physical_damage_v	6600		6600	all_series_resist_v	1650										
1		强化激活属性	37	fightpower_v1	944000			physical_damage_v	6900		6900	all_series_resist_v	1725										
1		强化激活属性	38	fightpower_v1	1114600			physical_damage_v	7200		7200	all_series_resist_v	1800										
1		强化激活属性	39	fightpower_v1	1171500			physical_damage_v	7500		7500	all_series_resist_v	1875										
1		强化激活属性	40	fightpower_v1	1209400			physical_damage_v	7800		7800	all_series_resist_v	1950										
1		强化激活属性	41	fightpower_v1	1285300			physical_damage_v	8100		8100	all_series_resist_v	2025										
1		强化激活属性	42	fightpower_v1	1490100			physical_damage_v	8400		8400	all_series_resist_v	2100										
1		强化激活属性	43	fightpower_v1	1547000			physical_damage_v	8700		8700	all_series_resist_v	2175
1		强化激活属性	44	fightpower_v1	1584900			physical_damage_v	9000		9000	all_series_resist_v	2250
1		强化激活属性	45	fightpower_v1	1660800			physical_damage_v	9300		9300	all_series_resist_v	2325
1		强化激活属性	46	fightpower_v1	1865600			physical_damage_v	9600		9600	all_series_resist_v	2400
2		镶嵌激活属性	1	fightpower_v1	100			physical_damage_v	30		30	lifemax_v	900										
2		镶嵌激活属性	2	fightpower_v1	200			physical_damage_v	50		50	lifemax_v	1500										
2		镶嵌激活属性	3	fightpower_v1	600			physical_damage_v	100		100	lifemax_v	3000										
2		镶嵌激活属性	4	fightpower_v1	900			physical_damage_v	140		140	lifemax_v	4200										
2		镶嵌激活属性	5	fightpower_v1	1800			physical_damage_v	250		250	lifemax_v	5000										
2		镶嵌激活属性	6	fightpower_v1	2700			physical_damage_v	500		500	lifemax_v	7500										
2		镶嵌激活属性	7	fightpower_v1	5400			physical_damage_v	800		800	lifemax_v	12000										
2		镶嵌激活属性	8	fightpower_v1	8100			physical_damage_v	900		900	lifemax_v	13000										
2		镶嵌激活属性	9	fightpower_v1	10800			physical_damage_v	1000		1000	lifemax_v	15000										
2		镶嵌激活属性	10	fightpower_v1	12000			physical_damage_v	1200		1200	lifemax_v	16000										
2		镶嵌激活属性	11	fightpower_v1	16000			physical_damage_v	1400		1400	lifemax_v	17000										
2		镶嵌激活属性	12	fightpower_v1	24000			physical_damage_v	1600		1600	lifemax_v	19000										
2		镶嵌激活属性	13	fightpower_v1	32000			physical_damage_v	1800		1800	lifemax_v	21000										
2		镶嵌激活属性	14	fightpower_v1	36000			physical_damage_v	2000		2000	lifemax_v	22000										
2		镶嵌激活属性	15	fightpower_v1	48000			physical_damage_v	2400		2400	lifemax_v	23000										
2		镶嵌激活属性	16	fightpower_v1	72000			physical_damage_v	2600		2600	lifemax_v	25000										
2		镶嵌激活属性	17	fightpower_v1	96000			physical_damage_v	2800		2800	lifemax_v	30000										
2		镶嵌激活属性	18	fightpower_v1	120000			physical_damage_v	3000		3000	lifemax_v	35000										
2		镶嵌激活属性	19	fightpower_v1	130000			physical_damage_v	3200		3200	lifemax_v	36000										
