Kind	KeyID	UiGroupID	Desc	NotVersion_tx	NotVersion_vn	NotVersion_hk	NotVersion_xm	NotVersion_en	NotVersion_kor	NotVersion_th
Chat	1	1	大家好！							
Angry	2	1	我怒了！							
PkExcercise	3	1	切磋一下							
QuickTeamUp	4	1	快速组队							
Prison	5	1	通缉							
RedBag	6	1	红包							
HonorLevel	7	1	头衔							
Title	8	1	称号							
Charm	64	1	魅力							
Partner	9	1	协伴同行							
Friend	10	2	好友							
FriendFamiliar	11	2	肝胆相照							
Foe	12	2	仇人							
Family	13	2	家族情义							
KinFuben	14	2	家族试炼							
GetMeFight	15	2	来传功吧							
FamilyContribute	16	2	家族贡献							
PayOff	17	2	发工资了							
FirstAuctionDeal	18	2	我也要买							
EquipRefinement	19	3	装备洗练							
EnhanceOnce	20	3	装备强化							
EnhanceFailure	21	3	运气不好							
EnhanceMaster	22	3	强化大师							
InsetOnce	23	3	装备镶嵌							
InsetFull	24	3	镶嵌满了							
InsetMaster	25	3	镶嵌大师							
PerfectDay	26	4	完美的一天							
TheBox	27	4	黄金宝箱							
SignIn	28	4	来签到了							
MoneyTree	29	4	摇钱树							
XiuLian	31	5	野外修炼							
CommerceTask	32	5	商会任务							
Cangbaotu	33	5	藏宝图							
Dungeon	34	5	随机地宫							
HighCangbaotu	35	5	高级藏宝图							
PunishTask	36	5	惩恶任务							
TeamFuben	37	5	组队秘境							
SearchFuben	38	5	关卡探索							
RandomFuben	39	5	凌绝峰							
RandomFubenCard	65	5	卡片收集							
JuanZhou	66	5	卷轴任务							
RankBattle	40	6	武神殿							
Battle	41	6	鏖战沙场							
Rank	42	6	浴血奋战							
HeroChallenge	43	6	英雄挑战							
QunYingHui	67	6	群英会							
TeamBattle	44	6	通天塔							
FactionBattle	45	6	门派竞技							
WhiteTiger	46	7	白虎堂							
Boss	47	7	武林盟主							
BossRob	48	7	武林盟主第一次抢积分							
BossNumberOne	49	7	武林盟主排名第一							
BossChallenge	50	7	挑战一次武林盟主							
FieldLeader	51	7	野外首领							
FieldBoss	52	7	历代名将							
ImperialTombEmperor	68	7	始皇/女帝							
KinEscort	53	7	家族运镖							
DomainBattle	54	7	领土战							
TeacherStudentElite	56	2	师徒精英							
TeacherStudentMaster	57	2	师徒宗师							
TeamBattleFurniture	58	6	通天塔八层							
FactionBattleNew	59	6	门派竞技新人王							
FactionBattleBrother	60	6	门派竞技大师兄							
HuaShanLunJian	61	6	华山论剑冠军							
InDifferBattle	69	6	心魔幻境							
IDIPZan	70	2	空间点赞		1	1	1	1	1	1
IDIPPopularity	71	2	空间人气		1	1	1	1	1	1
