SubKind	ParentKind	Level	FinishCount	NeedPush	ListType	Title	Desc	Award	AwardTitle
Chat_Private	Chat	1	1			窃窃私语	密聊其他玩家	Gold|5	
Chat_Emotion	Chat	2	1			言辞并茂	在任意频道发送表情	Gold|5	
Chat_Voice	Chat	3	1			余音绕梁	成功使用语音聊天	Gold|5	
Chat_Public	Chat	4	1			大家好！	发送公聊信息	Gold|5	
Chat_Color	Chat	5	1			千里传音	发送彩聊信息	Gold|10	
Angry_Normal	Angry	1	1			我怒了！	释放怒气技能	Gold|5	
QuickTeamUp_Normal	QuickTeamUp	1	1			快速组队	使用快速组队成功参与一次组队活动	Gold|5	
Prison_1	Prison	1	1			追影令	第1次通过追影令挑战其他玩家	Gold|5	
Title_Normal	Title	1	1			江湖名号	获得一个称号	Gold|10	
Title_Purple	Title	2	1			小有名气	获得一个紫色称号	Gold|30	
Title_Pink	Title	3	1			名声在外	获得一个粉色称号	Gold|50	
Title_Orange	Title	4	1	1		声名显赫	获得一个橙色称号	Gold|100	
Title_Gold	Title	5	1	1		名动江湖	获得一个金色称号	Gold|300	
Charm_1	Charm	1	500	1		有点姿色	魅力值达到500	Gold|10	
Charm_1	Charm	2	2000	1	1	如花似玉	魅力值达到2000	Gold|30;Item|6990|1	
Charm_1	Charm	3	5000	1	1	绝色美人	魅力值达到5000	Gold|50;Item|6991|1	
Charm_1	Charm	4	20000	1	1	倾国倾城	魅力值达到20000	Gold|100;Item|6992|1	
Charm_1	Charm	5	100000	1		人见人爱	魅力值达到100000	Gold|300	1068
Partner_1	Partner	1	1			天涯相伴	第一次获得同伴	Gold|5	
Partner_2	Partner	2	1			江湖豪杰	第一次获得乙级以上的同伴	Gold|5	
Partner_3	Partner	3	1			人员齐整	出战满4个同伴	Gold|10	
Partner_4	Partner	4	1			一流侠客	第一次获得甲级以上的同伴	Gold|30	
Partner_5	Partner	5	1	1		共览众山小	出战满4个甲级以上的同伴	Gold|100	1000
FriendFamiliar_1	FriendFamiliar	1	3			清交素友	与3个好友的亲密度达到5级	Gold|30	
FriendFamiliar_2	FriendFamiliar	2	3			情深意重	与3个好友的亲密度达到10级	Gold|50	
FriendFamiliar_3	FriendFamiliar	3	3			肝胆相照	与3个好友的亲密度达到20级	Gold|100	
FriendFamiliar_4	FriendFamiliar	4	3			相交莫逆	与3个好友的亲密度达到30级	Gold|300	
FriendFamiliar_5	FriendFamiliar	5	3	1		情同生死	与3个好友的亲密度达到40级	Gold|500	1002
Foe_1	Foe	1	1			挑战敌人	第1次通过敌人界面挑战其他玩家	Gold|5	
Family_1	Family	1	1			人在江湖	成功加入家族	Gold|5	
Family_2	Family	2	1			温馨港湾	进入家族地图	Gold|5	
Family_3	Family	3	1			家族礼物	成功获取一个家族礼盒	Gold|5	
Family_4	Family	4	1			装备打造	在家族作坊打造1次装备	Gold|10	
Family_5	Family	5	1			家族烤火	参与1次家族烤火活动	Gold|20	
GetMeFight_1	GetMeFight	1	1			传功	累计传功或被传功1次	Gold|10	
GetMeFight_1	GetMeFight	2	3			渐入佳境	累计传功或被传功3次	Gold|10	
GetMeFight_1	GetMeFight	3	10			功力深厚	累计传功或被传功10次	Gold|20	
GetMeFight_1	GetMeFight	4	30			修为精湛	累计传功或被传功30次	Gold|30	1006
GetMeFight_1	GetMeFight	5	100	1		炉火纯青	累计传功或被传功100次	Gold|50	1007
FamilyContribute_1	FamilyContribute	1	1			家族捐献	完成1次家族捐献	Gold|10	
FamilyContribute_1	FamilyContribute	2	10			无私捐献	完成10次家族捐献	Gold|20	
FamilyContribute_1	FamilyContribute	3	50			功勋卓著	完成50次家族捐献	Gold|30	
FamilyContribute_1	FamilyContribute	4	200			顶梁柱	完成200次家族捐献	Gold|50	
