Kind	KeyID	Hide	SubTitle	BigTitle	NotVersion_hk	NotVersion_xm	NotVersion_en	NotVersion_kor	NotVersion_th	NotVersion_vn
SignIn_1	1		侠客之路	综合						
PerfectDay_1	2		勤耕不辍	综合						
PerfectDay_3	3		勤耕不辍	综合						
PerfectDay_2	4		勤耕不辍	综合						
PerfectDay_4	5		勤耕不辍	综合						
PerfectDay_5	6		勤耕不辍	综合						
PerfectMonth	7		勤耕不辍	综合						
AchievementPoint	8		功成名就	综合						
PlayerLevel	9		等级	成长						
HonorLevel_1	10		头衔	成长						
Label	11		头衔	成长						
Title_Normal	12		称号	成长						
Title_Purple	13		称号	成长						
Title_Pink	14		称号	成长						
Title_Orange	15		称号	成长						
Title_Gold	16		称号	成长						
Title_Collector	17		称号	成长						
Task_1	18		经历	成长						
Task_2	19		经历	成长						
Task_3	20		经历	成长						
Task_4	21		经历	成长						
Task_5	22		经历	成长						
Task_6	23		经历	成长						
Task_7	24		经历	成长						
Task_8	25		经历	成长						
Task_9	26		经历	成长						
Task_10	27		经历	成长						
Task_11	28		经历	成长						
Task_12	29		经历	成长						
Task_13	30		经历	成长						
Equip_1	31		装备	能力						
Equip_2	32		装备	能力						
Equip_3	33		装备	能力						
InsetOnce_1	34		装备	能力						
InsetMaster_1	35		装备	能力						
InsetMaster_2	36		装备	能力						
InsetMaster_3	37		装备	能力						
InsetMaster_4	38		装备	能力						
InsetMaster_5	39		装备	能力						
InsetMaster_6	40		装备	能力						
EquipRefinement_1	41		装备	能力						
EquipRefinement_2	42		装备	能力						
EquipRefinement_3	43		装备	能力						
EquipRefinement_4	44		装备	能力						
EquipRefinement_5	45		装备	能力						
EnhanceOnce_1	46		装备	能力						
EnhanceMaster_1	47		装备	能力						
EnhanceMaster_2	48		装备	能力						
EnhanceMaster_3	49		装备	能力						
EnhanceMaster_4	50		装备	能力						
EnhanceMaster_5	51		装备	能力						
EnhanceMaster_6	52		装备	能力						
EnhanceFailure_1	53		装备	能力						
EnhanceFailure_2	54		装备	能力						
EnhanceFailure_3	55		装备	能力						
EnhanceFailure_4	56		装备	能力						
EnhanceFailure_5	57		装备	能力						
EnhanceFailure_6	58		装备	能力						
Partner_1	59		同伴	能力						
Partner_4	60		同伴	能力						
Partner_6	61		同伴	能力						
Partner_8	62		同伴	能力						
Partner_3	63		同伴	能力						
Partner_5	64		同伴	能力						
Partner_7	65		同伴	能力						
Partner_Skill1	66		同伴	能力						
Partner_Skill2	67		同伴	能力						
Partner_Skill3	68		同伴	能力						
Partner_Skill4	69		同伴	能力						
Partner_Equip	70		同伴	能力						
Partner_Awaken	71		同伴	能力						
Partner_CE	72		同伴	能力						
Guest_Amount	73		门客	能力						
Guest_Property	74		门客	能力						
Guest_Combination	75		门客	能力						
Guest_Defend	76		门客	能力						
Guest_Fealty	77		门客	能力						
Guest_Task1	78		门客	能力						
Guest_Task2	79		门客	能力						
Guest_Task3	80		门客	能力						
Guest_Task4	81		门客	能力						
Meridian	82		经脉	能力						
Meridian_Qugu1	83		经脉	能力						
Meridian_Changqiang1	84		经脉	能力						
Meridian_Youmen1	85		经脉	能力						
Meridian_Jingming1	86		经脉	能力						
Meridian_Failure_1	87		经脉	能力						
Meridian_Failure	88		经脉	能力						
Knack_1	89		阵法	能力						
Knack_2	90		阵法	能力						
Knack_3	91		阵法	能力						
Knack_4	92		阵法	能力						
ZhenYuan_1	93		真元	能力						
ZhenYuan_Rare	94		真元	能力						
ZhenYuan_Skill	95		真元	能力						
ZhenYuanRefinement_1	96		真元	能力						
ZhenYuanRefinement_2	97		真元	能力						
ZhenYuanRefinement_Skill	98		真元	能力						
HuaShan_1	99		华山论剑	竞技						
HuaShan_Alone	100		华山论剑	竞技						
HuaShanLunJian_16	101		华山论剑	竞技						
HuaShanLunJian_8	102		华山论剑	竞技						
HuaShanLunJian_4	103		华山论剑	竞技						
HuaShanLunJian_1	104		华山论剑	竞技						
FactionBattle_1	105		门派竞技	竞技						
FactionBattle_2	106		门派竞技	竞技						
FactionBattle_3	107		门派竞技	竞技						
FactionBattle_4	108		门派竞技	竞技						
FactionBattle_5	109		门派竞技	竞技						
FactionBattleNew_1	110		门派竞技	竞技						
FactionBattleBrother_1	111		门派竞技	竞技						
FactionBattleBrother_2	112		门派竞技	竞技						
QunYingHui_1	113		群英会	竞技						
QunYingHui_5	114		群英会	竞技						
QunYingHui_12	115		群英会	竞技						
QunYingHui_12P	116		群英会	竞技						
QunYingHui_16	117		群英会	竞技						
Battle_1	118		宋金战场	竞技						
Battle_3	119		宋金战场	竞技						
Battle_Combo1	120		宋金战场	竞技						
Battle_Combo2	121		宋金战场	竞技						
Battle_Combo3	122		宋金战场	竞技						
