Level	FightPower	StLevel_Weapon	StLevel_Armor	StLevel_Necklace	StLevel_Ring	StLevel_Pendant	StLevel_Amulet	StLevel_Helm	StLevel_Cuff	StLevel_Belt	StLevel_Boots	FP_Weapon	FP_Armor	FP_Necklace	FP_Ring	FP_Pendant	FP_Amulet	FP_Helm	FP_Cuff	FP_Belt	FP_Boots
1	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
2	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
3	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
4	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
5	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
6	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
7	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
8	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
9	520	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
10	1100	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
11	1100	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
12	1100	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
13	1100	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
14	1100	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
15	2900	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
16	2900	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
17	2900	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
18	2900	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
