Level	FightPower
1	10
2	20
3	30
4	40
5	50
6	60
7	70
8	80
9	90
10	100
11	120
12	140
13	160
14	180
15	200
16	220
17	240
18	260
19	280
20	300
21	370
22	440
23	510
24	580
25	650
26	720
27	790
28	860
29	930
30	1000
31	1200
32	1400
33	1600
34	1800
35	2000
36	2200
37	2400
38	2600
39	2800
40	3000
41	3400
42	3800
43	4200
44	4600
45	5000
46	5400
47	5800
48	6200
49	6600
50	7000
51	7800
52	8600
53	9400
54	10200
55	11000
56	11800
57	12600
58	13400
59	14200
60	15000
61	17000
62	19000
63	21000
64	23000
65	25000
66	27000
67	29000
68	31000
69	33000
70	35000
71	38500
72	42000
73	45500
74	49000
75	52500
76	56000
77	59500
78	63000
79	66500
80	70000
81	76500
82	83000
83	89500
84	96000
85	102500
86	109000
87	115500
88	122000
89	128500
90	135000
91	150000
92	165000
93	180000
94	195000
95	210000
96	225000
97	240000
98	255000
99	270000
100	285000
101	300000
102	315000
103	330000
104	345000
105	360000
106	375000
107	390000
108	405000
109	420000
110	435000
111	450000
112	465000
113	480000
114	495000
115	510000
116	525000
117	540000
118	555000
119	570000
120	585000
121	600000
122	615000
123	630000
124	645000
125	660000
126	675000
127	690000
128	705000
129	720000
130	720000
