Level	FightPower
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	200
21	200
22	200
23	200
24	200
25	600
26	600
27	600
28	600
29	600
30	1200
31	1200
32	1200
33	1200
34	1200
35	2400
36	2400
37	2400
38	2400
39	2400
40	4800
41	4800
42	4800
43	4800
44	4800
45	8800
46	8800
47	8800
48	8800
49	8800
50	16800
51	16800
52	16800
53	16800
54	16800
55	16800
56	16800
57	16800
58	16800
59	16800
60	32800
61	32800
62	32800
63	32800
64	32800
65	32800
66	32800
67	32800
68	32800
69	32800
70	64800
71	64800
72	64800
73	64800
74	64800
75	64800
76	64800
77	64800
78	64800
79	64800
80	136800
81	136800
82	136800
83	136800
84	136800
85	136800
86	136800
87	136800
88	136800
89	136800
90	280800
91	280800
92	280800
93	280800
94	280800
95	280800
96	280800
97	280800
98	280800
99	280800
100	280800
101	280800
102	280800
103	280800
104	280800
105	280800
106	280800
107	280800
108	280800
109	280800
110	280800
111	280800
112	280800
113	280800
114	280800
115	280800
116	280800
117	280800
118	280800
119	280800
120	280800
121	280800
122	280800
123	280800
124	280800
125	280800
126	280800
127	280800
128	280800
129	280800
130	280800
