Level	FightPower	FP_1	FP_2	FP_3	FP_4
100	20000	20000			
101	20000	20000			
102	20000	20000			
103	20000	20000			
104	20000	20000			
105	40000	20000	20000		
106	40000	20000	20000		
107	40000	20000	20000		
108	40000	20000	20000		
109	40000	20000	20000		
110	40000	20000	20000		
111	40000	20000	20000		
112	40000	20000	20000		
113	40000	20000	20000		
114	40000	20000	20000		
115	40000	20000	20000		
116	40000	20000	20000		
117	40000	20000	20000		
118	40000	20000	20000		
119	40000	20000	20000		
120	40000	20000	20000		
121	40000	20000	20000		
122	40000	20000	20000		
123	40000	20000	20000		
124	40000	20000	20000		
125	40000	20000	20000		
126	40000	20000	20000		
127	40000	20000	20000		
128	40000	20000	20000		
129	40000	20000	20000		
130	40000	20000	20000		
