Level	FightPower
80	22200
81	22200
82	22200
83	22200
84	22200
85	22200
86	22200
87	22200
88	22200
89	22200
90	36600
91	36600
92	36600
93	36600
94	36600
95	36600
96	36600
97	36600
98	36600
99	36600
100	65400
101	65400
102	65400
103	65400
104	65400
105	65400
106	65400
107	65400
108	65400
109	65400
110	108600
111	108600
112	108600
113	108600
114	108600
115	108600
116	108600
117	108600
118	108600
119	108600
120	173400
121	173400
122	173400
123	173400
124	173400
125	173400
126	173400
127	173400
128	173400
129	173400
130	259800
