Level	FightPower
1	92600
2	92700
3	92800
4	92900
5	93000
6	93100
7	93200
8	93300
9	93400
10	93500
11	93600
12	93800
13	94000
14	94200
15	94400
16	94600
17	94800
18	95000
19	95200
20	100704
21	100904
22	103264
23	103564
24	106685
25	107385
26	109745
27	110045
28	113166
29	116466
30	121048
31	121448
32	124669
33	125069
34	127629
35	129329
36	132650
37	133150
38	135710
39	136210
40	154850
41	159658
42	166074
43	170882
44	177448
45	189622
46	196188
47	201146
48	207712
49	212670
50	251670
51	257270
52	266470
53	272070
54	281420
55	294370
56	303720
57	309470
58	318820
59	324570
60	438028
61	458260
62	487124
63	508356
64	537220
65	596215
66	633079
67	662311
68	699175
69	718607
70	977412
71	1027652
72	1104932
73	1155172
74	1242452
75	1349272
76	1436552
77	1486792
78	1574072
79	1624612
80	2231176
81	2277825
82	2357622
83	2404271
84	2484068
85	2670015
86	2749812
87	2796461
88	2876258
89	2923407
90	3720388
91	3786996
92	3946212
93	4012820
94	4172036
95	4386859
96	4556075
97	4622683
98	4791899
99	4859507
100	5457987
101	5502987
102	5703987
103	5748987
104	5801987
105	6030987
106	6083987
107	6130987
108	6383987
109	6430987
110	6929387
111	6997987
112	7130187
113	7198787
114	7330987
115	7576432
116	7708632
117	7777232
118	7909432
119	7978032
120	8346032
121	8357032
122	8374032
123	8385032
124	8402032
125	8425032
126	8442032
127	8453032
128	8470032
129	8481032
130	8877365
