Level	FightPower	StLevel_1	StLevel_2	StLevel_3	StLevel_4	FP_1	FP_2	FP_3	FP_4
40	5000	3				5000			
41	5000	3				5000			
42	5000	3				5000			
43	5000	3				5000			
44	5000	3				5000			
45	5000	3				5000			
46	5000	3				5000			
47	5000	3				5000			
48	5000	3				5000			
49	5000	3				5000			
50	10000	3	3			5000	5000		
51	10000	3	3			5000	5000		
52	10000	3	3			5000	5000		
53	10000	3	3			5000	5000		
54	10000	3	3			5000	5000		
55	10000	3	3			5000	5000		
56	10000	3	3			5000	5000		
57	10000	3	3			5000	5000		
58	10000	3	3			5000	5000		
59	10000	3	3			5000	5000		
60	37500	4	3	3		27500	5000	5000	
61	37500	4	3	3		27500	5000	5000	
62	37500	4	3	3		27500	5000	5000	
63	37500	4	3	3		27500	5000	5000	
64	37500	4	3	3		27500	5000	5000	
65	60000	4	4	3		27500	27500	5000	
66	60000	4	4	3		27500	27500	5000	
67	60000	4	4	3		27500	27500	5000	
68	60000	4	4	3		27500	27500	5000	
69	60000	4	4	3		27500	27500	5000	
70	87500	4	4	4	3	27500	27500	27500	5000
71	87500	4	4	4	3	27500	27500	27500	5000
72	87500	4	4	4	3	27500	27500	27500	5000
73	87500	4	4	4	3	27500	27500	27500	5000
74	87500	4	4	4	3	27500	27500	27500	5000
75	110000	4	4	4	4	27500	27500	27500	27500
76	110000	4	4	4	4	27500	27500	27500	27500
77	110000	4	4	4	4	27500	27500	27500	27500
78	110000	4	4	4	4	27500	27500	27500	27500
79	110000	4	4	4	4	27500	27500	27500	27500
80	153000	5	4	4	4	70500	27500	27500	27500
81	153000	5	4	4	4	70500	27500	27500	27500
82	153000	5	4	4	4	70500	27500	27500	27500
83	153000	5	4	4	4	70500	27500	27500	27500
84	153000	5	4	4	4	70500	27500	27500	27500
85	196000	5	5	4	4	70500	70500	27500	27500
86	196000	5	5	4	4	70500	70500	27500	27500
87	196000	5	5	4	4	70500	70500	27500	27500
88	196000	5	5	4	4	70500	70500	27500	27500
89	196000	5	5	4	4	70500	70500	27500	27500
90	239000	5	5	5	4	70500	70500	70500	27500
91	239000	5	5	5	4	70500	70500	70500	27500
92	239000	5	5	5	4	70500	70500	70500	27500
93	239000	5	5	5	4	70500	70500	70500	27500
94	239000	5	5	5	4	70500	70500	70500	27500
95	282000	5	5	5	5	70500	70500	70500	70500
96	282000	5	5	5	5	70500	70500	70500	70500
97	282000	5	5	5	5	70500	70500	70500	70500
98	282000	5	5	5	5	70500	70500	70500	70500
99	282000	5	5	5	5	70500	70500	70500	70500
100	282000	5	5	5	5	70500	70500	70500	70500
101	282000	5	5	5	5	70500	70500	70500	70500
102	282000	5	5	5	5	70500	70500	70500	70500
103	282000	5	5	5	5	70500	70500	70500	70500
104	282000	5	5	5	5	70500	70500	70500	70500
105	282000	5	5	5	5	70500	70500	70500	70500
106	282000	5	5	5	5	70500	70500	70500	70500
107	282000	5	5	5	5	70500	70500	70500	70500
108	282000	5	5	5	5	70500	70500	70500	70500
109	282000	5	5	5	5	70500	70500	70500	70500
110	282000	5	5	5	5	70500	70500	70500	70500
111	282000	5	5	5	5	70500	70500	70500	70500
112	282000	5	5	5	5	70500	70500	70500	70500
113	282000	5	5	5	5	70500	70500	70500	70500
114	282000	5	5	5	5	70500	70500	70500	70500
115	282000	5	5	5	5	70500	70500	70500	70500
116	282000	5	5	5	5	70500	70500	70500	70500
117	282000	5	5	5	5	70500	70500	70500	70500
118	282000	5	5	5	5	70500	70500	70500	70500
119	282000	5	5	5	5	70500	70500	70500	70500
120	282000	5	5	5	5	70500	70500	70500	70500
121	282000	5	5	5	5	70500	70500	70500	70500
122	282000	5	5	5	5	70500	70500	70500	70500
123	282000	5	5	5	5	70500	70500	70500	70500
124	282000	5	5	5	5	70500	70500	70500	70500
125	282000	5	5	5	5	70500	70500	70500	70500
126	282000	5	5	5	5	70500	70500	70500	70500
127	282000	5	5	5	5	70500	70500	70500	70500
128	282000	5	5	5	5	70500	70500	70500	70500
129	282000	5	5	5	5	70500	70500	70500	70500
130	282000	5	5	5	5	70500	70500	70500	70500
