Level	FightPower	FP_Weapon	FP_Armor	FP_Necklace	FP_Ring	FP_Pendant	FP_Amulet	FP_Helm	FP_Cuff	FP_Belt	FP_Boots
1	3600	900	540	360	360	360	360	180	180	180	180
2	3600	900	540	360	360	360	360	180	180	180	180
3	3600	900	540	360	360	360	360	180	180	180	180
4	3600	900	540	360	360	360	360	180	180	180	180
5	3600	900	540	360	360	360	360	180	180	180	180
6	3600	900	540	360	360	360	360	180	180	180	180
7	3600	900	540	360	360	360	360	180	180	180	180
8	3600	900	540	360	360	360	360	180	180	180	180
9	3600	900	540	360	360	360	360	180	180	180	180
10	3600	900	540	360	360	360	360	180	180	180	180
11	3600	900	540	360	360	360	360	180	180	180	180
12	3600	900	540	360	360	360	360	180	180	180	180
13	3600	900	540	360	360	360	360	180	180	180	180
14	3600	900	540	360	360	360	360	180	180	180	180
15	3600	900	540	360	360	360	360	180	180	180	180
16	3600	900	540	360	360	360	360	180	180	180	180
17	3600	900	540	360	360	360	360	180	180	180	180
18	3600	900	540	360	360	360	360	180	180	180	180
19	3600	900	540	360	360	360	360	180	180	180	180
20	4500	1800	540	360	360	360	360	180	180	180	180
21	4500	1800	540	360	360	360	360	180	180	180	180
22	4680	1800	540	360	360	360	360	360	180	180	180
23	4680	1800	540	360	360	360	360	360	180	180	180
24	5040	1800	540	720	360	360	360	360	180	180	180
25	5040	1800	540	720	360	360	360	360	180	180	180
26	5220	1800	540	720	360	360	360	360	360	180	180
27	5220	1800	540	720	360	360	360	360	360	180	180
28	5580	1800	540	720	720	360	360	360	360	180	180
29	5580	1800	540	720	720	360	360	360	360	180	180
30	6120	1800	1080	720	720	360	360	360	360	180	180
31	6120	1800	1080	720	720	360	360	360	360	180	180
32	6480	1800	1080	720	720	720	360	360	360	180	180
33	6480	1800	1080	720	720	720	360	360	360	180	180
34	6660	1800	1080	720	720	720	360	360	360	360	180
35	6660	1800	1080	720	720	720	360	360	360	360	180
36	7020	1800	1080	720	720	720	720	360	360	360	180
37	7020	1800	1080	720	720	720	720	360	360	360	180
38	7200	1800	1080	720	720	720	720	360	360	360	360
39	7200	1800	1080	720	720	720	720	360	360	360	360
40	10200	4800	1080	720	720	720	720	360	360	360	360
41	10800	4800	1080	720	720	720	720	960	360	360	360
42	12000	4800	1080	1920	720	720	720	960	360	360	360
43	12600	4800	1080	1920	720	720	720	960	960	360	360
44	13800	4800	1080	1920	1920	720	720	960	960	360	360
45	15600	4800	2880	1920	1920	720	720	960	960	360	360
46	16800	4800	2880	1920	1920	1920	720	960	960	360	360
47	17400	4800	2880	1920	1920	1920	720	960	960	960	360
48	18600	4800	2880	1920	1920	1920	1920	960	960	960	360
49	19200	4800	2880	1920	1920	1920	1920	960	960	960	960
50	26400	12000	2880	1920	1920	1920	1920	960	960	960	960
51	27840	12000	2880	1920	1920	1920	1920	2400	960	960	960
52	30720	12000	2880	4800	1920	1920	1920	2400	960	960	960
53	32160	12000	2880	4800	1920	1920	1920	2400	2400	960	960
54	35040	12000	2880	4800	4800	1920	1920	2400	2400	960	960
55	39360	12000	7200	4800	4800	1920	1920	2400	2400	960	960
56	42240	12000	7200	4800	4800	4800	1920	2400	2400	960	960
57	43680	12000	7200	4800	4800	4800	1920	2400	2400	2400	960
58	46560	12000	7200	4800	4800	4800	4800	2400	2400	2400	960
59	48000	12000	7200	4800	4800	4800	4800	2400	2400	2400	2400
60	66000	30000	7200	4800	4800	4800	4800	2400	2400	2400	2400
61	69600	30000	7200	4800	4800	4800	4800	6000	2400	2400	2400
62	76800	30000	7200	12000	4800	4800	4800	6000	2400	2400	2400
63	80400	30000	7200	12000	4800	4800	4800	6000	6000	2400	2400
64	87600	30000	7200	12000	12000	4800	4800	6000	6000	2400	2400
65	98400	30000	18000	12000	12000	4800	4800	6000	6000	2400	2400
66	105600	30000	18000	12000	12000	12000	4800	6000	6000	2400	2400
67	109200	30000	18000	12000	12000	12000	4800	6000	6000	6000	2400
68	116400	30000	18000	12000	12000	12000	12000	6000	6000	6000	2400
69	120000	30000	18000	12000	12000	12000	12000	6000	6000	6000	6000
70	252000	162000	18000	12000	12000	12000	12000	6000	6000	6000	6000
71	278400	162000	18000	12000	12000	12000	12000	32400	6000	6000	6000
72	331200	162000	18000	64800	12000	12000	12000	32400	6000	6000	6000
73	339600	162000	18000	64800	12000	12000	12000	32400	14400	6000	6000
74	356400	162000	18000	64800	28800	12000	12000	32400	14400	6000	6000
75	435600	162000	97200	64800	28800	12000	12000	32400	14400	6000	6000
76	488400	162000	97200	64800	28800	64800	12000	32400	14400	6000	6000
77	514800	162000	97200	64800	28800	64800	12000	32400	14400	32400	6000
78	531600	162000	97200	64800	28800	64800	28800	32400	14400	32400	6000
79	540000	162000	97200	64800	28800	64800	28800	32400	14400	32400	14400
80	672000	294000	97200	64800	28800	64800	28800	32400	14400	32400	14400
81	698400	294000	97200	64800	28800	64800	28800	58800	14400	32400	14400
82	751200	294000	97200	117600	28800	64800	28800	58800	14400	32400	14400
83	766800	294000	97200	117600	28800	64800	28800	58800	30000	32400	14400
84	798000	294000	97200	117600	60000	64800	28800	58800	30000	32400	14400
85	877200	294000	176400	117600	60000	64800	28800	58800	30000	32400	14400
86	930000	294000	176400	117600	60000	117600	28800	58800	30000	32400	14400
87	956400	294000	176400	117600	60000	117600	28800	58800	30000	58800	14400
88	987600	294000	176400	117600	60000	117600	60000	58800	30000	58800	14400
89	1003200	294000	176400	117600	60000	117600	60000	58800	30000	58800	30000
90	1150200	441000	176400	117600	60000	117600	60000	58800	30000	58800	30000
91	1179600	441000	176400	117600	60000	117600	60000	88200	30000	58800	30000
92	1238400	441000	176400	176400	60000	117600	60000	88200	30000	58800	30000
93	1253400	441000	176400	176400	60000	117600	60000	88200	45000	58800	30000
94	1283400	441000	176400	176400	90000	117600	60000	88200	45000	58800	30000
95	1371600	441000	264600	176400	90000	117600	60000	88200	45000	58800	30000
96	1430400	441000	264600	176400	90000	176400	60000	88200	45000	58800	30000
97	1459800	441000	264600	176400	90000	176400	60000	88200	45000	88200	30000
98	1489800	441000	264600	176400	90000	176400	90000	88200	45000	88200	30000
99	1504800	441000	264600	176400	90000	176400	90000	88200	45000	88200	45000
100	1606800	543000	264600	176400	90000	176400	90000	88200	45000	88200	45000
101	1627200	543000	264600	176400	90000	176400	90000	108600	45000	88200	45000
102	1668000	543000	264600	217200	90000	176400	90000	108600	45000	88200	45000
103	1674000	543000	264600	217200	90000	176400	90000	108600	51000	88200	45000
104	1686000	543000	264600	217200	102000	176400	90000	108600	51000	88200	45000
105	1747200	543000	325800	217200	102000	176400	90000	108600	51000	88200	45000
106	1788000	543000	325800	217200	102000	217200	90000	108600	51000	88200	45000
107	1808400	543000	325800	217200	102000	217200	90000	108600	51000	108600	45000
108	1820400	543000	325800	217200	102000	217200	102000	108600	51000	108600	45000
109	1826400	543000	325800	217200	102000	217200	102000	108600	51000	108600	51000
110	1928400	645000	325800	217200	102000	217200	102000	108600	51000	108600	51000
111	1948800	645000	325800	217200	102000	217200	102000	129000	51000	108600	51000
112	1989600	645000	325800	258000	102000	217200	102000	129000	51000	108600	51000
113	1995600	645000	325800	258000	102000	217200	102000	129000	57000	108600	51000
114	2007600	645000	325800	258000	114000	217200	102000	129000	57000	108600	51000
115	2068800	645000	387000	258000	114000	217200	102000	129000	57000	108600	51000
116	2109600	645000	387000	258000	114000	258000	102000	129000	57000	108600	51000
117	2130000	645000	387000	258000	114000	258000	102000	129000	57000	129000	51000
118	2142000	645000	387000	258000	114000	258000	114000	129000	57000	129000	51000
119	2148000	645000	387000	258000	114000	258000	114000	129000	57000	129000	57000
120	2250000	747000	387000	258000	114000	258000	114000	129000	57000	129000	57000
121	2270400	747000	387000	258000	114000	258000	114000	149400	57000	129000	57000
122	2311200	747000	387000	298800	114000	258000	114000	149400	57000	129000	57000
123	2317200	747000	387000	298800	114000	258000	114000	149400	63000	129000	57000
124	2329200	747000	387000	298800	126000	258000	114000	149400	63000	129000	57000
125	2390400	747000	448200	298800	126000	258000	114000	149400	63000	129000	57000
126	2431200	747000	448200	298800	126000	298800	114000	149400	63000	129000	57000
127	2451600	747000	448200	298800	126000	298800	114000	149400	63000	149400	57000
128	2463600	747000	448200	298800	126000	298800	126000	149400	63000	149400	57000
129	2469600	747000	448200	298800	126000	298800	126000	149400	63000	149400	63000
130	2579100	856500	448200	298800	126000	298800	126000	149400	63000	149400	63000
