Level	FightPower	StLevel	StQuality
60	115000	1	6
61	115000	1	6
62	115000	1	6
63	115000	1	6
64	115000	1	6
65	115000	1	6
66	115000	1	6
67	115000	1	6
68	115000	1	6
69	115000	1	6
70	192000	2	6
71	192000	2	6
72	192000	2	6
73	192000	2	6
74	192000	2	6
75	192000	2	6
76	192000	2	6
77	192000	2	6
78	192000	2	6
79	192000	2	6
80	306000	3	6
81	306000	3	6
82	306000	3	6
83	306000	3	6
84	306000	3	6
85	306000	3	6
86	306000	3	6
87	306000	3	6
88	306000	3	6
89	306000	3	6
90	418000	4	6
91	418000	4	6
92	418000	4	6
93	418000	4	6
94	418000	4	6
95	418000	4	6
96	418000	4	6
97	418000	4	6
98	418000	4	6
99	418000	4	6
100	540000	5	6
101	540000	5	6
102	540000	5	6
103	540000	5	6
104	540000	5	6
105	540000	5	6
106	540000	5	6
107	540000	5	6
108	540000	5	6
109	540000	5	6
110	708000	6	6
111	708000	6	6
112	708000	6	6
113	708000	6	6
114	708000	6	6
115	708000	6	6
116	708000	6	6
117	708000	6	6
118	708000	6	6
119	708000	6	6
120	856000	7	6
121	856000	7	6
122	856000	7	6
123	856000	7	6
124	856000	7	6
125	856000	7	6
126	856000	7	6
127	856000	7	6
128	856000	7	6
129	856000	7	6
130	1014000	8	6
