Level	FightPower	StLevel_Horse	StLevel_Rein	StLevel_Saddle	StLevel_Pedal	FP_Horse	FP_Rein	FP_Saddle	FP_Pedal
1	500	1				500			
2	500	1				500			
3	500	1				500			
4	500	1				500			
5	500	1				500			
6	500	1				500			
7	500	1				500			
8	500	1				500			
9	500	1				500			
10	500	1				500			
11	500	1				500			
12	500	1				500			
13	500	1				500			
14	500	1				500			
15	500	1				500			
16	500	1				500			
17	500	1				500			
18	500	1				500			
19	500	1				500			
20	500	1				500			
21	500	1				500			
22	500	1				500			
23	500	1				500			
24	500	1				500			
25	500	1				500			
26	500	1				500			
27	500	1				500			
28	500	1				500			
29	500	1				500			
30	500	1				500			
31	500	1				500			
32	500	1				500			
33	500	1				500			
34	500	1				500			
35	500	1				500			
36	500	1				500			
37	500	1				500			
38	500	1				500			
39	500	1				500			
40	500	1				500			
41	500	1				500			
42	500	1				500			
43	500	1				500			
44	500	1				500			
45	500	1				500			
46	500	1				500			
47	500	1				500			
48	500	1				500			
49	500	1				500			
50	6000	3				6000			
51	6000	3				6000			
52	6000	3				6000			
53	6000	3				6000			
54	6000	3				6000			
55	6000	3				6000			
56	6000	3				6000			
57	6000	3				6000			
58	6000	3				6000			
59	6000	3				6000			
60	6000	3				6000			
61	6000	3				6000			
62	6000	3				6000			
63	6000	3				6000			
64	6000	3				6000			
65	6000	3				6000			
66	6000	3				6000			
67	6000	3				6000			
68	6000	3				6000			
69	6000	3				6000			
70	13200	4				13200			
71	13200	4				13200			
72	13200	4				13200			
73	13200	4				13200			
74	13200	4				13200			
75	13200	4				13200			
76	13200	4				13200			
77	13200	4				13200			
78	13200	4				13200			
79	13200	4				13200			
80	85200	4	3	3	3	13200	30000	24000	18000
81	85200	4	3	3	3	13200	30000	24000	18000
82	85200	4	3	3	3	13200	30000	24000	18000
83	85200	4	3	3	3	13200	30000	24000	18000
84	85200	4	3	3	3	13200	30000	24000	18000
85	85200	4	3	3	3	13200	30000	24000	18000
86	85200	4	3	3	3	13200	30000	24000	18000
87	85200	4	3	3	3	13200	30000	24000	18000
88	85200	4	3	3	3	13200	30000	24000	18000
89	85200	4	3	3	3	13200	30000	24000	18000
90	96000	5	3	3	3	24000	30000	24000	18000
91	96000	5	3	3	3	24000	30000	24000	18000
92	96000	5	3	3	3	24000	30000	24000	18000
93	96000	5	3	3	3	24000	30000	24000	18000
94	96000	5	3	3	3	24000	30000	24000	18000
95	96000	5	3	3	3	24000	30000	24000	18000
96	96000	5	3	3	3	24000	30000	24000	18000
97	96000	5	3	3	3	24000	30000	24000	18000
98	96000	5	3	3	3	24000	30000	24000	18000
99	96000	5	3	3	3	24000	30000	24000	18000
100	168000	5	4	4	4	24000	60000	48000	36000
101	168000	5	4	4	4	24000	60000	48000	36000
102	168000	5	4	4	4	24000	60000	48000	36000
103	168000	5	4	4	4	24000	60000	48000	36000
104	168000	5	4	4	4	24000	60000	48000	36000
105	168000	5	4	4	4	24000	60000	48000	36000
106	168000	5	4	4	4	24000	60000	48000	36000
107	168000	5	4	4	4	24000	60000	48000	36000
108	168000	5	4	4	4	24000	60000	48000	36000
109	168000	5	4	4	4	24000	60000	48000	36000
110	182400	6	4	4	4	38400	60000	48000	36000
111	182400	6	4	4	4	38400	60000	48000	36000
112	182400	6	4	4	4	38400	60000	48000	36000
113	182400	6	4	4	4	38400	60000	48000	36000
114	182400	6	4	4	4	38400	60000	48000	36000
115	182400	6	4	4	4	38400	60000	48000	36000
116	182400	6	4	4	4	38400	60000	48000	36000
117	182400	6	4	4	4	38400	60000	48000	36000
118	182400	6	4	4	4	38400	60000	48000	36000
119	182400	6	4	4	4	38400	60000	48000	36000
120	290400	6	5	5	5	38400	105000	84000	63000
121	290400	6	5	5	5	38400	105000	84000	63000
122	290400	6	5	5	5	38400	105000	84000	63000
123	290400	6	5	5	5	38400	105000	84000	63000
124	290400	6	5	5	5	38400	105000	84000	63000
125	290400	6	5	5	5	38400	105000	84000	63000
126	290400	6	5	5	5	38400	105000	84000	63000
127	290400	6	5	5	5	38400	105000	84000	63000
128	290400	6	5	5	5	38400	105000	84000	63000
129	290400	6	5	5	5	38400	105000	84000	63000
130	308400	7	5	5	5	56400	105000	84000	63000
131	308400	7	5	5	5	56400	105000	84000	63000
132	308400	7	5	5	5	56400	105000	84000	63000
133	308400	7	5	5	5	56400	105000	84000	63000
134	308400	7	5	5	5	56400	105000	84000	63000
135	308400	7	5	5	5	56400	105000	84000	63000
136	308400	7	5	5	5	56400	105000	84000	63000
137	308400	7	5	5	5	56400	105000	84000	63000
138	308400	7	5	5	5	56400	105000	84000	63000
139	308400	7	5	5	5	56400	105000	84000	63000
140	416400	7	6	6	6	56400	150000	120000	90000
141	416400	7	6	6	6	56400	150000	120000	90000
142	416400	7	6	6	6	56400	150000	120000	90000
143	416400	7	6	6	6	56400	150000	120000	90000
144	416400	7	6	6	6	56400	150000	120000	90000
145	416400	7	6	6	6	56400	150000	120000	90000
146	416400	7	6	6	6	56400	150000	120000	90000
147	416400	7	6	6	6	56400	150000	120000	90000
148	416400	7	6	6	6	56400	150000	120000	90000
149	416400	7	6	6	6	56400	150000	120000	90000
150	416400	7	6	6	6	56400	150000	120000	90000
