Level	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	StoneId8	StoneId9	StoneId10	desc
20	3	1838	1815	1876								武器
20	1	1713	1732	1799	1818	1819	1820	1789	1790	1773	1776	衣服
20	8	1743	1787	1806	1857	1850						项链
20	7	1731	1762	1879	1859							戒指
20	9	1763	1765	1803	1872	1856						玉佩
20	6	1733	1775	1855	1858							护身符
20	0	1767	1788	1873	1880							头
20	5	1764	1797	1804	1870	1852						护腕
20	2	1768	1805	1816	1782	1783	1784	1874	1863			腰带
20	4	1766	1839	1864	1871							鞋子
40	3	1916	1893	1826	1828	1829	1830	1831	1876	1827		武器
40	1	1791	1810	1877	1896	1897	1898	1867	1868	1851	1854	衣服
40	8	1821	1865	1884	1857	1850						项链
40	7	1809	1840	1878	1879	1859						戒指
40	9	1841	1843	1881	1872	1856						玉佩
40	6	1811	1853	1855	1858							护身符
40	0	1814	1845	1866	1873	1880						头
40	5	1842	1875	1882	1870	1852						护腕
40	2	1846	1812	1883	1894	1901	1903	1860	1861	1862	1874	腰带
40	4	1844	1917	1900	1902	1864	1871					鞋子
50	3	2848	1916	1893	1826	1828	1829	1830	1831	1876	1827	武器
50	1	1791	1810	1877	1896	1897	1898	1867	1868	1851	1854	衣服
50	8	1821	1865	1884	1857	1850						项链
50	7	1809	1840	1878	1879	1859						戒指
50	9	1817	1841	1843	1881	1872	1856					玉佩
50	6	2849	1811	1853	1855	1858						护身符
50	0	1814	1845	1866	1873	1880						头
50	5	1842	1875	1882	1870	1852						护腕
50	2	1846	1812	1883	1894	1901	1903	1860	1861	1862	1874	腰带
50	4	1844	1917	1900	1902	1864	1871					鞋子
60	3	2537	2850	1916	1893	1904	1906	1907	1908	1909	1905	武器
60	1	2538	1869	1888	1877	1896	1897	1898	1867	1868	1851	衣服
60	8	2540	2677	1925	1899	1865	1884	1857	1850			项链
60	7	2543	1887	1918	1878	1879	1859					戒指
60	9	2539	2676	1895	1919	1921	1881	1872	1856			玉佩
60	6	2545	2697	2851	1889	1853	1855	1858				护身符
60	0	2542	2669	1892	1923	1866	1873	1880				头
60	5	1891	1875	1882	1835	1836	1837	1870	1852			护腕
