Key	HelpKey	Type	Time	Desc
ActivityQuestion	ActivityQuestionHelp	单人	全天	每天答题可获得丰厚的奖励，简单又轻松，不要忘记参加噢！
Battle	BattleHelp	单人	每天[FFFE0D]16:30~17:00；20:30~21:00；22:30~23:00[-]	大型多人实时在线的真人群战活动！活动中，你将代表宋方或者金方，与本方其他玩家一起，对抗另一方的玩家。
Boss	BossHelp	单人	每天中午[FFFE0D]12：30~13：00[-]，晚上[FFFE0D]19：30~20：00[-]	与武林盟主切磋获得积分，最终根据排名决定奖励，还可以抢夺其他参与侠士的积分！
CangBaoTu		单人	全天	每一张藏宝图纸上都可能记录着神秘宝藏的藏宝信息。
ChuanGong		单人	全天	传功后双方可以获得大量的经验，双方等级差需≥[FFFE0D]3级[-]；也可以找[FFFE0D]家族总管[-]消耗被传功次数打坐修炼，修炼完毕后可获得经验。
CommerceTask		单人	全天	完成万金财委托的商会任务可以获得丰厚的奖励。
ExplorationFuben		单人	全天	丰厚的宝藏奖励，等待着各位侠士前往探索！
FieldBoss	FieldBossHelp	单人	每天[FFFE0D]15:30[-]，[FFFE0D]22:00[-]时在名将所属禁地刷新	前往名将所属禁地击杀历代名将，将获得丰厚奖励！每日首次攻击历代名将会获得一份额外奖励！
FieldCrossBoss	FieldBossHelp	单人	每周一晚[FFFE0D]22:00[-]时在名将所属禁地刷新	前往名将所属禁地击杀历代名将，将获得丰厚奖励！每日首次攻击历代名将会获得一份额外奖励！
FieldLeader		单人/组队	[FFFE0D]20级以上[-]野外地图每天[FFFE0D]10:00[-]、[FFFE0D]14:00[-]、[FFFE0D]18:00[-]、[FFFE0D]23:00[-]刷新	20级以上野外地图，会刷新多个野外首领，将其击败，可获丰厚奖励！每日完成首次击杀，将获额外奖励！
KinGather		单人	每天[FFFE0D]19:15~19:25[-]	答题、烤火，欢乐的家族相聚时间，不但可以和家族成员相聚，更可以轻松获得奖励哦。
Pray		单人	周一至周四[FFFE0D]11：00~12：00[-]	通过祈福来获得一些特殊的能力加成，对各种活动都是不可多得的助力哦！
PunishTask		组队	全天	[FFFE0D]20级[-] 以上的野外地图有武林恶徒出没，专门打家劫舍、无恶不作，组成 [FFFE0D]3人及以上[-] 的队伍剿灭他们，有丰厚的奖励哦！
QunYingHui		单人/组队	周四[FFFE0D]21:00~21:27[-]	双人跨服无差别实时匹配竞技玩法，所有侠士[FFFE0D]不携带同伴、拥有相同的实力[-]。摆脱装备和等级的桎梏，感受纯操作的竞技快感！
RandomFuben	RandomFubenHelp	组队	全天	江湖中传闻凌绝峰不仅有最庞大的宝藏，而且有最顶尖的武林高手，只是危机与机遇并存，少侠是否能够闯过重重险关？
Rank	RankHelp	单人	全天	可以一次携带四名同伴进行战斗，通过挑战榜单上的其他侠士来提升自己的排名，排名越高奖励越高！
TeamFuben	TeamFubenHelp	组队	全天	与武林中志同道合的侠士结成队伍，一同挑战强力的敌人，更有机会获得丰厚的奖励哦！
TianJiMiZhen	TianJiMiZhenHelp	组队	全天	前世高人所留奇阵，乾坤暗藏，等待侠士前往一探，获取丰厚奖励！
WarOfIceAndFire	WarOfIceAndFire	单人	每天[FFFE0D]13:30、16:00、20:00[-]	单人报名，进入昆仑之巅，和其他玩家进行一场水火大战吧！
AdventureFuben		组队	全天	讨伐无恶不作的山贼，维护武林秩序，更有机会获得丰厚的奖励！
HeroChallenge		单人	全天	与10名英雄进行挑战。获胜可得丰厚奖励。每位英雄有2次挑战机会，失败2次后，就不能再继续挑战了
KinBattle		组队	周三、周五[FFFE0D]20:50~21:30[-]	家族与家族的对战活动
FactionBattle	FactionBattleHelp	单人	[FFFE0D]周三、周日21:00[-]开启	本门派内部的对战竞技比赛。分晋级赛（群战）和淘汰赛（单挑）2个阶段。最终冠军，荣膺本门派的[FFFE0D]新人王[-]！
WhiteTigerFuben	WhiteTigerFubenHelp	单人/组队	11:00、13:00、15:00\n17:00、20:00、24:00	最凶残的实时群战活动，你只有1次生存机会！白虎堂共4层，击败每层首领就可以进入到下一层。每多进一层，就越有可能遇到其他玩家来抢夺
KinEscort		单人/组队	周二、周四、周六\n[FFFE0D]20:00~22:00[-]	家族成员一起共同护送镖车。护送至终点后，可获得奖励。镖车颜色越好，奖励越高。护送过程中，小心敌对家族的人前来劫镖！
KinFokuAct		单人/组队	每天[FFFE0D]20:00[-]开启	家族跨服集体挑战，为抢夺龙门秘宝[FFFE0D]天龙珠[-]而战！
TeamBattle	TeamBattleHelp	组队	周一、周四、周六\n[FFFE0D]21:00[-]、[FFFE0D]23:00[-]开启	三人组队的小队竞技对战活动
