nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo	Desc
1	1	999	OpenLevel199		Item|10378	武林盟主：T18稀有衣服碎片
1	1	999	OpenLevel189	OpenLevel199	Item|10377	武林盟主：T17稀有衣服碎片
1	1	999	OpenLevel179	OpenLevel189	Item|10376	武林盟主：T16稀有衣服碎片
1	1	999	OpenLevel169	OpenLevel179	Item|5825	武林盟主：T15稀有衣服碎片
1	1	999	OpenLevel159	OpenLevel169	Item|5824	武林盟主：T14稀有衣服碎片
1	1	999	OpenLevel149	OpenLevel159	Item|5823	武林盟主：T13稀有衣服碎片
1	1	999	OpenLevel139	OpenLevel149	Item|5822	武林盟主：T12稀有衣服碎片
1	1	999	OpenLevel129	OpenLevel139	Item|5821	武林盟主：T11稀有衣服碎片
1	1	999	OpenLevel119	OpenLevel129	Item|3679	武林盟主：T10稀有衣服碎片
1	1	999	OpenLevel109	OpenLevel119	Item|2981	武林盟主：T9稀有衣服碎片
1	1	999	OpenLevel99	OpenLevel109	Item|2980	武林盟主：T8稀有衣服碎片
1	1	999	OpenLevel159		Item|11748	武林盟主：白金图谱(玉佩)残页
1	1	999	OpenDay188	OpenLevel159	Item|1396	武林盟主：帝皇令
1	1	999	OpenLevel89		Item|3445	武林盟主：赤金驭天绳（3阶缰绳）
1	1	999	OpenLevel89	OpenLevel159	Item|3416	武林盟主：苍虹降龙绳（2阶缰绳）
1	1	999	OpenLevel89		Item|2804	武林盟主：和氏璧
1	1	999	OpenLevel149		Item|10014	武林盟主：随侯珠
1	1	999	OpenLevel89	OpenLevel99	Item|2979	武林盟主：T7稀有衣服碎片
1	1	999	OpenLevel139		Item|3552	武林盟主：鬼谷子同伴
1	1	999	OpenLevel119		Item|11896	武林盟主：披风
1	1	999	OpenLevel109		Item|2255	武林盟主：唐简同伴
1	1	999	OpenLevel89	OpenLevel109	Item|2254	武林盟主：杨影枫同伴
1	1	999	OpenLevel79	OpenLevel89	Item|2253	武林盟主：南宫飞云同伴
1	1	999	OpenLevel49	OpenLevel69	Item|1378	武林盟主：独孤剑同伴
1	1	999	OpenLevel109	OpenLevel159	Item|3897	武林盟主：唐简魂石
1	1	999	OpenLevel139		Item|9977	武林盟主：鬼谷子魂石（阴）
1	1	999	OpenLevel139		Item|9980	武林盟主：鬼谷子魂石（阳）
1	1	999	OpenLevel89	OpenLevel109	Item|2881	武林盟主：杨影枫魂石
1	1	999	OpenLevel79	OpenLevel109	Item|2880	武林盟主：南宫飞云魂石
1	1	999	OpenLevel79	OpenLevel109	Item|2668	武林盟主：独孤剑魂石
1	1	999	OpenLevel159		Item|10979	武林盟主：6级金属
1	1	999	OpenDay399		Item|4310	武林盟主：5级金属
1	1	999	OpenDay224	OpenDay399	Item|4309	武林盟主：4级金属
1	1	999	OpenDay99	OpenDay224	Item|4308	武林盟主：3级金属
