FromMapID	Name	JumpKind	JumpGroup	FromPosX	FromPosY	ToMapID	ToPosX	ToPosY	ToFightState	BeProtected	FromMapDesc	ToMapDesc
4	TrapTesting1					3	200	200	1		丐帮	丐帮练功房
4	TrapTesting2					5	300	400	0		丐帮	丐帮小木屋
6	TrapLock2					6	950	310	0			
5	LuoyeguToErengu					3	2067	3241	0		丐帮	丐帮小木屋
3	ErenguToLuoyegu					101	4968	5618	0		丐帮	丐帮小木屋
3	ErenguToCanghai					1011	2460	2710	0		丐帮	丐帮小木屋
7	CanghaiToErengu					10	7747	8794	0		丐帮	丐帮小木屋
9	XinshouToErengu					3	2092	3232	0		丐帮	丐帮小木屋
9	XinshouToLuoyegu					5	700	700	0		丐帮	丐帮小木屋
9	XinshouToCanghai					7	1280	1800	0		丐帮	丐帮小木屋
3	ErenguToXinshou					9	7550	9237	0		丐帮	丐帮小木屋
9	XinshouToLuoyang					10	7747	8794	0		丐帮	丐帮小木屋
13	LuoyangToXinshou					9	7550	9237	0		丐帮	丐帮小木屋
10	LuoyangToCanghai					7	1280	1800	0		丐帮	丐帮小木屋
404	MlToHs					486	2200	3600	0		苗岭	衡山脚下
400	SyyToLysd					499	2100	3000	0		锁云渊	离忧山洞
400	SyyToSyyxw					484	2750	2420	0		锁云渊	锁云渊小屋
484	WyxwLeave					1000	5000	5500	0		忘忧小屋	忘忧岛
499	LysdToWyg					485	1060	1000	0		离忧山洞	忘忧谷
401	WysToyds					402	7387	5476	0		武夷山	雁荡山
402	YdsToCjsz					483	2766	4386	0		雁荡山	藏剑山庄
403	DthToFlb					494	2670	3890	0		洞庭湖	飞龙堡
494	FlbToDth					403	10659	7546	0		飞龙堡1	洞庭湖
403	DthToBmsz					498	3570	3030	0		洞庭湖	悲魔山庄
403	DthToWyd					1000	5000	5500	0		洞庭湖	忘忧岛
1000	WydToXmhj					495	1400	4550	0		忘忧岛	无忧教禁地
495	WyjdToDth					403	10659	7546	0		无忧教禁地	洞庭湖
496	ZxlToFlb					497	2700	2100	0		摘星楼	飞龙堡
403	DthToZxl					496	1600	3700	0		洞庭湖	摘星楼
497	FlbToDth					403	10659	7546	0		飞龙堡2	洞庭湖
404	MlToJhd1					487	2200	6800	0		苗岭	九猴洞
404	MlToJhd2					480	2200	6800	0		苗岭	九猴洞
