MapId	Title	Info	ShowTime	DealyTime
20	雪山古道		5	1
21	离忧山		5	1
22	无忧禁地		5	1
23	离忧山洞		5	1
24	呼啸栈道		5	1
25	藏剑山庄		5	1
26	忘忧旅道		5	1
27	心魔阵		5	1
28	藏剑幽谷		5	1
29	剑气峰		5	1
30	天山古道		5	1
31	红叶谷		5	1
32	凌绝峰		5	1
33	无忧禁地		5	1
34	摘星地牢		5	1
35	通天塔		5	1
36	悲魔山庄		5	1
37	衡山脚下		5	1
38	九猴洞		5	1
39	福缘庄		5	1
40	碧霞岛		5	1
41	临安城东		5	1
42	武夷派		5	1
43	武夷禁地		5	1
44	临安驿道		5	1
45	暗影竹林		5	1
46	幽暗地牢		5	1
47	长安郊外		5	1
48	华山派		5	1
49	少林幽谷		5	1
50	古战场		5	1
51	萧瑟战场		5	1
52	修武密地		5	1
53	天山凄道		5	1
54	洞庭迷宫		5	1
55	天王校场		5	1
56	五色老巢		5	1
57	三魔绝地		5	1
58	悲泣荒谷		5	1
59	凤凰山		5	1
60	狂风谷		5	1
61	葬马岗		5	1
62	府衙密室		5	1
63	风雪山庄		5	1
64	唐门幽径		5	1
300	藏剑山庄		5	1
301	武夷禁地		5	1
302	熔火霹雳		5	1
303	翠竹幽谷		5	1
304	呼啸栈道		5	1
305	雪峰硝烟		5	1
1602	忘忧岛		5	1
1603	凤凰山		5	1
1604	凌绝峰		5	1
1605	剑气峰		5	1
1606	凌绝峰		5	1
1607	落叶谷		5	1
1608	临安驿道		5	1
1609	武当山		5	1
1610	风波亭		5	1
