MapId	Desc	PosType	WaiYiId	Path1	Idx1	Material1	Path2	Idx2	Material2	Path3	Idx3	Material3	Path4	Idx4	Material4	Path5	Idx5	Material5
4000	1级家园1楼-默认地板	1	0	scenes/sn_jiayuan01_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian02.mat	scenes/sn_jiayuan01_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian01.mat	scenes/sn_jiayuan01_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian03.mat						
4001	2级家园1楼-默认地板	1	0	scenes/sn_jiayuan02_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian02.mat	scenes/sn_jiayuan02_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian01.mat	scenes/sn_jiayuan02_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian03.mat						
4002	3级家园1楼-默认地板	1	0	scenes/sn_jiayuan03_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian02.mat	scenes/sn_jiayuan03_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian01.mat	scenes/sn_jiayuan03_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian03.mat						
4003	4级家园1楼-默认地板	1	0	scenes/sn_jiayuan04_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan04_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan04_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4004	5级家园1楼-默认地板	1	0	scenes/sn_jiayuan05_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan05_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan05_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4005	6级家园1楼-默认地板	1	0	scenes/sn_jiayuan06_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan06_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan06_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4008	7级家园1楼-默认地板	1	0	scenes/sn_jiayuan07/sn_jiayuan07_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan07/sn_jiayuan07_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan07/sn_jiayuan07_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4003	4级家园1楼-红木地板	1	1	scenes/sn_jiayuan04_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan04_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03_01.mat	scenes/sn_jiayuan04_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03.mat						
4004	5级家园1楼-红木地板	1	1	scenes/sn_jiayuan05_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan05_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03_01.mat	scenes/sn_jiayuan05_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03.mat						
4005	6级家园1楼-红木地板	1	1	scenes/sn_jiayuan06_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan06_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03_01.mat	scenes/sn_jiayuan06_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03.mat						
