MapId	PosX	PosY	Raduis
402	8743	6628	300
8004	8836	10263	150
8004	8839	12267	150
8004	10469	12508	150
8004	11418	12025	150
8004	11078	10404	150
8004	11072	9066	150
8004	10978	8335	150
8004	7008	10916	150
8004	6716	12087	150
8004	4210	13112	150
8004	4194	12125	150
8004	4770	11966	150
8004	4334	10193	150
8004	6049	6094	150
8004	2801	8319	150
8004	1932	7413	150
8004	5939	4952	150
8004	4973	2250	150
8004	1561	3525	150
8004	1536	1516	150
8004	8511	3120	150
8004	10588	1639	150
8004	11168	1436	150
8004	12240	1854	150
8005	7097	5870	150
8005	9832	4493	100
