RealLevel	Count1	Count2	Count3	Count4	Count5	ExtAttribLevel	Desc
18	1000						T7普通
20	1000						T7传承
21	1000						T8普通
22	1000						T7卓越
23	1000						T8传承
24	1000						T9普通
25	1000						T8稀有
26	1000						T9传承
27	1000						T10普通
28	1000						T9稀有
29	1000						T10传承
30	1000						T11普通
31	1000						T10稀有
32	1000						T11传承
33	1000						T12普通
34	1000						T11稀有
35	1000						T12传承
36	1000						T13普通
37	1000						T12稀有
38	1000						T13传承
39	1000						T14普通
40	1000						T13稀有
41	1000						T14传承
42	1000						T15普通
43	1000						T14稀有
44	1000						T15传承
45	1000						T16普通
46	1000						T15稀有
47	1000						T16传承
48	1000						T17普通
49	1000						T16稀有
50	1000						T17传承
51	1000						T18普通
52	1000						T17稀有
53	1000						T18传承
54	1000						T19普通
55	1000						T18稀有
