szNumType	1	2	3
a_1_time	120	120	120
a_2_time	120	120	120
a_3_time	120	120	120
a_4_time	120	120	120
a_5_time	120	120	120
a_6_time	120	120	120
b_1_time	120	120	120
b_2_time	120	120	120
b_3_time	120	120	120
b_4_time	120	120	120
b_5_time	120	120	120
b_6_time	120	120	120
c_1_time	180	180	180
c_2_time	240	240	240
c_3_time	240	240	240
c_4_time	240	240	240
c_5_time	240	240	240
c_6_time	240	240	240
c_7_time	120	120	90
c_9_time	120	120	90
d_1_time	240	240	240
d_2_time	240	240	240
d_3_time	240	240	240
d_4_time	180	180	180
d_5_time	180	180	180
d_6_time	180	180	180
e_1_time	240	240	240
e_2_time	180	180	180
e_3_time	240	240	240
e_4_time	180	180	180
e_5_time	180	180	180
e_6_time	180	180	180
f_1_time	180	180	180
f_2_time	240	240	240
f_3_time	180	180	180
f_4_time	180	180	180
f_5_time	180	180	180
f_6_time	180	180	180
g_1_time	240	240	240
g_2_time	180	180	180
g_3_time	180	180	180
g_4_time	180	180	180
g_5_time	180	180	180
g_6_time	180	180	180
g_time	999	999	180
b_score_win	14	12	1
c_score_win	16	14	12
d_score_win	20	16	14
e_score_win	24	20	16
f_score_win	1	24	20
g_score_win	1	1	24
b_score_lost	10	8	1
c_score_lost	12	10	8
d_score_lost	16	12	10
e_score_lost	20	16	12
f_score_lost	1	20	16
g_score_lost	1	1	20
