ItemId	Desc	ItemCount1	ItemCount2	ItemCount3	ItemCount4	ItemCount5	ItemCount6	ItemCount7	ItemCount8	ItemCount9	ItemCount10	ItemCount11	ItemCount12	SilverBoard	OneUp	ForbidStall
1394	名将令	5												1	1	1
1395	逐鹿令		5											1	1	1
1396	帝皇令				5	5	5	10	10	5	5	5	5	1	1	1
1397	传说令									3	3	3	3	1	1	1
4282	1阶稀有真元（未鉴定）		3											1	1	0
4283	2阶稀有真元（未鉴定）			3										1	1	0
4284	3阶稀有真元（未鉴定）				3									1	1	0
4285	4阶稀有真元（未鉴定）					3								1	1	0
4286	5阶稀有真元（未鉴定）						3							1	1	0
4287	6阶稀有真元（未鉴定）							3						1	1	0
4288	7阶稀有真元（未鉴定）								3					1	1	0
7108	8阶稀有真元（未鉴定）									3				1	1	0
7573	9阶稀有真元（未鉴定）										3			1	1	0
7574	10阶稀有真元（未鉴定）											3		1	1	0
7575	11阶稀有真元（未鉴定）												3	1	1	0
2794	黄金图谱·武器					1	1	1	1	1	1	1	1	1	1	1
2796	黄金图谱·帽子				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
2800	黄金图谱·项链				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
2795	黄金图谱·衣服				1	1	1	1	1	1	1	1	1	1	1	1
2802	黄金图谱·玉佩					0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
2797	黄金图谱·腰带				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
2801	黄金图谱·戒指									1	0.5	0.5	0.5	1	1	1
2798	黄金图谱·护腕									1	0.5	0.5	0.5	1	1	1
2799	黄金图谱（鞋子）										1	1	1	1	1	1
2803	黄金图谱（护身符）										1	1	1	1	1	1
2804	和氏璧				10	10	10	10	10	10	10	10	10	1	1	1
10010	白金图谱·项链								0	0	0	0	0	1	1	1
10007	白金图谱·腰带								0	0	0	0	0	1	1	1
10014	随侯珠								5	5	5	5	5	1	1	1
4462	元气瓶（小）		50	50	50	50	50	50	50	50	50	50	50	1	1	1
4816	元气瓶（中）		40	40	40	40	40	40	40	40	40	40	40	1	1	1
4817	元气瓶（大）		20	20	20	20	20	20	20	20	20	20	20	1	1	1
6153	真气丹（大）				20	20	20	20	20	20	20	20	20	1	1	1
2424	门派信物		100	100	100	100	100	100	100	100	100	100	100	1	1	1
2527	马牌			60		60		60		60		60		1	1	1
3554	秦始皇（SSS)						1	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0
4056	完颜洪烈(SSS)							1	0.5	0.5	0.5	0.5	0.5	1	1	0
3553	项羽（SSS）								1	0.5	0.5	0.5	0.5	1	1	0
3555	武则天（SSS)									1	1	0.5	0.5	1	1	0
3552	鬼谷子（SSS)										1	0.5	0.5	1	1	0
3462	赤金驭天绳碎片				20	20	20	20	20	20	20	20	20	1	1	1
3476	赤金驭天蹬碎片				20	20	20	20	20	20	20	20	20	1	1	1
3469	赤金驭天鞍碎片				20	20	20	20	20	20	20	20	20	1	1	1
3179	SS同伴任选箱				1	1	1	1	1	1	0	0	0	1	1	0
3693	SS本命武器任选箱				1	1	1	1	1	1	0	0	0	1	1	0
