nCardId	nLevel	szAward	szStageAward	szDes	nForbidStall
1	1	Coin|20000		20000银两	
1	2				
1	3				
1	4	item|3013|1		任务卷轴	
1	5				
1	6				
1	7	item|1930|1		特效白驹丸	
1	8				
1	9				
1	10	item|224|1	item|224|1	紫水晶	
1	11				
1	12				
1	13	Contrib|2000		2000贡献	
1	14				
1	15				
1	16	item|3013|1		任务卷轴	
1	17				
1	18				
1	19	item|1930|1		特效白驹丸	
1	20	ZhenQi|2000	ZhenQi|2000	2000真气	
1	21				
1	22	Energy|2000		2000元气	
1	23				
1	24				
1	25	Contrib|2000		2000贡献	
1	26				
1	27				
1	28	item|2569|1		染色剂	
1	29				
1	30	Energy|2000	Energy|2000	2000元气	
1	31	item|224|1		紫水晶	
1	32				
1	33				
1	34	ZhenQi|2000		2000真气	
1	35				
1	36				
1	37	Contrib|2000		2000贡献	
1	38				
1	39				
1	40	item|2569|1	item|2569|1	染色剂	
2	1				
2	2	item|2804|1		和氏璧	1
2	3	item|225|1		橙水晶	
2	4				
2	5	Contrib|10000		10000贡献	
2	6	item|788|1		高级藏宝图	
2	7				
2	8	ZhenQi|10000		10000真气	
2	9	item|2569|1		染色剂	
2	10	Energy|10000	Energy|10000	10000元气	
2	11	item|2804|1		和氏璧	1
2	12	Contrib|10000		10000贡献	
2	13				
2	14	Gold|1000		1000元宝	
2	15	item|788|1		高级藏宝图	
2	16				
2	17	item|225|1		橙水晶	
2	18	ZhenQi|10000		10000真气	
2	19				
2	20	Gold|1000	Gold|1000	1000元宝	
2	21	item|225|1		橙水晶	
2	22				
2	23	Contrib|10000		10000贡献	
2	24	Energy|10000		10000元气	
2	25				
2	26	item|2804|1		和氏璧	1
2	27	item|225|1		橙水晶	
2	28				
2	29	Energy|10000		10000元气	
2	30	item|11945|1	item|11945|1	外装偏色图谱	
2	31				
2	32	Gold|1000		1000元宝	
2	33	ZhenQi|10000		10000真气	
2	34				
2	35	Contrib|10000		10000贡献	
2	36	Energy|10000		10000元气	
2	37				
2	38	Gold|1000		1000元宝	
2	39	ZhenQi|10000		10000真气	
2	40	item|2804|1	item|2804|1	和氏璧	1
3	1	item|7536|1		至尊周卡	
3	2				
3	3	item|7671|1		5级魂石任选箱碎片1/3	
3	4	item|2804|1		和氏璧	1
3	5				
3	6	Gold|2000		2000元宝	
3	7	Contrib|20000		20000贡献	
3	8				
3	9	ZhenQi|20000		20000真气	
3	10	item|2804|1	item|2804|1	和氏璧	1
3	11				
3	12	ZhenQi|20000		20000真气	
3	13	Contrib|20000		20000贡献	
3	14				
3	15	item|2804|1		和氏璧	1
3	16	item|7671|1		5级魂石任选箱碎片1/3	
3	17				
3	18	ZhenQi|20000		20000真气	
3	19				
3	20	item|11911|1	item|11911|1	角色背景图碎片1/3	
3	21	item|7536|1		至尊周卡	
3	22	Gold|2000		2000元宝	
3	23				
3	24	item|2804|1		和氏璧	1
3	25	item|11944|1		外装偏色图谱	
3	26				
3	27	item|11738|1		大烟花	
3	28	Contrib|20000		20000贡献	
3	29				
3	30	item|11911|1	item|11911|1	角色背景图碎片1/3	
3	31	item|7671|1		5级魂石任选箱碎片1/3	
3	32				
3	33	ZhenQi|20000		20000真气	
3	34	Contrib|20000		20000贡献	
3	35				
3	36	item|2804|1		和氏璧	1
3	37	Gold|2000		2000元宝	
3	38				
3	39	item|11881|1		头像	
3	40	item|11911|1	item|11911|1	角色背景图碎片1/3	
