Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	
emeny_cangjianjiading	藏剑家丁		1076		50	1	2274	6528	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2756	6999	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3699	6724	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	1959	5775	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2693	5545	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3621	5367	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3847	5838	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2434	5990	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3509	5916	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3016	6008	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2667	6569	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3409	6379	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3172	6747	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2367	6888	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2467	7422	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3194	7288	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	3580	7262	0	0	-1	0	0		-1	0	0	0	0	0	0	0
emeny_cangjianjiading	藏剑家丁		1076		50	1	2908	7559	0	0	-1	0	0		-1	0	0	0	0	0	0	0
