Type	Wuxing	Explain	Arrangement	RewardGroup	SkillId	SkillLevel	SkillTime
12	金木	金能克木，木坚金缺！今日行事虽有利，弊亦不可忽视。	深思熟虑\n鲁莽冒行，唯苦果以尝。	1	2301	4	7200
112	金金木	金能生水，水多金沉！以武谋利，滥而伤己。	息武止戈\n足下今日不宜争斗，息武修养为是。	2	2301	5	7200
1112	金金金木	金衰遇火，必见销熔！强敌在前，谨行。	按兵不动\n静观敌变，相机而动，冒进必败。	3	2301	6	7200
11112	金金金金木	金赖土生, 土多金埋！陈规陋习，埋才之物。	潜龙勿用\n天行健，君子以自强不息。	4	2301	7	7200
13	金水	木弱逢金，必为斫折！今日行事有弊无利。	高枕而卧\n今日不宜行事，卧床无忧。	1	2301	4	7200
113	金金水	木赖水生, 水多木漂！运数犹在，后患勿忘。	远虑而无近忧\n君子若无远虑，必有近忧，今日运气尚存，然近忧将至。	2	2301	5	7200
1113	金金金水	木能生火, 火多木焚！时运济，然命途舛。	静候佳音\n若耐心以待，必有后福。	3	2301	6	7200
11113	金金金金水	木能克土, 土多木折！时运至，无福消。	勿占小利\n蝇头之利，君子为弃。	4	2301	7	7200
14	金火	水赖金生，金多水浊！水性包容，然有度。	理性行事\n包容无度，累己伤人。	1	2301	4	7200
114	金金火	水能生木, 木多水缩！付出一事，本末忌倒置。	平常心\n付出必有回报，然倒其本末，事与愿违矣。	2	2301	5	7200
1114	金金金火	水能克火, 火多水干！情无崖，生有限，卿知之。	省痴心\n烈火之意，弱水难覆，慎之。	3	2301	6	7200
11114	金金金金火	水弱逢土, 必为淤塞！子已出尘，卿奈何为强。	拾心斜阳下\n晚春已至，相思无花，秋实难望，古道痴心。	4	2301	7	7200
15	金土	火能克金，金多火熄！今日行事较顺，然不无磕绊。	事事用心\n千头万绪，唯细致不误。	1	2301	4	7200
115	金金土	火赖木生, 木多火炽！壮志未酬，然心迫矣。	静心\n心乱志难酬，东郭竹色青，近而忘忧。	2	2301	5	7200
1115	金金金土	火弱逢水，必为熄灭！壮志不已，时机未到。	卧薪尝胆\n君子相机而动，无谓挣扎空余恨。	3	2301	6	7200
11115	金金金金土	火能生土, 土多火晦！志未酬，心莫已。	闻鸡起舞\n入世一路，实为险途，豺狼饿虎左右，谨心。	4	2301	7	7200
11111	金金金金金	土能生金, 金多土变！万化归一，异念乱性。	沐浴焚香\n静养生息，端正心魄。	5	2301	8	7200
21	木金	土弱逢木, 必为倾陷！木者，利也，君子远之。	正心术\n尘世浮云，不益养性，戒之。	1	2302	4	7200
221	木木金	土能克水, 水多土流！水，乱心者，滥而损修为。	禅思\n非外物乱，心动也，静。	2	2302	5	7200
2221	木木木金	土赖火生, 火多土焦！君莫急，急者歧途。	话桑麻\n如水之友，清泉为茶，星阵以欢。	3	2302	6	7200
22221	木木木木金	两金克木，木虽坚，亦易折！今日行事利大于弊。	勇于尝试\n败亡之胁，强者之路也。	4	2302	7	7200
23	木水	两金生水，水虽多，不易沉！以武向斗，有得有失。	谨慎用武\n武力虽强，欲伤人必伤己。	1	2302	4	7200
223	木木水	双金遇火，火虽炽，不易熔！矢志以斗，胜望在即。	孤注一掷\n君子若无退路，奋而起。	2	2302	5	7200
2223	木木木水	两金土埋，无双之才，他日终现！	利见大人\n市井千里马，唯伯乐识之。	3	2302	6	7200
22223	木木木木水	双木逢金，木虽弱，亦难折！今日行事利大于弊。	败而再战\n屡败屡战，强者之象也。	4	2302	7	7200
24	木火	双木在水，亦可为舟！命数在天，顺流而下。	顺其自然\n木已成舟，姑暂乘之。	1	2302	4	7200
224	木木火	双木孤火，木难焚！君子之途，一片坦荡。	大胆行事\n前途有险，勇者胜。	2	2302	5	7200
2224	木木木火	对木孤土，难为折！机运顺，益奋发。	悬梁刺股\n命途多舛，然天运助，契机。	3	2302	6	7200
22224	木木木木火	两水金生，金虽多，不易浊！感情之事，包容为是。	审情义\n情之一途，本已不易，包容为善。	4	2302	7	7200
25	木土	两水生木，木虽多，亦不缩！问心无愧也。	宽心待\n卿卿吾心，朗朗如月。	1	2302	4	7200
225	木木土	强水弱火，胜负已分！水火本无情。	慎付真心\n由来多情对无情，流水落花。	2	2302	5	7200
2225	木木木土	奇土之伤，柔水抚之；深情难辞。	深痴心\n情渐深，能释冰心。	3	2302	6	7200
22225	木木木木土	两火克金，金虽坚，火精易熔！炙炎之势，烈不可当。	雷厉风行\n做大事者，不拘小节，速战速决。	4	2302	7	7200
22222	木木木木木	偶火奇木，难焚心！顺性而为，善哉。	益稳心性\n当此时刻，稳住乱心，可矣。	5	2302	8	7200
31	水金	聚萤烛以为火，可拒大水！卒子之力，不可小视。	体恤下士\n壮志将成，卒下即奔，稳军心。	1	2303	4	7200
331	水水金	双火生土，志易酬！壮怀激烈，与友飨。	围釜聚\n笑谈渴饮，共啖乳牛，思前途。	2	2303	5	7200
3331	水水水金	双土含金，德才兼备！矢志不渝，虚怀以待。	依栏静思\n天涯尽头，流云飞舟，几点柳絮飘飞。	3	2303	6	7200
33331	水水水水金	双土逢木，难为陷！浊世小利，君子不耻。	采菊东篱下\n滚滚红尘过，白衣若雪。	4	2303	7	7200
