ResId	ResFile	ResFile2	ResSlot	ResSlot2	Desc
101	Effect/Prefabs/JueSe/FM/TW_WQ_01.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_01.prefab	B_LH	B_RH	天王男武器发光1级
102	Effect/Prefabs/JueSe/FM/TW_WQ_02.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_02.prefab	B_LH	B_RH	天王男武器发光2级
103	Effect/Prefabs/JueSe/FM/TW_WQ_03.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_03.prefab	B_LH	B_RH	天王男武器发光3级
104	Effect/Prefabs/JueSe/FM/TW_WQ_04.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_04.prefab	B_LH	B_RH	天王男武器发光4级
105	Effect/Prefabs/JueSe/FM/TW_WQ_05.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_05.prefab	B_LH	B_RH	天王男武器发光5级
151	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_01.prefab	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_01.prefab	B_LH	B_RH	天王女武器发光1级
152	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_02.prefab	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_02.prefab	B_LH	B_RH	天王女武器发光2级
153	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_03.prefab	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_03.prefab	B_LH	B_RH	天王女武器发光3级
154	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_04.prefab	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_04.prefab	B_LH	B_RH	天王女武器发光4级
155	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_05.prefab	Effect/Prefabs/JueSe/FM/TW_Nv_WQ_05.prefab	B_LH	B_RH	天王女武器发光5级
201		Effect/Prefabs/JueSe/FM/EM_WQ_01.prefab	B_LH	B_RH	峨眉武器发光1级
