OldBodyResID	NewBodyResID	NewHeadResID
1445	1239	1239
436	9006	9006
1825	1222	1222
1339	1233	1233
2339	4236	4236
2445	2445	2445
940	940	940
840	840	840
640	3010	3010
1315	1212	1212
3713	9024	9024
3315	6027	6027
1713	4210	4210
1103	12504	12504
2103	22504	22504
3103	9013	9013
4103	8013	8013
1328	1222	1222
2328	4225	4225
1576	4109	4109
1811	1208	1208
636	3006	3006
1733	4227	4227
836	836	836
3811	6022	6022
1725	4222	4222
446	9006	9006
2439	4236	4236
1439	1233	1233
850	850	850
950	950	950
650	1010	1010
1143	4237	4237
3813	6024	6024
1415	1212	1212
1813	1210	1210
3415	6027	6027
1203	13504	13504
3203	8013	8013
2203	23004	23004
1659	1659	1659
440	9010	9010
340	6010	6010
1428	1222	1222
1911	4208	4208
1476	1109	1109
2476	4106	4106
1833	1227	1227
646	1006	1006
3911	9022	9022
846	846	846
1625	2101	2101
1645	2239	2239
396	9006	9006
1443	1237	1237
3115	9027	9027
2115	3212	3212
1115	4212	4212
3513	9024	9024
1	2001	2001
3303	6013	6013
3	2003	2003
2	2002	2002
1128	4222	4222
4	2004	2004
7	2007	2007
6	2006	2006
9	2009	2009
8	2008	2008
1776	4109	4109
1454	1454	1454
2454	2454	2454
1533	4227	4227
1525	4101	4101
2244	2244	2244
382	6002	6002
2239	1236	1236
1239	3233	3233
2343	2343	2343
1343	1237	1237
1613	2210	2210
3215	8027	8027
3613	7024	7024
1215	3212	3212
3403	6013	6013
4315	9025	9025
1403	15004	15004
2228	1225	1225
1228	3222	3222
4403	9013	9013
1676	2109	2109
1633	2227	2227
2123	3220	3220
3123	9034	9034
392	9002	9002
1123	4220	4220
1166	1166	1166
1643	2237	2237
4123	8034	8034
2028	2225	2225
1028	2222	2222
880	880	880
2045	2045	2045
1805	1202	1202
3805	6015	6015
3512	9023	9023
2335	4232	4232
1512	4209	4209
892	4012	4012
3223	8034	8034
2223	1220	1220
1223	3220	3220
1066	1066	1066
362	7002	7002
4223	6034	6034
1039	2233	2233
934	934	934
834	834	834
890	890	890
634	3004	3004
1345	1239	1239
1705	4202	4202
380	9010	9010
3705	9015	9015
2443	2443	2443
862	2012	2012
662	4002	4002
2212	1209	1209
1212	3209	3209
4212	6022	6022
1435	1229	1229
1144	4238	4238
1323	1220	1220
2323	4220	4220
3323	6034	6034
4323	9034	9034
1366	1366	1366
372	9002	9002
1245	3239	3239
2245	2245	2245
3605	7015	7015
1605	2202	2202
872	4012	4012
1061	1061	1061
2061	2061	2061
1611	2208	2208
1135	4229	4229
3611	7022	7022
656	4006	4006
2135	3232	3232
1423	1220	1220
3423	6034	6034
2423	4220	4220
342	6002	6002
442	9002	9002
3505	9015	9015
1505	4202	4202
1059	1059	1059
642	1002	1002
1711	4208	4208
1030	2224	2224
3711	9022	9022
1235	3229	3229
2412	4209	4209
1412	1209	1209
2379	4109	4109
2121	3218	3218
3121	9032	9032
1121	4218	4218
3220	8021	8021
4220	6031	6031
1220	3217	3217
2220	1217	1217
664	4004	4004
864	864	864
354	9004	9004
1026	2102	2102
1232	3226	3226
1627	2103	2103
2479	4109	4109
3021	7032	7032
2021	2218	2218
1021	2218	2218
4320	9031	9031
3320	6021	6021
2320	4217	4217
4021	7032	7032
2109	3206	3206
3109	9019	9019
364	7004	7004
3501	9011	9011
1109	4206	4206
2034	2231	2231
1034	2228	2228
1321	1218	1218
2321	4218	4218
1420	1217	1217
2420	4217	4217
3420	6021	6021
4420	9021	9021
3321	6032	6032
4321	9032	9032
644	1004	1004
434	9004	9004
334	6004	6004
318	9008	9008
418	8008	8008
1001	11002	11002
3001	7011	7011
2001	21002	21002
4001	7011	7011
2463	2463	2463
1927	4224	4224
2221	1218	1218
1221	3218	3218
2462	2462	2462
2218	1215	1215
2460	2460	2460
2455	2455	2455
215	25501	25501
1520	4217	4217
2457	2457	2457
3520	9021	9021
654	4004	4004
3221	8032	8032
854	854	854
1508	4205	4205
344	6004	6004
444	9004	9004
2459	2459	2459
2453	2453	2453
1961	1961	1961
2324	4221	4221
1763	1763	1763
3905	9015	9015
1266	1266	1266
2007	2204	2204
4205	6015	6015
2446	2446	2446
1355	1355	1355
1335	1229	1229
2441	4238	4238
2440	4237	4237
2438	4235	4235
1541	4235	4235
2436	4233	4233
1739	4233	4233
1006	2203	2203
2006	2203	2203
3006	7016	7016
4006	7016	7016
2435	4232	4232
908	908	908
2024	2221	2221
2363	2363	2363
608	1008	1008
1814	1211	1211
808	808	808
2026	2223	2223
1559	1559	1559
2360	2360	2360
2359	2359	2359
1930	4103	4103
394	9004	9004
1972	4105	4105
2060	2060	2060
1104	4201	4201
2354	2354	2354
2353	2353	2353
2352	2352	2352
4324	9035	9035
1846	1846	1846
1728	4101	4101
1361	1361	1361
1932	4226	4226
2347	2347	2347
2346	2346	2346
1839	1233	1233
2345	2345	2345
2344	2344	2344
2342	4239	4239
2341	4238	4238
2340	4237	4237
918	918	918
2338	4235	4235
2337	4234	4234
2336	4233	4233
2010	2207	2207
618	4008	4008
2263	2263	2263
818	818	818
208	18501	18501
2262	2262	2262
408	7008	7008
308	7008	7008
2261	2261	2261
1101	12502	12502
2101	22502	22502
3101	9011	9011
4101	8011	8011
2260	2260	2260
2259	2259	2259
1173	4106	4106
1828	1101	1101
2257	2257	2257
2050	2050	2050
2255	2255	2255
915	915	915
1539	4233	4233
2253	2253	2253
2252	2252	2252
2251	2251	2251
2250	2250	2250
1142	4236	4236
1764	1764	1764
3913	9024	9024
2318	4215	4215
1043	2237	2237
1971	4104	4104
2246	2246	2246
2243	2243	2243
1848	1848	1848
2241	1238	1238
4014	7025	7025
3014	7025	7025
2014	2211	2211
1014	2211	2211
2240	1237	1237
2238	1235	1235
374	9004	9004
2237	1234	1234
2236	1233	1233
2235	1232	1232
2234	1231	1231
2163	2163	2163
2162	2162	2162
2161	2161	2161
2160	2160	2160
1528	4222	4222
1639	2233	2233
2159	2159	2159
2158	2158	2158
1925	4222	4222
1933	4227	4227
2157	2157	2157
2156	2156	2156
4124	8035	8035
2154	2154	2154
2153	2153	2153
1531	4225	4225
894	894	894
1760	1760	1760
2150	2150	2150
1506	4203	4203
2148	2148	2148
617	4007	4007
2013	2210	2210
2145	2145	2145
2144	2144	2144
2143	2143	2143
2142	3239	3239
1859	1859	1859
384	6004	6004
2141	3238	3238
1841	1235	1235
2139	3236	3236
2138	3235	3235
2137	3234	3234
2136	3233	3233
1628	2222	2222
2134	3231	3231
948	948	948
848	848	848
3804	6014	6014
1761	1761	1761
1804	1201	1201
3822	6033	6033
1377	1110	1110
3616	7028	7028
1736	4230	4230
1731	4225	4225
1472	1105	1105
1743	4237	4237
2356	2356	2356
1356	1356	1356
2059	2059	2059
2058	2058	2058
2417	4214	4214
3724	9035	9035
1657	1657	1657
2057	2057	2057
3702	9012	9012
2056	2056	2056
1702	18503	18503
1724	4221	4221
2055	2055	2055
338	6008	6008
1851	1851	1851
2054	2054	2054
