Layer	Part	Faction	ResId	run_event	jsrun_event	st_event	st01_event	st02_event	sta_event	Desc
0	0	1	7088	10031	10031	10022	10022	10022	10022	夏威夷-天王（男）
0	0	1	7089	10031	10031	10022	10022	10022	10022	夏威夷-天王（男）
0	0	1	7090	10031	10031	10022	10022	10022	10022	夏威夷-天王（男）
0	0	1	7091	10031	10031	10022	10022	10022	10022	夏威夷-天王（男）
0	0	1	8088	10050	10050	10021	10021	10021	10021	夏威夷-天王（女）
0	0	1	8089	10050	10050	10021	10021	10021	10021	夏威夷-天王（女）
0	0	1	8090	10050	10050	10021	10021	10021	10021	夏威夷-天王（女）
0	0	1	8091	10050	10050	10021	10021	10021	10021	夏威夷-天王（女）
0	0	2	9088	10032	10036	10022	10022	10022	10022	夏威夷-峨眉
0	0	2	9089	10032	10036	10022	10022	10022	10022	夏威夷-峨眉
0	0	2	9090	10032	10036	10022	10022	10022	10022	夏威夷-峨眉
0	0	2	9091	10032	10036	10022	10022	10022	10022	夏威夷-峨眉
0	0	3	8088	10033	10036	10021	10021	10021	10021	夏威夷-桃花
0	0	3	8089	10033	10036	10021	10021	10021	10021	夏威夷-桃花
0	0	3	8090	10033	10036	10021	10021	10021	10021	夏威夷-桃花
0	0	3	8091	10033	10036	10021	10021	10021	10021	夏威夷-桃花
0	0	4	6088	10034	10045	10021	10021	10021	10021	夏威夷-逍遥（男）
0	0	4	6089	10034	10045	10021	10021	10021	10021	夏威夷-逍遥（男）
0	0	4	6090	10034	10045	10021	10021	10021	10021	夏威夷-逍遥（男）
0	0	4	6091	10034	10045	10021	10021	10021	10021	夏威夷-逍遥（男）
0	0	4	9088	10052	10052	10022	10022	10022	10022	夏威夷-逍遥（女）
0	0	4	9089	10052	10052	10022	10022	10022	10022	夏威夷-逍遥（女）
0	0	4	9090	10052	10052	10022	10022	10022	10022	夏威夷-逍遥（女）
0	0	4	9091	10052	10052	10022	10022	10022	10022	夏威夷-逍遥（女）
0	0	5	6088	10035	10045	10021	10021	10021	10021	夏威夷-武当（男）
0	0	5	6089	10035	10045	10021	10021	10021	10021	夏威夷-武当（男）
0	0	5	6090	10035	10045	10021	10021	10021	10021	夏威夷-武当（男）
0	0	5	6091	10035	10045	10021	10021	10021	10021	夏威夷-武当（男）
0	0	5	9088	10036	10036	10022	10022	10022	10022	夏威夷-武当（女）
0	0	5	9089	10036	10036	10022	10022	10022	10022	夏威夷-武当（女）
0	0	5	9090	10036	10036	10022	10022	10022	10022	夏威夷-武当（女）
0	0	5	9091	10036	10036	10022	10022	10022	10022	夏威夷-武当（女）
0	0	6	6088	10035	10045	10021	10021	10021	10021	夏威夷-天忍（男）
0	0	6	6089	10035	10045	10021	10021	10021	10021	夏威夷-天忍（男）
0	0	6	6090	10035	10045	10021	10021	10021	10021	夏威夷-天忍（男）
0	0	6	6091	10035	10045	10021	10021	10021	10021	夏威夷-天忍（男）
0	0	6	9088	10037	10036	10022	10022	10022	10022	夏威夷-天忍
0	0	6	9089	10037	10036	10022	10022	10022	10022	夏威夷-天忍
0	0	6	9090	10037	10036	10022	10022	10022	10022	夏威夷-天忍
0	0	6	9091	10037	10036	10022	10022	10022	10022	夏威夷-天忍
0	0	7	7088	10038	10061	10022	10022	10022	10022	夏威夷-少林
0	0	7	7089	10038	10061	10022	10022	10022	10022	夏威夷-少林
0	0	7	7090	10038	10061	10022	10022	10022	10022	夏威夷-少林
0	0	7	7091	10038	10061	10022	10022	10022	10022	夏威夷-少林
0	0	8	9088	10039	10036	10022	10022	10022	10022	夏威夷-翠烟
0	0	8	9089	10039	10036	10022	10022	10022	10022	夏威夷-翠烟
0	0	8	9090	10039	10036	10022	10022	10022	10022	夏威夷-翠烟
0	0	8	9091	10039	10036	10022	10022	10022	10022	夏威夷-翠烟
0	0	9	6088	10040	10045	10021	10021	10021	10021	夏威夷-唐门
0	0	9	6089	10040	10045	10021	10021	10021	10021	夏威夷-唐门
0	0	9	6090	10040	10045	10021	10021	10021	10021	夏威夷-唐门
0	0	9	6091	10040	10045	10021	10021	10021	10021	夏威夷-唐门
0	0	10	7088	10041	10041	10022	10022	10022	10022	夏威夷-昆仑（男）
0	0	10	7089	10041	10041	10022	10022	10022	10022	夏威夷-昆仑（男）
0	0	10	7090	10041	10041	10022	10022	10022	10022	夏威夷-昆仑（男）
0	0	10	7091	10041	10041	10022	10022	10022	10022	夏威夷-昆仑（男）
0	0	10	9088	10042	10036	10022	10022	10022	10022	夏威夷-昆仑（女）
0	0	10	9089	10042	10036	10022	10022	10022	10022	夏威夷-昆仑（女）
0	0	10	9090	10042	10036	10022	10022	10022	10022	夏威夷-昆仑（女）
0	0	10	9091	10042	10036	10022	10022	10022	10022	夏威夷-昆仑（女）
0	0	11	7088	10043	10043	10022	10022	10022	10022	夏威夷-丐帮（男）
0	0	11	7089	10043	10043	10022	10022	10022	10022	夏威夷-丐帮（男）
0	0	11	7090	10043	10043	10022	10022	10022	10022	夏威夷-丐帮（男）
0	0	11	7091	10043	10043	10022	10022	10022	10022	夏威夷-丐帮（男）
0	0	11	8088	10044	10050	10021	10021	10021	10021	夏威夷-丐帮（女）
0	0	11	8089	10044	10050	10021	10021	10021	10021	夏威夷-丐帮（女）
0	0	11	8090	10044	10050	10021	10021	10021	10021	夏威夷-丐帮（女）
0	0	11	8091	10044	10050	10021	10021	10021	10021	夏威夷-丐帮（女）
0	0	12	8088	10044	10050	10021	10021	10021	10021	夏威夷-五毒
0	0	12	8089	10044	10050	10021	10021	10021	10021	夏威夷-五毒
0	0	12	8090	10044	10050	10021	10021	10021	10021	夏威夷-五毒
0	0	12	8091	10044	10050	10021	10021	10021	10021	夏威夷-五毒
0	0	13	6088	10045	10045	10021	10021	10021	10021	夏威夷-藏剑
0	0	13	6089	10045	10045	10021	10021	10021	10021	夏威夷-藏剑
0	0	13	6090	10045	10045	10021	10021	10021	10021	夏威夷-藏剑
0	0	13	6091	10045	10045	10021	10021	10021	10021	夏威夷-藏剑
0	0	14	9088	10046	10036	10022	10022	10022	10022	夏威夷-长歌
0	0	14	9089	10046	10036	10022	10022	10022	10022	夏威夷-长歌
0	0	14	9090	10046	10036	10022	10022	10022	10022	夏威夷-长歌
0	0	14	9091	10046	10036	10022	10022	10022	10022	夏威夷-长歌
0	0	15	6088	10047	10047	10021	10021	10021	10021	夏威夷-天山（男）
0	0	15	6089	10047	10047	10021	10021	10021	10021	夏威夷-天山（男）
0	0	15	6090	10047	10047	10021	10021	10021	10021	夏威夷-天山（男）
0	0	15	6091	10047	10047	10021	10021	10021	10021	夏威夷-天山（男）
0	0	15	9088	10048	10036	10022	10022	10022	10022	夏威夷-天山（女）
0	0	15	9089	10048	10036	10022	10022	10022	10022	夏威夷-天山（女）
0	0	15	9090	10048	10036	10022	10022	10022	10022	夏威夷-天山（女）
0	0	15	9091	10048	10036	10022	10022	10022	10022	夏威夷-天山（女）
0	0	16	7088	10049	10049	10022	10022	10022	10022	夏威夷-霸刀（男）
0	0	16	7089	10049	10049	10022	10022	10022	10022	夏威夷-霸刀（男）
0	0	16	7090	10049	10049	10022	10022	10022	10022	夏威夷-霸刀（男）
0	0	16	7091	10049	10049	10022	10022	10022	10022	夏威夷-霸刀（男）
0	0	16	8088	10050	10050	10021	10021	10021	10021	夏威夷-霸刀（女）
0	0	16	8089	10050	10050	10021	10021	10021	10021	夏威夷-霸刀（女）
0	0	16	8090	10050	10050	10021	10021	10021	10021	夏威夷-霸刀（女）
0	0	16	8091	10050	10050	10021	10021	10021	10021	夏威夷-霸刀（女）
0	0	17	6088	10051	10051	10021	10021	10021	10021	夏威夷-华山（男）
0	0	17	6089	10051	10051	10021	10021	10021	10021	夏威夷-华山（男）
0	0	17	6090	10051	10051	10021	10021	10021	10021	夏威夷-华山（男）
0	0	17	6091	10051	10051	10021	10021	10021	10021	夏威夷-华山（男）
0	0	17	9088	10052	10052	10022	10022	10022	10022	夏威夷-华山（女）
0	0	17	9089	10052	10052	10022	10022	10022	10022	夏威夷-华山（女）
0	0	17	9090	10052	10052	10022	10022	10022	10022	夏威夷-华山（女）
0	0	17	9091	10052	10052	10022	10022	10022	10022	夏威夷-华山（女）
0	0	18	6088	10051	10051	10021	10021	10021	10021	夏威夷-明教（男）
0	0	18	6089	10051	10051	10021	10021	10021	10021	夏威夷-明教（男）
0	0	18	6090	10051	10051	10021	10021	10021	10021	夏威夷-明教（男）
0	0	18	6091	10051	10051	10021	10021	10021	10021	夏威夷-明教（男）
0	0	18	9088	10052	10052	10022	10022	10022	10022	夏威夷-明教（女）
0	0	18	9089	10052	10052	10022	10022	10022	10022	夏威夷-明教（女）
0	0	18	9090	10052	10052	10022	10022	10022	10022	夏威夷-明教（女）
0	0	18	9091	10052	10052	10022	10022	10022	10022	夏威夷-明教（女）
0	0	19	6088	10051	10051	10021	10021	10021	10021	夏威夷-段氏（男）
0	0	19	6089	10051	10051	10021	10021	10021	10021	夏威夷-段氏（男）
0	0	19	6090	10051	10051	10021	10021	10021	10021	夏威夷-段氏（男）
0	0	19	6091	10051	10051	10021	10021	10021	10021	夏威夷-段氏（男）
0	0	19	8088	10050	10050	10021	10021	10021	10021	夏威夷-段氏（女）
0	0	19	8089	10050	10050	10021	10021	10021	10021	夏威夷-段氏（女）
0	0	19	8090	10050	10050	10021	10021	10021	10021	夏威夷-段氏（女）
0	0	19	8091	10050	10050	10021	10021	10021	10021	夏威夷-段氏（女）
0	0	20	6088	10051	10051	10021	10021	10021	10021	夏威夷-万花（男）
0	0	20	6089	10051	10051	10021	10021	10021	10021	夏威夷-万花（男）
0	0	20	6090	10051	10051	10021	10021	10021	10021	夏威夷-万花（男）
0	0	20	6091	10051	10051	10021	10021	10021	10021	夏威夷-万花（男）
0	0	20	9088	10052	10052	10022	10022	10022	10022	夏威夷-万花（女）
0	0	20	9089	10052	10052	10022	10022	10022	10022	夏威夷-万花（女）
0	0	20	9090	10052	10052	10022	10022	10022	10022	夏威夷-万花（女）
0	0	20	9091	10052	10052	10022	10022	10022	10022	夏威夷-万花（女）
0	0	21	6088	10051	10051	10021	10021	10021	10021	夏威夷-杨门（男）
0	0	21	6089	10051	10051	10021	10021	10021	10021	夏威夷-杨门（男）
0	0	21	6090	10051	10051	10021	10021	10021	10021	夏威夷-杨门（男）
0	0	21	6091	10051	10051	10021	10021	10021	10021	夏威夷-杨门（男）
0	0	21	9088	10052	10052	10022	10022	10022	10022	夏威夷-杨门（女）
0	0	21	9089	10052	10052	10022	10022	10022	10022	夏威夷-杨门（女）
0	0	21	9090	10052	10052	10022	10022	10022	10022	夏威夷-杨门（女）
0	0	21	9091	10052	10052	10022	10022	10022	10022	夏威夷-杨门（女）
