NpcResId	Desc	bq01_frame	bq02_frame	bq03_frame	bq04_frame	bq05_frame	bq06_frame	bq07_frame	bq08_frame	tx_frame	tst_frame	dance_frame	dance01_frame	dance02_frame	dance03_frame	dance04_frame	dance05_frame	dance06_frame	dance07_frame	m1baost_frame	m1baowlk_frame	m1bbaost_frame	m1bbaowlk_frame	m1bqst_frame	m1bqwlk_frame	m1hrun_frame	m1hrun01_frame	m1hst_frame	m1hst01_frame	m1qst_frame	m1qwlk_frame	m1yb_frame	m1yb01_frame	m1ybst_frame	m1ybst01_frame	m1dance01_frame	m1dance02_frame	m2baost_frame	m2baowlk_frame	m2bbaost_frame	m2bbaowlk_frame	m2bqst_frame	m2bqwlk_frame	m2hrun_frame	m2hrun01_frame	m2hst_frame	m2hst01_frame	m2qst_frame	m2qwlk_frame	m2yb_frame	m2yb01_frame	m2ybst_frame	m2ybst01_frame	m2dance01_frame	m2dance02_frame	f1baost_frame	f1baowlk_frame	f1bbaost_frame	f1bbaowlk_frame	f1bqst_frame	f1bqwlk_frame	f1hrun_frame	f1hrun01_frame	f1hst_frame	f1hst01_frame	f1qst_frame	f1qwlk_frame	f1yb_frame	f1yb01_frame	f1ybst_frame	f1ybst01_frame	f1dance01_frame	f1dance02_frame	f2baost_frame	f2baowlk_frame	f2bbaost_frame	f2bbaowlk_frame	f2bqst_frame	f2bqwlk_frame	f2hrun_frame	f2hrun01_frame	f2hst_frame	f2hst01_frame	f2qst_frame	f2qwlk_frame	f2yb_frame	f2yb01_frame	f2ybst_frame	f2ybst01_frame	f2dance01_frame	f2dance02_frame	est_frame	erun_frame	bst_frame	brun_frame	cst_frame	crun_frame	ast_frame	arun_frame	crst_frame	crrun_frame	shuaigan_frame	shanggou_frame	diaoyu_frame	bq01_cross	bq02_cross	bq03_cross	bq04_cross	bq05_cross	bq06_cross	bq07_cross	bq08_cross	dance_cross	dance01_cross	dance02_cross	dance03_cross	dance04_cross	dance05_cross	dance06_cross	dance07_cross	bq01_hideweapon	bq02_hideweapon	bq03_hideweapon	bq04_hideweapon	bq05_hideweapon	bq06_hideweapon	bq07_hideweapon	bq08_hideweapon	tx_hideweapon	tst_hideweapon	dance_hideweapon	dance01_hideweapon	dance02_hideweapon	dance03_hideweapon	dance04_hideweapon	dance05_hideweapon	dance06_hideweapon	dance07_hideweapon
1	天王主角-壮男	35	42	47	15	32	55	75	20	30	20	92	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	峨眉主角-标女	49	52	49	15	51	49	71	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1	1		1				1	1	1	1	1	1	1	1	1	1
3	桃花主角-萝莉	27	45	65	15	50	60	59	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1			1			1			1	1	1	1	1	1	1	1	1	1
4	逍遥主角-标男	50	45	48	15	35	57	83	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1							1		1	1	1	1	1	1	1	1	1	1
5	武当主角-标男	52	64	41	15	43	52	97	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1					1		1	1	1	1	1	1	1	1	1	1
6	天忍主角-标女	47	57	43	15	60	60	105	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1				1			1	1	1	1	1	1	1	1	1	1
9	少林主角-壮男	51	44	40	15	37	42	85	20	30	20	92	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	翠烟主角-标女	39	57	49	15	52	42	95	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1		1				1	1	1	1	1	1	1	1	1	1	1
1001	唐门主角-标男	29	53	36	15	38	44	65	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1						1	1		1	1	1	1	1	1	1	1	1	1
1002	昆仑主角-标女	45	57	47	15	36	42	82	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1							1	1	1	1	1	1	1	1	1	1
