ResId	ResFile	ResAttribID	ResSlot	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3	DynamicBoneIndex
1	Player/Characters/M2/Prefab/M2_TW002_Head.prefab		head	天王新手-男																															104
2	Player/Characters/F1/Prefab/F1_TW001_Head.prefab		head	天王新手-女																															101
3	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	峨眉新手-男（暂无）																															103
4	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	峨眉新手-女																															102
5	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	桃花新手-男（暂无）																															103
6	Player/Characters/F1/Prefab/F1_TH001_Head.prefab		head	桃花新手-女																															101
7	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	逍遥新手-男																															103
8	Player/Characters/F2/Prefab/F2_XY001_Head.prefab		head	逍遥新手-女																															102
9	Player/Characters/M1/Prefab/M1_WD002_Head.prefab		head	武当新手-男																															103
10	Player/Characters/F2/Prefab/F2_WD002_Head.prefab		head	武当新手-女																															102
11	Player/Characters/M1/Prefab/M1_TR001_Head.prefab		head	天忍新手-男																															103
12	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	天忍新手-女																															102
13	Player/Characters/M2/Prefab/M2_SL001_Head.prefab		head	少林新手-男																															104
14	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	少林新手-女（暂无）																															102
15	Player/Characters/M1/Prefab/M1_WD001_Head.prefab		head	翠烟新手-男（暂无）																															103
16	Player/Characters/F2/Prefab/F2_CY001_Head.prefab		head	翠烟新手-女																															102
17	Player/Characters/M1/Prefab/M1_TM002_Head.prefab		head	唐门新手-男																															103
18	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	唐门新手-女（暂无）																															102
19	Player/Characters/M1/Prefab/M1_TM002_Head.prefab		head	昆仑新手-男（暂无）																															103
20	Player/Characters/F2/Prefab/F2_KL001_Head.prefab		head	昆仑新手-女																															102
21	Player/Characters/M2/Prefab/M2_GB001_Head.prefab		head	丐帮新手-男																															104
22	Player/Characters/F1/Prefab/F1_GB001_Head.prefab		head	丐帮新手-女		1		F1_GB001_Head	0		255|255|255|185	1	255|255|255|101	1	41|30|26|69	1																			102
23	Player/Characters/M1/Prefab/M1_TM002_Head.prefab		head	五毒新手-男（暂无）																															103
