ResId	ResFile	ResFile2	ResAttribID	ResAttribID2	ResSlot	ResSlot2	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3	DynamicBoneIndex
1	Player/Doodads/weapons/Prefabs/m2_h006.prefab	Player/Doodads/weapons/Prefabs/m2_h006.prefab			B_LH	B_RH	天王武器1																															
2	Player/Doodads/weapons/Prefabs/m2_h002.prefab	Player/Doodads/weapons/Prefabs/m2_h002.prefab			B_LH	B_RH	天王武器2																															
3	Player/Doodads/weapons/Prefabs/m2_h001.prefab	Player/Doodads/weapons/Prefabs/m2_h001.prefab			B_LH	B_RH	天王武器3																															
4	Player/Doodads/weapons/Prefabs/m2_h003.prefab	Player/Doodads/weapons/Prefabs/m2_h003.prefab			B_LH	B_RH	天王武器4																															
5	Player/Doodads/weapons/Prefabs/m2_h005.prefab	Player/Doodads/weapons/Prefabs/m2_h005.prefab			B_LH	B_RH	天王武器5																															
6	Player/Doodads/weapons/Prefabs/m2_h004.prefab	Player/Doodads/weapons/Prefabs/m2_h004.prefab			B_LH	B_RH	天王武器6																															
7	Player/Doodads/weapons/Prefabs/m2_h008.prefab	Player/Doodads/weapons/Prefabs/m2_h008.prefab			B_LH	B_RH	天王武器7																															
8	Player/Doodads/weapons/Prefabs/m2_h009.prefab	Player/Doodads/weapons/Prefabs/m2_h009.prefab			B_LH	B_RH	天王武器8		1	0.1	m2_h009	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
9	Player/Doodads/weapons/Prefabs/m2_h010.prefab	Player/Doodads/weapons/Prefabs/m2_h010.prefab			B_LH	B_RH	天王武器9		1	0.1	m2_h010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255	0.1	m2_h010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
10	Player/Doodads/weapons/Prefabs/m2_h011.prefab	Player/Doodads/weapons/Prefabs/m2_h011.prefab			B_LH	B_RH	天王武器10		1	0.1	m2_h011	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
11		Player/Doodads/weapons/Prefabs/f2_s002.prefab			B_LH	B_RH	峨眉武器1																															
12		Player/Doodads/weapons/Prefabs/f2_s003.prefab			B_LH	B_RH	峨眉武器2																															
13		Player/Doodads/weapons/Prefabs/f2_s006.prefab			B_LH	B_RH	峨眉武器3																															
14		Player/Doodads/weapons/Prefabs/f2_s004.prefab			B_LH	B_RH	峨眉武器4																															
15		Player/Doodads/weapons/Prefabs/f2_s005.prefab			B_LH	B_RH	峨眉武器5																															
16		Player/Doodads/weapons/Prefabs/f2_s007.prefab			B_LH	B_RH	峨眉武器6																															
17		Player/Doodads/weapons/Prefabs/f2_s008.prefab			B_LH	B_RH	峨眉武器7																															
18		Player/Doodads/weapons/Prefabs/f2_s009.prefab			B_LH	B_RH	峨眉武器8		1	0.1	f2_s009	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
19		Player/Doodads/weapons/Prefabs/f2_s010.prefab			B_LH	B_RH	峨眉武器9		1	0.1	f2_s010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
20		Player/Doodads/weapons/Prefabs/f2_s011.prefab			B_LH	B_RH	峨眉武器10		1	0.1	f2_s011	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
21	Player/Doodads/weapons/Prefabs/f1_a004.prefab				B_LH	B_RH	桃花武器1																															
22	Player/Doodads/weapons/Prefabs/f1_a002.prefab				B_LH	B_RH	桃花武器2																															
23	Player/Doodads/weapons/Prefabs/f1_a003.prefab				B_LH	B_RH	桃花武器3																															
24	Player/Doodads/weapons/Prefabs/f1_a005.prefab				B_LH	B_RH	桃花武器4																															
25	Player/Doodads/weapons/Prefabs/f1_a006.prefab				B_LH	B_RH	桃花武器5																															
26	Player/Doodads/weapons/Prefabs/f1_a007.prefab				B_LH	B_RH	桃花武器6																															
27	Player/Doodads/weapons/Prefabs/f1_a008.prefab				B_LH	B_RH	桃花武器7																															
28	Player/Doodads/weapons/Prefabs/f1_a009.prefab				B_LH	B_RH	桃花武器8		1	0.1	f1_a009	0	0.1	247|247|247|255		255|255|255|255		255|255|255|255																				
29	Player/Doodads/weapons/Prefabs/f1_a010.prefab				B_LH	B_RH	桃花武器9		1	0.1	f1_a010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
30	Player/Doodads/weapons/Prefabs/f1_a011.prefab				B_LH	B_RH	桃花武器10		1	0.1	f1_a011	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
31		Player/Doodads/weapons/Prefabs/m1_l002.prefab			B_LH	B_RH	逍遥武器1																															
32		Player/Doodads/weapons/Prefabs/m1_l003.prefab			B_LH	B_RH	逍遥武器2																															
33		Player/Doodads/weapons/Prefabs/m1_l005.prefab			B_LH	B_RH	逍遥武器3																															
34		Player/Doodads/weapons/Prefabs/m1_l007.prefab			B_LH	B_RH	逍遥武器4																															
35		Player/Doodads/weapons/Prefabs/m1_l006.prefab			B_LH	B_RH	逍遥武器5																															
36		Player/Doodads/weapons/Prefabs/m1_l004.prefab			B_LH	B_RH	逍遥武器6																															
37		Player/Doodads/weapons/Prefabs/m1_l008.prefab			B_LH	B_RH	逍遥武器7																															
38		Player/Doodads/weapons/Prefabs/m1_l009.prefab			B_LH	B_RH	逍遥武器8		1	0.1	m1_l009	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
39		Player/Doodads/weapons/Prefabs/m1_l010.prefab			B_LH	B_RH	逍遥武器9		1	0.1	m1_l010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
40		Player/Doodads/weapons/Prefabs/m1_l011.prefab			B_LH	B_RH	逍遥武器10		1	0.1	m1_l011	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
41	Player/Doodads/weapons/Prefabs/m3_s006_L.prefab	Player/Doodads/weapons/Prefabs/m3_s006_R.prefab			B_LH	B_RH	武当武器1																															
42	Player/Doodads/weapons/Prefabs/m3_s007_L.prefab	Player/Doodads/weapons/Prefabs/m3_s007_R.prefab			B_LH	B_RH	武当武器2																															
43	Player/Doodads/weapons/Prefabs/m3_s003_L.prefab	Player/Doodads/weapons/Prefabs/m3_s003_R.prefab			B_LH	B_RH	武当武器3																															
44	Player/Doodads/weapons/Prefabs/m3_s004_L.prefab	Player/Doodads/weapons/Prefabs/m3_s004_R.prefab			B_LH	B_RH	武当武器4																															
45	Player/Doodads/weapons/Prefabs/m3_s005_L.prefab	Player/Doodads/weapons/Prefabs/m3_s005_R.prefab			B_LH	B_RH	武当武器5																															
46	Player/Doodads/weapons/Prefabs/m3_s002_L.prefab	Player/Doodads/weapons/Prefabs/m3_s002_R.prefab			B_LH	B_RH	武当武器6																															
47	Player/Doodads/weapons/Prefabs/m3_s008_L.prefab	Player/Doodads/weapons/Prefabs/m3_s008_R.prefab			B_LH	B_RH	武当武器7																															
48	Player/Doodads/weapons/Prefabs/m3_s009_L.prefab	Player/Doodads/weapons/Prefabs/m3_s009_R.prefab			B_LH	B_RH	武当武器8		1	0.1	m3_s009_L	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m3_s009_R	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
49	Player/Doodads/weapons/Prefabs/m3_s010_L.prefab	Player/Doodads/weapons/Prefabs/m3_s010_R.prefab			B_LH	B_RH	武当武器9		1	0.1	m3_s010_L	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m3_s010_R	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
50	Player/Doodads/weapons/Prefabs/m3_s011_L.prefab	Player/Doodads/weapons/Prefabs/m3_s011_R.prefab			B_LH	B_RH	武当武器10		1	0.1	m3_s011_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m3_s011_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
51	Player/Doodads/weapons/Prefabs/f3_d004_l.prefab	Player/Doodads/weapons/Prefabs/f3_d004_r.prefab			B_LH	B_RH	天忍武器1																															
52	Player/Doodads/weapons/Prefabs/f3_d002_l.prefab	Player/Doodads/weapons/Prefabs/f3_d002_r.prefab			B_LH	B_RH	天忍武器2																															
53	Player/Doodads/weapons/Prefabs/f3_d006_l.prefab	Player/Doodads/weapons/Prefabs/f3_d006_r.prefab			B_LH	B_RH	天忍武器3																															
54	Player/Doodads/weapons/Prefabs/f3_d007_l.prefab	Player/Doodads/weapons/Prefabs/f3_d007_r.prefab			B_LH	B_RH	天忍武器4																															
55	Player/Doodads/weapons/Prefabs/f3_d005_l.prefab	Player/Doodads/weapons/Prefabs/f3_d005_r.prefab			B_LH	B_RH	天忍武器5																															
56	Player/Doodads/weapons/Prefabs/f3_d003_l.prefab	Player/Doodads/weapons/Prefabs/f3_d003_r.prefab			B_LH	B_RH	天忍武器6																															
57	Player/Doodads/weapons/Prefabs/f3_d008_l.prefab	Player/Doodads/weapons/Prefabs/f3_d008_r.prefab			B_LH	B_RH	天忍武器7																															
58	Player/Doodads/weapons/Prefabs/f3_d009_l.prefab	Player/Doodads/weapons/Prefabs/f3_d009_r.prefab			B_LH	B_RH	天忍武器8		1	0.1	f3_d009_l	0	0.1	255|255|255|255		200|200|200|255		255|255|255|255		f3_d009_r	0	0.1	255|255|255|255		200|200|200|255		255|255|255|255											
59	Player/Doodads/weapons/Prefabs/f3_d010_l.prefab	Player/Doodads/weapons/Prefabs/f3_d010_r.prefab			B_LH	B_RH	天忍武器9		1	0.1	f3_d010_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f3_d010_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
