PartId	NormalResId	Desc
1	3014	天王外装武器3B·颜色1
1	3015	天王外装武器3B·颜色2
1	3016	天王外装武器3B·颜色3
1	3017	天王外装武器3B·颜色4
1	3114	峨眉外装武器3B·颜色1
1	3115	峨眉外装武器3B·颜色2
1	3116	峨眉外装武器3B·颜色3
1	3117	峨眉外装武器3B·颜色4
1	3214	桃花外装武器3B·颜色1
1	3215	桃花外装武器3B·颜色2
1	3216	桃花外装武器3B·颜色3
1	3217	桃花外装武器3B·颜色4
1	3314	逍遥外装武器3B·颜色1
1	3315	逍遥外装武器3B·颜色2
1	3316	逍遥外装武器3B·颜色3
1	3317	逍遥外装武器3B·颜色4
1	3414	武当外装武器3B·颜色1
1	3415	武当外装武器3B·颜色2
1	3416	武当外装武器3B·颜色3
1	3417	武当外装武器3B·颜色4
1	3514	天忍外装武器3B·颜色1
1	3515	天忍外装武器3B·颜色2
1	3516	天忍外装武器3B·颜色3
1	3517	天忍外装武器3B·颜色4
1	3614	少林外装武器3B·颜色1
1	3615	少林外装武器3B·颜色2
1	3616	少林外装武器3B·颜色3
1	3617	少林外装武器3B·颜色4
1	3714	翠烟外装武器3B·颜色1
1	3715	翠烟外装武器3B·颜色2
1	3716	翠烟外装武器3B·颜色3
1	3717	翠烟外装武器3B·颜色4
1	3814	唐门外装武器3B·颜色1
1	3815	唐门外装武器3B·颜色2
1	3816	唐门外装武器3B·颜色3
1	3817	唐门外装武器3B·颜色4
1	3914	昆仑外装武器3B·颜色1
1	3915	昆仑外装武器3B·颜色2
1	3916	昆仑外装武器3B·颜色3
1	3917	昆仑外装武器3B·颜色4
1	4014	丐帮外装武器3B·颜色1
1	4015	丐帮外装武器3B·颜色2
1	4016	丐帮外装武器3B·颜色3
1	4017	丐帮外装武器3B·颜色4
1	4114	五毒外装武器3B·颜色1
1	4115	五毒外装武器3B·颜色2
1	4116	五毒外装武器3B·颜色3
1	4117	五毒外装武器3B·颜色4
1	4214	藏剑外装武器3B·颜色1
1	4215	藏剑外装武器3B·颜色2
1	4216	藏剑外装武器3B·颜色3
1	4217	藏剑外装武器3B·颜色4
1	4314	长歌外装武器3B·颜色1
1	4315	长歌外装武器3B·颜色1
1	4316	长歌外装武器3B·颜色1
1	4317	长歌外装武器3B·颜色1
1	4414	天山外装武器3B·颜色1
1	4415	天山外装武器3B·颜色2
1	4416	天山外装武器3B·颜色3
1	4417	天山外装武器3B·颜色4
1	4514	霸刀男外装武器3B·颜色1
1	4515	霸刀男外装武器3B·颜色2
1	4516	霸刀男外装武器3B·颜色3
1	4517	霸刀男外装武器3B·颜色4
1	4614	华山外装武器3B·颜色1
1	4615	华山外装武器3B·颜色2
1	4616	华山外装武器3B·颜色3
1	4617	华山外装武器3B·颜色4
1	4714	明教外装武器3B·颜色1
1	4715	明教外装武器3B·颜色2
1	4716	明教外装武器3B·颜色3
1	4717	明教外装武器3B·颜色4
1	4814	段氏外装武器3B·颜色1
1	4815	段氏外装武器3B·颜色2
1	4816	段氏外装武器3B·颜色3
1	4817	段氏外装武器3B·颜色4
1	4914	万花外装武器3B·颜色1
1	4915	万花外装武器3B·颜色2
1	4916	万花外装武器3B·颜色3
1	4917	万花外装武器3B·颜色4
1	14514	霸刀女外装武器3B·颜色1
