TypeId	Level	Rate	Cost1	Cost2	Cost3	TimeFrame1	TimeFrameRate1	TimeFrameCost11	TimeFrameCost21	TimeFrameCost31	TimeFrame2	TimeFrameRate2	TimeFrameCost12	TimeFrameCost22	TimeFrameCost32	TimeFrame3	TimeFrameRate3	TimeFrameCost13	TimeFrameCost23	TimeFrameCost33	TimeFrame4	TimeFrameRate4	TimeFrameCost14	TimeFrameCost24	TimeFrameCost34	TimeFrame5	TimeFrameRate5	TimeFrameCost15	TimeFrameCost25	TimeFrameCost35	TimeFrame6	TimeFrameRate6	TimeFrameCost16	TimeFrameCost26	TimeFrameCost36	TimeFrame7	TimeFrameRate7	TimeFrameCost17	TimeFrameCost27	TimeFrameCost37	TimeFrame8	TimeFrameRate8	TimeFrameCost18	TimeFrameCost28	TimeFrameCost38	TimeFrame9	TimeFrameRate9	TimeFrameCost19	TimeFrameCost29	TimeFrameCost39
1	1	1000000	ZhenQi|500	Coin|1000		OpenLevel109;1	1000000	ZhenQi|500	Coin|1000		OpenLevel119;1	1000000	ZhenQi|500	Coin|1000		OpenLevel129;1	1000000	ZhenQi|500	Coin|1000		OpenLevel139;1	1000000	ZhenQi|500	Coin|1000		OpenLevel149;1	1000000	ZhenQi|500	Coin|1000		OpenLevel159;1	1000000	ZhenQi|500	Coin|1000		OpenLevel169;1	1000000	ZhenQi|500	Coin|1000											
1	2	900000	ZhenQi|500	Coin|1000		OpenLevel109;1	900000	ZhenQi|500	Coin|1000		OpenLevel119;1	900000	ZhenQi|500	Coin|1000		OpenLevel129;1	900000	ZhenQi|500	Coin|1000		OpenLevel139;1	900000	ZhenQi|500	Coin|1000		OpenLevel149;1	900000	ZhenQi|500	Coin|1000		OpenLevel159;1	900000	ZhenQi|500	Coin|1000		OpenLevel169;1	900000	ZhenQi|500	Coin|1000											
1	3	900000	ZhenQi|500	Coin|1000		OpenLevel109;1	900000	ZhenQi|500	Coin|1000		OpenLevel119;1	900000	ZhenQi|500	Coin|1000		OpenLevel129;1	900000	ZhenQi|500	Coin|1000		OpenLevel139;1	900000	ZhenQi|500	Coin|1000		OpenLevel149;1	900000	ZhenQi|500	Coin|1000		OpenLevel159;1	900000	ZhenQi|500	Coin|1000		OpenLevel169;1	900000	ZhenQi|500	Coin|1000											
1	4	800000	ZhenQi|500	Coin|1000		OpenLevel109;1	800000	ZhenQi|500	Coin|1000		OpenLevel119;1	800000	ZhenQi|500	Coin|1000		OpenLevel129;1	800000	ZhenQi|500	Coin|1000		OpenLevel139;1	800000	ZhenQi|500	Coin|1000		OpenLevel149;1	800000	ZhenQi|500	Coin|1000		OpenLevel159;1	800000	ZhenQi|500	Coin|1000		OpenLevel169;1	800000	ZhenQi|500	Coin|1000											
1	5	800000	ZhenQi|1000	Coin|2000		OpenLevel109;1	800000	ZhenQi|1000	Coin|2000		OpenLevel119;1	800000	ZhenQi|1000	Coin|2000		OpenLevel129;1	800000	ZhenQi|1000	Coin|2000		OpenLevel139;1	800000	ZhenQi|1000	Coin|2000		OpenLevel149;1	800000	ZhenQi|1000	Coin|2000		OpenLevel159;1	800000	ZhenQi|1000	Coin|2000		OpenLevel169;1	800000	ZhenQi|1000	Coin|2000											
1	6	700000	ZhenQi|1000	Coin|2000		OpenLevel109;1	700000	ZhenQi|1000	Coin|2000		OpenLevel119;1	700000	ZhenQi|1000	Coin|2000		OpenLevel129;1	700000	ZhenQi|1000	Coin|2000		OpenLevel139;1	700000	ZhenQi|1000	Coin|2000		OpenLevel149;1	700000	ZhenQi|1000	Coin|2000		OpenLevel159;1	700000	ZhenQi|1000	Coin|2000		OpenLevel169;1	700000	ZhenQi|1000	Coin|2000											
1	7	700000	ZhenQi|1000	Coin|2000		OpenLevel109;1	700000	ZhenQi|1000	Coin|2000		OpenLevel119;1	700000	ZhenQi|1000	Coin|2000		OpenLevel129;1	700000	ZhenQi|1000	Coin|2000		OpenLevel139;1	700000	ZhenQi|1000	Coin|2000		OpenLevel149;1	700000	ZhenQi|1000	Coin|2000		OpenLevel159;1	700000	ZhenQi|1000	Coin|2000		OpenLevel169;1	700000	ZhenQi|1000	Coin|2000											
1	8	600000	ZhenQi|1000	Coin|2000		OpenLevel109;1	600000	ZhenQi|1000	Coin|2000		OpenLevel119;1	600000	ZhenQi|1000	Coin|2000		OpenLevel129;1	600000	ZhenQi|1000	Coin|2000		OpenLevel139;1	600000	ZhenQi|1000	Coin|2000		OpenLevel149;1	600000	ZhenQi|1000	Coin|2000		OpenLevel159;1	600000	ZhenQi|1000	Coin|2000		OpenLevel169;1	600000	ZhenQi|1000	Coin|2000											
1	9	600000	ZhenQi|1000	Coin|2000		OpenLevel109;1	600000	ZhenQi|1000	Coin|2000		OpenLevel119;1	600000	ZhenQi|1000	Coin|2000		OpenLevel129;1	600000	ZhenQi|1000	Coin|2000		OpenLevel139;1	600000	ZhenQi|1000	Coin|2000		OpenLevel149;1	600000	ZhenQi|1000	Coin|2000		OpenLevel159;1	600000	ZhenQi|1000	Coin|2000		OpenLevel169;1	600000	ZhenQi|1000	Coin|2000											
1	10	500000	ZhenQi|1500	Coin|3000		OpenLevel109;1	600000	ZhenQi|1500	Coin|3000		OpenLevel119;1	700000	ZhenQi|1500	Coin|3000		OpenLevel129;1	800000	ZhenQi|1500	Coin|3000		OpenLevel139;1	800000	ZhenQi|1500	Coin|3000		OpenLevel149;1	800000	ZhenQi|1500	Coin|3000		OpenLevel159;1	800000	ZhenQi|1500	Coin|3000		OpenLevel169;1	800000	ZhenQi|1500	Coin|3000											
