JingMaiId	Level	ExtAttribId	ExtAttribLevel	ExtPartnerAttribId	ExtPartnerAttribLevel	szCost
1	5	900	1	950	1	ZhenQi|4000;Coin|8000
1	10	900	2	950	2	ZhenQi|5500;Coin|11000
1	15	900	3	950	3	ZhenQi|7000;Coin|14000
1	20	900	4	950	4	ZhenQi|8500;Coin|17000
2	5	901	1	951	1	ZhenQi|6000;Coin|12000
2	10	901	2	951	2	ZhenQi|9500;Coin|19000
2	15	901	3	951	3	ZhenQi|13000;Coin|26000
2	20	901	4	951	4	ZhenQi|16500;Coin|33000
3	5	902	1	952	1	ZhenQi|8000;Coin|16000
3	10	902	2	952	2	ZhenQi|13000;Coin|26000
3	15	902	3	952	3	ZhenQi|18000;Coin|36000
3	20	902	4	952	4	ZhenQi|23000;Coin|46000
4	5	903	1	953	1	ZhenQi|9000;Coin|18000
4	10	903	2	953	2	ZhenQi|15000;Coin|30000
4	15	903	3	953	3	ZhenQi|21000;Coin|42000
4	20	903	4	953	4	ZhenQi|27000;Coin|54000
5	5	904	1	954	1	ZhenQi|10000;Coin|20000
5	10	904	2	954	2	ZhenQi|18000;Coin|36000
5	15	904	3	954	3	ZhenQi|26000;Coin|52000
5	20	904	4	954	4	ZhenQi|34000;Coin|68000
6	5	905	1	955	1	ZhenQi|11000;Coin|22000
6	10	905	2	955	2	ZhenQi|20000;Coin|40000
6	15	905	3	955	3	ZhenQi|29000;Coin|58000
6	20	905	4	955	4	ZhenQi|38000;Coin|76000
