nFubenLevel	szType	SubType	nItemId	nCount	nAwardLevel	nRate	bCritAward	bFirst	nSpecialRate	bStarAward
1			658	1	2				0.32	
1			212	1	1	30000				
1			786	1	1	5000				
1			785	1	1	2500				
1	Coin			100	1	400000				
1			601	1	1	532500				
1			1023	1	1	2000				
1			1033	1	1	2000				
1			1043	1	1	2000				
1			1053	1	1	2000				
1			1063	1	1	2000				
1			1073	1	1	2000				
1			1083	1	1	2000				
1			1093	1	1	2000				
1			1103	1	1	2000				
1			1113	1	1	2000				
1			787	1	1	10000				
1			212	5		-1				1
2	PartnerFamiliar	44		5		-1	1			
2	PStone1			1	1	280000				
2			212	1	1	26200				
2			786	1	1	4400				
2			785	1	1	2200				
2	Coin			200	1	175000				
2			601	1	1	486000				
2			1023	1	1	1750				
2			1033	1	1	1750				
2			1043	1	1	1750				
2			1053	1	1	1750				
2			1063	1	1	1750				
2			1073	1	1	1750				
2			1083	1	1	1750				
2			1093	1	1	1750				
2			1103	1	1	1750				
2			1113	1	1	1750				
2			787	1	1	8700				
2	Honor			500	1	-1				1
