nId	szName	szSmallIcon	szIcon	szBigIcon	szBigIconAtlas	szWordIcon	szSchoolIcon	szSchoolIconAtlas	szSelectIcon	szSelectIcon2	szBackground1	szBackground2	szShareBgTextureM	szShareBgTextureF	DefaultWeapon	StatueNpc	nJumpSkillId1	nJumpSkillId2	nJumpSkillId3	nJumpSkillId4	nJumpSkillId5	nJumpSkillId6	nJumpSkillId7	nJumpSkillId8	nJumpSkillId9	nJumpSkillId10
1	天王	Faction_TW	faction_hammer	FactionIcon_Tianwang02	UI/Atlas/Login/Login.prefab	Faction_Tianwang	Faction_Tianwang	UI/Atlas/Login/Login02.prefab	FactionSelect_TW	FactionSelect_TW	FactionSelectBg_TW_M.jpg	FactionSelectBg_TW_F.jpg	ShareBg_Tianwang_M.jpg	ShareBg_Tianwang_F.jpg		1	7	11	1019	1023	1027					1045
2	峨嵋	Faction_EM	FactionSword	FactionIcon_Emei02	UI/Atlas/Login/Login.prefab	Faction_Emei	Faction_Emei	UI/Atlas/Login/Login02.prefab	FactionSelect_EM	FactionSelect_EM	FactionSelectBg_EM_F.jpg	FactionSelectBg_EM_F.jpg	ShareBg_Emei.jpg	ShareBg_Emei.jpg		2	8	12	1020	1024	1028					1046
3	桃花	Faction_TH	FactionBow	FactionIcon_Taohua02	UI/Atlas/Login/Login.prefab	Faction_Taohua	Faction_Taohua	UI/Atlas/Login/Login02.prefab	FactionSelect_TH	FactionSelect_TH	FactionSelectBg_TH_F.jpg	FactionSelectBg_TH_F.jpg	ShareBg_Taohua.jpg	ShareBg_Taohua.jpg		3	9	13	1021	1025	1029					1047
4	逍遥	Faction_XY	FactionLancer	FactionIcon_Xiaoyao02	UI/Atlas/Login/Login.prefab	Faction_Xiaoyao	Faction_Xiaoyao	UI/Atlas/Login/Login02.prefab	FactionSelect_XY	FactionSelect_XY	FactionSelectBg_XY_M.jpg	FactionSelectBg_XY_F.jpg	ShareBg_Xiaoyao_M.jpg	ShareBg_Xiaoyao_F.jpg		4	10	14	1022	1026	1030					1048
5	武当	Faction_WD	FactionWudang	FactionIcon_Wudang02	UI/Atlas/Login/Login.prefab	Faction_Wudang	Faction_Wudang	UI/Atlas/Login/Login02.prefab	FactionSelect_WD	FactionSelect_WD	FactionSelectBg_WD_M.jpg	FactionSelectBg_WD_F.jpg	ShareBg_Wudang_M.jpg	ShareBg_Wudang_F.jpg		5	1033	1034	1035	1036	1037					1049
6	天忍	Faction_TR	FactionTianren	FactionIcon_Tianren02	UI/Atlas/Login/Login.prefab	Faction_Tianren	Faction_Tianren	UI/Atlas/Login/Login02.prefab	FactionSelect_TR	FactionSelect_TR	FactionSelectBg_TR_M.jpg	FactionSelectBg_TR_F.jpg	ShareBg_Tianren_M.jpg	ShareBg_Tianren.jpg		6	1039	1040	1041	1042	1043					1050
7	少林	Faction_SL	FactionShaolin	FactionIcon_Shaolin02	UI/Atlas/Login/Login.prefab	Faction_Shaolin	Faction_Shaolin	UI/Atlas/Login/Login02.prefab	FactionSelect_SL	FactionSelect_SL	FactionSelectBg_SL_M.jpg	FactionSelectBg_SL_M.jpg	ShareBg_Shaolin.jpg	ShareBg_Shaolin.jpg		1	1067	1068	1069	1070	1071					1073
8	翠烟	Faction_CY	FactionCuiyan	FactionIcon_Cuiyan02	UI/Atlas/Login/Login.prefab	Faction_Cuiyan	Faction_Cuiyan	UI/Atlas/Login/Login02.prefab	FactionSelect_CY	FactionSelect_CY	FactionSelectBg_CY_F.jpg	FactionSelectBg_CY_F.jpg	ShareBg_Cuiyan.jpg	ShareBg_Cuiyan.jpg		2	1075	1076	1077	1078	1079					1081
9	唐门	Faction_TM	FactionTangmen	FactionIcon_Tangmen02	UI/Atlas/Login/Login.prefab	Faction_Tangmen	Faction_Tangmen	UI/Atlas/Login/Login02.prefab	FactionSelect_TM	FactionSelect_TM	FactionSelectBg_TM_M.jpg	FactionSelectBg_TM_M.jpg	ShareBg_Tangmen.jpg	ShareBg_Tangmen.jpg		3	3427	3428	3429	3430	3431					3433
10	昆仑	Faction_KL	FactionKunlun	FactionIcon_Kunlun02	UI/Atlas/Login/Login.prefab	Faction_Kunlun	Faction_Kunlun	UI/Atlas/Login/Login02.prefab	FactionSelect_KL	FactionSelect_KL	FactionSelectBg_KL_M.jpg	FactionSelectBg_KL_F.jpg	ShareBg_Kunlun_M.jpg	ShareBg_Kunlun_F.jpg		4	3435	3436	3437	3438	3439					3441
