SrcItem	TarItem	DESC	Cosume2Item	Consume2Count	CosumeItem	TimeFrame1	ConsumeCount1	TimeFrame2	ConsumeCount2	TimeFrame3	ConsumeCount3	TimeFrame4	ConsumeCount4	TimeFrame5	ConsumeCount5	TimeFrame6	ConsumeCount6	TimeFrame7	ConsumeCount7	TimeFrame8	ConsumeCount8	TimeFrame9	ConsumeCount9	TimeFrame10	ConsumeCount10
2764	2765	T6升T7黄金武器			2804	OpenLevel89	90	OpenLevel99	72	OpenLevel109	63	OpenLevel119	54	OpenLevel129	45										
2782	2783	T6升T7黄金衣服			2804	OpenLevel89	54	OpenLevel99	43	OpenLevel109	37	OpenLevel119	32	OpenLevel129	27										
2779	2780	T6升T7黄金帽子			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9										
2788	2789	T6升T7黄金腰带			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9										
2785	2786	T6升T7黄金护腕			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9										
2791	2792	T6升T7黄金鞋子			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9										
2767	2768	T6升T7黄金项链			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18										
2770	2771	T6升T7黄金戒指			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18										
2773	2774	T6升T7黄金玉佩			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18										
2776	2777	T6升T7黄金护身符			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18										
2765	2766	T7升T8黄金武器			2804	OpenLevel99	120	OpenLevel109	96	OpenLevel119	84	OpenLevel129	72	OpenLevel139	60										
2783	2784	T7升T8黄金衣服			2804	OpenLevel99	72	OpenLevel109	57	OpenLevel119	50	OpenLevel129	43	OpenLevel139	36										
2780	2781	T7升T8黄金帽子			2804	OpenLevel99	24	OpenLevel109	19	OpenLevel119	16	OpenLevel129	14	OpenLevel139	12										
2789	2790	T7升T8黄金腰带			2804	OpenLevel99	24	OpenLevel109	19	OpenLevel119	16	OpenLevel129	14	OpenLevel139	12										
2786	2787	T7升T8黄金护腕			2804	OpenLevel99	24	OpenLevel109	19	OpenLevel119	16	OpenLevel129	14	OpenLevel139	12										
2792	2793	T7升T8黄金鞋子			2804	OpenLevel99	24	OpenLevel109	19	OpenLevel119	16	OpenLevel129	14	OpenLevel139	12										
2768	2769	T7升T8黄金项链			2804	OpenLevel99	48	OpenLevel109	38	OpenLevel119	33	OpenLevel129	28	OpenLevel139	24										
2771	2772	T7升T8黄金戒指			2804	OpenLevel99	48	OpenLevel109	38	OpenLevel119	33	OpenLevel129	28	OpenLevel139	24										
2774	2775	T7升T8黄金玉佩			2804	OpenLevel99	48	OpenLevel109	38	OpenLevel119	33	OpenLevel129	28	OpenLevel139	24										
2777	2778	T7升T8黄金护身符			2804	OpenLevel99	48	OpenLevel109	38	OpenLevel119	33	OpenLevel129	28	OpenLevel139	24										
2766	3619	T8升T9黄金武器			2804	OpenLevel109	120	OpenLevel119	96	OpenLevel129	84	OpenLevel139	72	OpenLevel149	60										
2784	3631	T8升T9黄金衣服			2804	OpenLevel109	72	OpenLevel119	57	OpenLevel129	50	OpenLevel139	43	OpenLevel149	36										
2781	3629	T8升T9黄金帽子			2804	OpenLevel109	24	OpenLevel119	19	OpenLevel129	16	OpenLevel139	14	OpenLevel149	12										
2790	3635	T8升T9黄金腰带			2804	OpenLevel109	24	OpenLevel119	19	OpenLevel129	16	OpenLevel139	14	OpenLevel149	12										
2787	3633	T8升T9黄金护腕			2804	OpenLevel109	24	OpenLevel119	19	OpenLevel129	16	OpenLevel139	14	OpenLevel149	12										
2793	3637	T8升T9黄金鞋子			2804	OpenLevel109	24	OpenLevel119	19	OpenLevel129	16	OpenLevel139	14	OpenLevel149	12										
2769	3621	T8升T9黄金项链			2804	OpenLevel109	48	OpenLevel119	38	OpenLevel129	33	OpenLevel139	28	OpenLevel149	24										
2772	3623	T8升T9黄金戒指			2804	OpenLevel109	48	OpenLevel119	38	OpenLevel129	33	OpenLevel139	28	OpenLevel149	24										
2775	3625	T8升T9黄金玉佩			2804	OpenLevel109	48	OpenLevel119	38	OpenLevel129	33	OpenLevel139	28	OpenLevel149	24										
2778	3627	T8升T9黄金护身符			2804	OpenLevel109	48	OpenLevel119	38	OpenLevel129	33	OpenLevel139	28	OpenLevel149	24										
3619	3620	T9升T10黄金武器			2804	OpenLevel119	120	OpenLevel129	96	OpenLevel139	84	OpenLevel149	72	OpenLevel159	60										
3631	3632	T9升T10黄金衣服			2804	OpenLevel119	72	OpenLevel129	57	OpenLevel139	50	OpenLevel149	43	OpenLevel159	36										
3629	3630	T9升T10黄金帽子			2804	OpenLevel119	24	OpenLevel129	19	OpenLevel139	16	OpenLevel149	14	OpenLevel159	12										
3635	3636	T9升T10黄金腰带			2804	OpenLevel119	24	OpenLevel129	19	OpenLevel139	16	OpenLevel149	14	OpenLevel159	12										
3633	3634	T9升T10黄金护腕			2804	OpenLevel119	24	OpenLevel129	19	OpenLevel139	16	OpenLevel149	14	OpenLevel159	12										
3637	3638	T9升T10黄金鞋子			2804	OpenLevel119	24	OpenLevel129	19	OpenLevel139	16	OpenLevel149	14	OpenLevel159	12										
3621	3622	T9升T10黄金项链			2804	OpenLevel119	48	OpenLevel129	38	OpenLevel139	33	OpenLevel149	28	OpenLevel159	24										
3623	3624	T9升T10黄金戒指			2804	OpenLevel119	48	OpenLevel129	38	OpenLevel139	33	OpenLevel149	28	OpenLevel159	24										
3625	3626	T9升T10黄金玉佩			2804	OpenLevel119	48	OpenLevel129	38	OpenLevel139	33	OpenLevel149	28	OpenLevel159	24										
3627	3628	T9升T10黄金护身符			2804	OpenLevel119	48	OpenLevel129	38	OpenLevel139	33	OpenLevel149	28	OpenLevel159	24										
3620	5360	T10升T11黄金武器			2804	OpenLevel129	120	OpenLevel139	96	OpenLevel149	84	OpenLevel159	72	OpenLevel169	60										
3632	5390	T10升T11黄金衣服			2804	OpenLevel129	72	OpenLevel139	57	OpenLevel149	50	OpenLevel159	43	OpenLevel169	36										
3630	5385	T10升T11黄金帽子			2804	OpenLevel129	24	OpenLevel139	19	OpenLevel149	16	OpenLevel159	14	OpenLevel169	12										
3636	5400	T10升T11黄金腰带			2804	OpenLevel129	24	OpenLevel139	19	OpenLevel149	16	OpenLevel159	14	OpenLevel169	12										
3634	5395	T10升T11黄金护腕			2804	OpenLevel129	24	OpenLevel139	19	OpenLevel149	16	OpenLevel159	14	OpenLevel169	12										
3638	5405	T10升T11黄金鞋子			2804	OpenLevel129	24	OpenLevel139	19	OpenLevel149	16	OpenLevel159	14	OpenLevel169	12										
3622	5365	T10升T11黄金项链			2804	OpenLevel129	48	OpenLevel139	38	OpenLevel149	33	OpenLevel159	28	OpenLevel169	24										
3624	5370	T10升T11黄金戒指			2804	OpenLevel129	48	OpenLevel139	38	OpenLevel149	33	OpenLevel159	28	OpenLevel169	24										
3626	5375	T10升T11黄金玉佩			2804	OpenLevel129	48	OpenLevel139	38	OpenLevel149	33	OpenLevel159	28	OpenLevel169	24										
3628	5380	T10升T11黄金护身符			2804	OpenLevel129	48	OpenLevel139	38	OpenLevel149	33	OpenLevel159	28	OpenLevel169	24										
5360	5361	T11升T12黄金武器			2804	OpenLevel139	120	OpenLevel149	96	OpenLevel159	84	OpenLevel169	72	OpenLevel179	60										
5390	5391	T11升T12黄金衣服			2804	OpenLevel139	72	OpenLevel149	57	OpenLevel159	50	OpenLevel169	43	OpenLevel179	36										
