Name	ScriptFunc	OpenWeek	WeekFlag	TimeFrame	CloseTimeFrame	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Time11	Time12	Time13	Time14	Time15	Param	Param2	Param3	Param4
KinRunPerDay	KinRunPerDay		1234567			0:00																		
CheckMaxLevel	CheckMaxLevel		1234567			4:00																		
RankBattleAward	RankBattleAward		1234567			22:00																		
PreStartBoss1	PreStartBoss		1234567	OpenDay7	OpenDay89	15:25	21:55																	
StartBoss1	StartBoss		1234567	OpenDay7	OpenDay89	15:30	22:00																	
EndBoss1	EndBoss		1234567	OpenDay7	OpenDay89	16:30	23:00																	
PreStartBoss2	PreStartBoss		2356	OpenDay89		21:55																		
StartBoss2	StartBoss		2356	OpenDay89		22:00															1			
EndBoss2	EndBoss		2356	OpenDay89		23:00																		
PreStartBoss3	PreStartBoss		1	OpenDay89		21:55																		
StartBoss3	StartBoss		1	OpenDay89		22:00																		
EndBoss3	EndBoss		1	OpenDay89		23:00																		
EndEnterBossFuben	EndEnterBossFuben		1234567	OpenDay7		16:30	23:00																	
CrossBossMail1	CrossBossMail		6	OpenLevel119		23:01															1			
CrossBossMail2	CrossBossMail		1	OpenLevel119		4:00																		
HSLJOpenHSLJMail	HSLJOpenHSLJMail		1234567			10:00																		
HSLJPreStartPreGame	HSLJPreStartPreGame		1357			21:27																		
HSLJStartPreGame	HSLJStartPreGame		1357			21:30																		
HSLJClosePreGame	HSLJClosePreGame		1357			21:55																		
HSLJChampionGuessing	HSLJChampionGuessing		1234567			21:25																		
HSLJPreStartFinalsGame	HSLJPreStartFinalsGame		1234567			21:27																		
HSLJStartFinalsGame	HSLJStartFinalsGame		1234567			21:30																		
HSLJCloseFinalsGame	HSLJCloseFinalsGame		1234567			21:45																		
HSLJFinalsList	HSLJFinalsList		1234567			0:01																		
StartLeader1	StartLeader		1234567	OpenDay3C		1:00	10:00	14:00	16:00	18:00	23:00													
EndLeader1	EndLeader		1234567	OpenDay3C		1:40	10:40	14:40	16:40	18:40	23:40													
BossFight1	BossFight		1234567	OpenDay2		12:30															1			
BossFight2	BossFight		1234567			19:30															2			
StopBossFight1	StopBossFight		1234567	OpenDay2		12:42																		
StopBossFight2	StopBossFight		1234567			19:42																		
StartBattle	StartBattle		357	OpenDay1A		16:30	20:30														2			
StopBattle	StopBattle		357	OpenDay1A		17:00	21:00														2			
StopBattle3830	StopBattleCalender		3	OpenLevel109		20:45																		
StartBattle2	StartBattle		357	OpenDay1A	OpenLevel59	22:30															2			
StopBattle2	StopBattle		357	OpenDay1A	OpenLevel59	23:00															2			
StartBattle3	StartBattle		357	OpenLevel59		22:30															1			
StopBattle3	StopBattle		357	OpenLevel59		23:00															1			
StartBattle11	StartBattle		1	OpenDay1A		16:30															2			
StopBattle11	StopBattle		1	OpenDay1A		17:00															2			
StartBattle12	StartBattle		1	OpenDay1A	OpenLevel59	22:30															2			
StopBattle12	StopBattle		1	OpenDay1A	OpenLevel59	23:00															2			
StartBattle13	StartBattle		1	OpenLevel59		22:30															1			
StopBattle13	StopBattle		1	OpenLevel59		23:00															1			
StartBattle14	StartBattle		1	OpenDay1A	OpenLevel79	20:30															2			
StopBattle14	StopBattle		1	OpenDay1A	OpenLevel79	21:00															2			
